Region,kommune,valgsted_navn,bogstavbetegnelse,kandidat_navn,parti,stemmer
,Brønderslev,1. Agersted,C,"Lene Gram Skjoldager, Hjørring",Det Konservative Folkeparti,0
,Brønderslev,1. Agersted,C,"Martin Jørgensen, Morsø Kommune",Det Konservative Folkeparti,0
,Brønderslev,1. Agersted,F,Listestemmer,SF - Socialistisk Folkeparti,12
,Brønderslev,1. Agersted,F,"Bente Lauridsen, Thisted",SF - Socialistisk Folkeparti,0
,Brønderslev,1. Agersted,F,"Lene Linnemann, Aalborg Kommune",SF - Socialistisk Folkeparti,4
,Brønderslev,1. Agersted,F,"Peder Larsen, Mariagerfjord Kommun",SF - Socialistisk Folkeparti,0
,Brønderslev,1. Agersted,F,"Mathias Caland, Frederikshavn Komm",SF - Socialistisk Folkeparti,1
,Brønderslev,1. Agersted,F,"Jørgen Grøn, Vesthimmerlands Komm.",SF - Socialistisk Folkeparti,0
,Brønderslev,1. Agersted,F,"Berit Byg, Vesthimmerlands Kommune",SF - Socialistisk Folkeparti,0
,Brønderslev,1. Agersted,F,"Anders Hind, Hals",SF - Socialistisk Folkeparti,3
,Brønderslev,1. Agersted,F,"Mads Guldhammer,Jammerbugt Kommune",SF - Socialistisk Folkeparti,0
,Brønderslev,1. Agersted,F,"Arne Hansen, Frederikshavn",SF - Socialistisk Folkeparti,0
,Brønderslev,1. Agersted,F,"Grete Bonde, Hjørring Kommune",SF - Socialistisk Folkeparti,0
,Brønderslev,1. Agersted,F,"Christian Johansen, Assens, Mariag",SF - Socialistisk Folkeparti,0
,Brønderslev,1. Agersted,F,"Allan Norré Pedersen, Aalborg",SF - Socialistisk Folkeparti,0
,Brønderslev,1. Agersted,F,"Peter W. Svendsen, Staun",SF - Socialistisk Folkeparti,0
,Brønderslev,1. Agersted,F,"Jørgen E. Jensen, Aalborg",SF - Socialistisk Folkeparti,1
,Brønderslev,1. Agersted,I,Listestemmer,Liberal Alliance,8
,Brønderslev,1. Agersted,I,"Agnethe Benedikt Mørch, Aalborg",Liberal Alliance,0
,Brønderslev,1. Agersted,I,"Birgitte Borup Andersen, Hobro",Liberal Alliance,0
,Brønderslev,1. Agersted,I,"Sten Bach, Frederikshavn",Liberal Alliance,0
,Brønderslev,1. Agersted,I,"Anne Marie Nymark Jensen, Aars",Liberal Alliance,0
,Brønderslev,1. Agersted,I,"Bo Ritterbusch, Hadsund",Liberal Alliance,2
,Brønderslev,1. Agersted,I,"Lise Therkelsen, Vodskov",Liberal Alliance,0
,Brønderslev,1. Agersted,I,"Jens Christian Vangsgaard, Bed.Thy",Liberal Alliance,0
,Brønderslev,1. Agersted,I,"Henrik Viholm, Aalborg",Liberal Alliance,1
,Brønderslev,1. Agersted,K,Listestemmer,Kristendemokraterne,1
,Brønderslev,1. Agersted,K,"Inger Ottesen, Ingstrup",Kristendemokraterne,1
,Brønderslev,1. Agersted,K,"Peter Øhrstrøm, Vestbjerg",Kristendemokraterne,0
,Brønderslev,1. Agersted,K,"Mogens Graversen, Bedsted, Thy",Kristendemokraterne,0
,Brønderslev,1. Agersted,K,"Henning Feldtmose, Strandby",Kristendemokraterne,0
,Brønderslev,1. Agersted,K,"David Jakobsen, Mariager",Kristendemokraterne,0
,Brønderslev,1. Agersted,K,"Ruth Tidemand Nielsen, Hjørring",Kristendemokraterne,0
,Brønderslev,1. Agersted,K,"Villy Jørgensen, Vilsted",Kristendemokraterne,0
,Brønderslev,1. Agersted,N,Listestemmer,Danskernes Parti - De Nationale,1
,Brønderslev,1. Agersted,N,Morten Borup,Danskernes Parti - De Nationale,2
,Brønderslev,1. Agersted,O,Listestemmer,Dansk Folkeparti,21
,Brønderslev,1. Agersted,O,Rikke Karlsson,Dansk Folkeparti,13
,Brønderslev,1. Agersted,O,Kristoffer Hjort Storm,Dansk Folkeparti,5
,Brønderslev,1. Agersted,O,Tommy Eggers,Dansk Folkeparti,1
,Brønderslev,1. Agersted,O,Vivi Jensen,Dansk Folkeparti,1
,Brønderslev,1. Agersted,O,Annette Vahlgreen,Dansk Folkeparti,0
,Brønderslev,1. Agersted,O,Karina Christensen,Dansk Folkeparti,1
,Brønderslev,1. Agersted,O,Gert Ingolf Johansen,Dansk Folkeparti,0
,Brønderslev,1. Agersted,O,Meiner Nørgaard,Dansk Folkeparti,1
,Brønderslev,1. Agersted,O,Peter Sørensen,Dansk Folkeparti,2
,Brønderslev,1. Agersted,O,Trine Olesen,Dansk Folkeparti,0
,Brønderslev,1. Agersted,O,Tommy Degn,Dansk Folkeparti,0
,Brønderslev,1. Agersted,O,Ida Stabell,Dansk Folkeparti,0
,Brønderslev,1. Agersted,O,Jess Kristensen,Dansk Folkeparti,1
,Brønderslev,1. Agersted,O,Carsten Normann Munk,Dansk Folkeparti,0
,Brønderslev,1. Agersted,O,Jørgen Svenstrup,Dansk Folkeparti,0
,Brønderslev,1. Agersted,O,Hanne Bøgsted,Dansk Folkeparti,2
,Brønderslev,1. Agersted,R,Listestemmer,Kommunistisk Parti i Danmark,0
,Brønderslev,1. Agersted,R,"Brian Olsen, Vesthimmerlands Komm.",Kommunistisk Parti i Danmark,0
,Brønderslev,1. Agersted,R,"Emil Olsen, Vesthimmerlands Komm.",Kommunistisk Parti i Danmark,0
,Brønderslev,1. Agersted,V,Listestemmer,Venstre - Danmarks Liberale Parti,44
,Brønderslev,1. Agersted,V,"Jess V. Laursen, Mariagerfjord kom",Venstre - Danmarks Liberale Parti,11
,Brønderslev,1. Agersted,V,"Martin Bech, Brønderslev Kommune",Venstre - Danmarks Liberale Parti,15
,Brønderslev,1. Agersted,V,"Allan Jensen, Rebild Kommune",Venstre - Danmarks Liberale Parti,1
,Brønderslev,1. Agersted,V,"Anny Winther, Rebild Kommune",Venstre - Danmarks Liberale Parti,3
,Brønderslev,1. Agersted,V,"Asta Skaksen, Dronninglund",Venstre - Danmarks Liberale Parti,84
,Brønderslev,1. Agersted,V,"Bente Koch, Aalborg Kommune",Venstre - Danmarks Liberale Parti,1
,Brønderslev,1. Agersted,V,"Elsebeth Nielsen, Thisted Kommune",Venstre - Danmarks Liberale Parti,0
,Brønderslev,1. Agersted,V,"Erik Harbo Larsen, Thisted Kommune",Venstre - Danmarks Liberale Parti,0
,Brønderslev,1. Agersted,V,"Gunhild Olesen Møller, Morsø Kom.",Venstre - Danmarks Liberale Parti,0
,Brønderslev,1. Agersted,V,"Henrik Buchhave, Frederikshavn Kom",Venstre - Danmarks Liberale Parti,3
,Brønderslev,1. Agersted,V,"Henrik Harder, Blokhus",Venstre - Danmarks Liberale Parti,0
,Brønderslev,1. Agersted,V,"Henrik Munkholt, Jammerbugt Kommun",Venstre - Danmarks Liberale Parti,0
,Brønderslev,1. Agersted,V,"Jens Arne Hedegaard, Brønderslev K",Venstre - Danmarks Liberale Parti,8
,Brønderslev,1. Agersted,V,"Karen Serup, Thisted Kommune",Venstre - Danmarks Liberale Parti,0
,Brønderslev,1. Agersted,V,"Kristian Andersen, Aalborg Kommune",Venstre - Danmarks Liberale Parti,2
,Brønderslev,1. Agersted,V,"Lars Kringelholt, Frederikshavn Ko",Venstre - Danmarks Liberale Parti,1
,Brønderslev,1. Agersted,V,"Lasse Madsen, Mariagerfjord Kommun",Venstre - Danmarks Liberale Parti,0
,Brønderslev,1. Agersted,V,"Lone Riisgaard-Jensen, Vesthim.Kom",Venstre - Danmarks Liberale Parti,0
,Brønderslev,1. Agersted,V,"Lone Sondrup, Mariagerfjord Kommun",Venstre - Danmarks Liberale Parti,1
,Brønderslev,1. Agersted,V,"Mads Thomsen, Aalborg Kommune",Venstre - Danmarks Liberale Parti,2
,Brønderslev,1. Agersted,V,"Mike Bing Grunnet, Aalborg Kommune",Venstre - Danmarks Liberale Parti,0
,Brønderslev,1. Agersted,V,"Mona Jensen, Vesthimmerlands Kommu",Venstre - Danmarks Liberale Parti,0
,Brønderslev,1. Agersted,V,"Morten A. Petersen,Hjørring Kommun",Venstre - Danmarks Liberale Parti,0
,Brønderslev,1. Agersted,V,"Morten Bjerg Jakobsen, Hjørring Ko",Venstre - Danmarks Liberale Parti,0
,Brønderslev,1. Agersted,V,"Niklas Milthers, Aalborg Kommune",Venstre - Danmarks Liberale Parti,3
,Brønderslev,1. Agersted,V,"Ole B. Sørensen, Vesthimmerlands K",Venstre - Danmarks Liberale Parti,0
,Brønderslev,1. Agersted,V,"Ole Nør Pedersen, Aalborg Kommune",Venstre - Danmarks Liberale Parti,0
,Brønderslev,1. Agersted,V,"Otto Kjær Larsen, Jammerbugt Kommu",Venstre - Danmarks Liberale Parti,1
,Brønderslev,1. Agersted,V,"Per Harfeld, Hjørring Kommune",Venstre - Danmarks Liberale Parti,0
,Brønderslev,1. Agersted,V,"Per Nilsson, Frederikshavn Kommune",Venstre - Danmarks Liberale Parti,1
,Brønderslev,1. Agersted,V,"Peter Therkildsen, Morsø Kommune",Venstre - Danmarks Liberale Parti,0
,Brønderslev,1. Agersted,V,"Pia Karlsen, Frederikshavn Kommune",Venstre - Danmarks Liberale Parti,0
,Brønderslev,1. Agersted,V,"Rasmus Lykke Jensen, Frederiksh. K",Venstre - Danmarks Liberale Parti,0
,Brønderslev,1. Agersted,V,"Simon Linde, Mariagerfjord Kommune",Venstre - Danmarks Liberale Parti,0
,Brønderslev,1. Agersted,V,"Svend Erik Jensen, Aalborg Kommune",Venstre - Danmarks Liberale Parti,1
,Brønderslev,1. Agersted,V,"Svend Heiselberg, Hanstholm",Venstre - Danmarks Liberale Parti,1
,Brønderslev,1. Agersted,V,"Willy Bjerregaard, Hjørring Kommun",Venstre - Danmarks Liberale Parti,0
,Brønderslev,1. Agersted,Ø,Listestemmer,Enhedslisten - De Rød-Grønne,21
,Brønderslev,1. Agersted,Ø,"Susanne Flydtkjær, Aalborg",Enhedslisten - De Rød-Grønne,17
,Brønderslev,1. Agersted,Ø,"Lis Jensen, Rødhus",Enhedslisten - De Rød-Grønne,0
,Brønderslev,1. Agersted,Ø,"Bjarne Mørch Larsen, Hjørring",Enhedslisten - De Rød-Grønne,0
,Brønderslev,1. Agersted,Ø,"Helene Rée, Thisted",Enhedslisten - De Rød-Grønne,0
,Brønderslev,1. Agersted,Ø,"Jan Jensen, Aalborg",Enhedslisten - De Rød-Grønne,0
,Brønderslev,1. Agersted,Ø,"Bo Fink, Sundby, Mors",Enhedslisten - De Rød-Grønne,0
,Brønderslev,1. Agersted,Ø,"Søren Bruun Jensen, Aalborg Øst",Enhedslisten - De Rød-Grønne,0
,Brønderslev,1. Agersted,Ø,"Jan Rosenkrantz, Hjørring",Enhedslisten - De Rød-Grønne,0
,Brønderslev,1. Agersted,Ø,"Kristina Gammelgård-Larsen, Aalb.",Enhedslisten - De Rød-Grønne,1
,Brønderslev,1. Agersted,Ø,"Anders Lundkvist, Klarup",Enhedslisten - De Rød-Grønne,0
,Brønderslev,1. Agersted,Ø,"Aage Olsen, Voersaa",Enhedslisten - De Rød-Grønne,3
,Brønderslev,1. Agersted,Ø,"Povl-Erik Andersen, Ålbæk",Enhedslisten - De Rød-Grønne,0
,Brønderslev,1. Agersted,Ø,"Cæcilie Lyndgaard Andersen, Nørres",Enhedslisten - De Rød-Grønne,1
,Brønderslev,1. Agersted,Ø,"Anders Geisler Møller, Aalborg Øst",Enhedslisten - De Rød-Grønne,0
,Brønderslev,1. Agersted,Ø,"Allan Kjær Nielsen, Hjallerup",Enhedslisten - De Rød-Grønne,3
,Brønderslev,1. Agersted,Ø,"Oskar Hvelplund, Aalborg",Enhedslisten - De Rød-Grønne,0
,Brønderslev,1. Agersted,Ø,"Kent Broe Goldschmidt, Mariagf. Ko",Enhedslisten - De Rød-Grønne,0
,Brønderslev,1. Agersted,Ø,"Shilan A. Sadek, Aalborg",Enhedslisten - De Rød-Grønne,0
,Brønderslev,1. Agersted,Ø,"Anja Lundtoft Thomsen, Aalborg",Enhedslisten - De Rød-Grønne,0
,Brønderslev,1. Agersted,Ø,"Miguel J. Valentine, Mariagerf. Ko",Enhedslisten - De Rød-Grønne,0
,Brønderslev,1. Agersted,Ø,"Gitte Thomsen, Nørresundby",Enhedslisten - De Rød-Grønne,1
,Brønderslev,1. Agersted,Ø,"Andreas Hauervig, Støvring",Enhedslisten - De Rød-Grønne,0
,Brønderslev,1. Agersted,Ø,"Finn Grøn Nielsen, Skørping",Enhedslisten - De Rød-Grønne,0
,Brønderslev,1. Agersted,Ø,"Bitt Juul Jensen, Skørping",Enhedslisten - De Rød-Grønne,0
,Brønderslev,1. Agersted,Ø,"Jens Otto Madsen, Thisted",Enhedslisten - De Rød-Grønne,0
,Brønderslev,1. Agersted,Ø,"Frederik Bøgh Bisgaard, Aalb.Øst",Enhedslisten - De Rød-Grønne,0
,Brønderslev,1. Agersted,Ø,"Hans H. L. Jensen, Hjørring",Enhedslisten - De Rød-Grønne,0
,Brønderslev,1. Agersted,Ø,"Inger Frølner, Sæby",Enhedslisten - De Rød-Grønne,0
,Brønderslev,1. Agersted,Ø,"Peter Jensen, Frederikshavn",Enhedslisten - De Rød-Grønne,1
,Brønderslev,1. Agersted,Ø,"Safet Bralic, Frederikshavn",Enhedslisten - De Rød-Grønne,0
,Brønderslev,1. Agersted,Ø,"Line Boye Danielsen, Nørresundby",Enhedslisten - De Rød-Grønne,0
,Brønderslev,2. Asaa,A,Listestemmer,Socialdemokratiet,81
,Brønderslev,2. Asaa,A,"Ulla Astman, Gistrup",Socialdemokratiet,133
,Brønderslev,2. Asaa,A,"Vagn Nørgaard, Thisted",Socialdemokratiet,1
,Brønderslev,2. Asaa,A,"Mogens Nørgård, Aabybro",Socialdemokratiet,9
,Brønderslev,2. Asaa,A,"Tina Juul Kjellberg, Ålbæk",Socialdemokratiet,0
,Brønderslev,2. Asaa,A,"Thomas Hav, Nørresundby",Socialdemokratiet,12
,Brønderslev,2. Asaa,A,"Pernille Buhelt, Hjørring",Socialdemokratiet,0
,Brønderslev,2. Asaa,A,"Medzait Ljatifi, Støvring",Socialdemokratiet,0
,Brønderslev,2. Asaa,A,"Heidi Linnemann Prehn, Aalborg",Socialdemokratiet,1
,Brønderslev,2. Asaa,A,"Lis Mancini, Hadsund",Socialdemokratiet,1
,Brønderslev,2. Asaa,A,"Mie Nielsen, Nykøbing Mors",Socialdemokratiet,1
,Brønderslev,2. Asaa,A,"Jette Ramskov, Brønderslev",Socialdemokratiet,19
,Brønderslev,2. Asaa,A,"Arne Nielsen, Nørresundby",Socialdemokratiet,6
,Brønderslev,2. Asaa,A,"Jørgen Rørbæk Henriksen, Sæby",Socialdemokratiet,3
,Brønderslev,2. Asaa,A,"Hanne Majbritt Nielsen, Vestbjerg",Socialdemokratiet,0
,Brønderslev,2. Asaa,A,"Morten Skaanning, Sindal",Socialdemokratiet,0
,Brønderslev,2. Asaa,A,"Bente Bang, Vestervig",Socialdemokratiet,0
,Brønderslev,2. Asaa,A,"Mogens Ove Madsen, Aars",Socialdemokratiet,2
,Brønderslev,2. Asaa,A,"Poul Erik Andreasen, Dronninglund",Socialdemokratiet,145
,Brønderslev,2. Asaa,A,"Kurt Toft, Aalborg",Socialdemokratiet,3
,Brønderslev,2. Asaa,A,"Peter Christensen, Aalborg",Socialdemokratiet,1
,Brønderslev,2. Asaa,A,"Henrik Ringbæk Madsen, Hobro",Socialdemokratiet,0
,Brønderslev,2. Asaa,A,"Ejner Guldager Nielsen, Skagen",Socialdemokratiet,0
,Brønderslev,2. Asaa,A,"Jørgen Hansen, Gandrup",Socialdemokratiet,9
,Brønderslev,2. Asaa,A,"Asger Andersen, Nibe",Socialdemokratiet,0
,Brønderslev,2. Asaa,A,"Bent-Ole Pedersen, Svenstrup, Aalb",Socialdemokratiet,0
,Brønderslev,2. Asaa,A,"Kim Levisen, Brovst",Socialdemokratiet,0
,Brønderslev,2. Asaa,A,"Bent Sigaard, Hals",Socialdemokratiet,1
,Brønderslev,2. Asaa,A,"Inge Pedersen, Vadum",Socialdemokratiet,2
,Brønderslev,2. Asaa,A,"Susanne Talbot, Storvorde",Socialdemokratiet,0
,Brønderslev,2. Asaa,A,"Allan Rank, Bælum",Socialdemokratiet,0
,Brønderslev,2. Asaa,A,"Vagn Flink, Hobro",Socialdemokratiet,1
,Brønderslev,2. Asaa,B,Listestemmer,Radikale Venstre,8
,Brønderslev,2. Asaa,B,"Ninni Lodahl Gjessing, Vest.H.Kom",Radikale Venstre,0
,Brønderslev,2. Asaa,B,"Kjeld Lundager Jørgensen, Reb.kom",Radikale Venstre,2
,Brønderslev,2. Asaa,B,"Louise Lundbeck Krog, Aalborg",Radikale Venstre,2
,Brønderslev,2. Asaa,B,"Gustav Sieg Sørensen, Thisted Komm",Radikale Venstre,0
,Brønderslev,2. Asaa,B,"Thorsteinn Arnason, Vester Hassing",Radikale Venstre,1
,Brønderslev,2. Asaa,B,"Jesper Hansen, Jammerbugt Kommune",Radikale Venstre,0
,Brønderslev,2. Asaa,B,"Keld Kollerup Kvist, Aalborg Kommu",Radikale Venstre,0
,Brønderslev,2. Asaa,B,"Jørgen Hein, Aalborg",Radikale Venstre,2
,Brønderslev,2. Asaa,B,"Marianne Bøgedal Etheridge, Sæby",Radikale Venstre,0
,Brønderslev,2. Asaa,B,"Lis Skaanning, Hjørring Kommune",Radikale Venstre,0
,Brønderslev,2. Asaa,B,"Bent Jørgensen, Aalborg",Radikale Venstre,1
,Brønderslev,2. Asaa,B,"Michael Portefée P. Lex, Reb. Komm",Radikale Venstre,0
,Brønderslev,2. Asaa,B,"Christian Stavad, Frederikshavn",Radikale Venstre,1
,Brønderslev,2. Asaa,B,"Erling Ramme Nielsen, Klarup",Radikale Venstre,0
,Brønderslev,2. Asaa,B,"Peter Carstensen, Mariagerfj. Komm",Radikale Venstre,0
,Brønderslev,2. Asaa,B,"Karina Kroustrup, Aalborg",Radikale Venstre,0
,Brønderslev,2. Asaa,B,"Børge V. Madsen, Morsø Kommune",Radikale Venstre,0
,Brønderslev,2. Asaa,C,Listestemmer,Det Konservative Folkeparti,7
,Brønderslev,2. Asaa,C,"Per Larsen, Hjørring",Det Konservative Folkeparti,20
,Brønderslev,2. Asaa,C,"Kirsten Moesgaard, Vesth. Kommune",Det Konservative Folkeparti,1
,Brønderslev,2. Asaa,C,"Vibeke Gamst, Aalborg",Det Konservative Folkeparti,2
,Brønderslev,2. Asaa,C,"Christen Overgaard, Hurup, Thy",Det Konservative Folkeparti,1
,Brønderslev,2. Asaa,C,"Søren Brink, Aabybro",Det Konservative Folkeparti,0
,Brønderslev,2. Asaa,C,"Villy Møller, Frederikshavn",Det Konservative Folkeparti,0
,Brønderslev,2. Asaa,C,"Christian Johnson, Mariagerf. Komm",Det Konservative Folkeparti,0
,Brønderslev,2. Asaa,C,"Katrine Hovaldt Krog Madsen,Reb.ko",Det Konservative Folkeparti,1
,Brønderslev,2. Asaa,C,"Rasmus Rodenberg Pedersen, Aalborg",Det Konservative Folkeparti,0
,Brønderslev,2. Asaa,C,"Berit Engholm Pedersen, Aalborg",Det Konservative Folkeparti,0
,Brønderslev,2. Asaa,C,"Steen Jørgensen, Frederikshavn",Det Konservative Folkeparti,0
,Brønderslev,2. Asaa,C,"Karsten Elkjær, Mariagerfjord Komm",Det Konservative Folkeparti,0
,Brønderslev,2. Asaa,C,"Troels D. Nørmølle, Hjørring",Det Konservative Folkeparti,0
,Brønderslev,2. Asaa,C,"O. Høegh-Guldberg, Hadsund",Det Konservative Folkeparti,0
,Brønderslev,2. Asaa,C,"Bjarne Villadsen, Rebild Kommune",Det Konservative Folkeparti,0
,Brønderslev,2. Asaa,C,"Gry Tange, Aalborg SV",Det Konservative Folkeparti,1
,Brønderslev,2. Asaa,C,"Lene Gram Skjoldager, Hjørring",Det Konservative Folkeparti,0
,Brønderslev,2. Asaa,C,"Martin Jørgensen, Morsø Kommune",Det Konservative Folkeparti,0
,Brønderslev,2. Asaa,F,Listestemmer,SF - Socialistisk Folkeparti,17
,Brønderslev,2. Asaa,F,"Bente Lauridsen, Thisted",SF - Socialistisk Folkeparti,2
,Brønderslev,2. Asaa,F,"Lene Linnemann, Aalborg Kommune",SF - Socialistisk Folkeparti,12
,Brønderslev,2. Asaa,F,"Peder Larsen, Mariagerfjord Kommun",SF - Socialistisk Folkeparti,1
,Brønderslev,2. Asaa,F,"Mathias Caland, Frederikshavn Komm",SF - Socialistisk Folkeparti,1
,Brønderslev,2. Asaa,F,"Jørgen Grøn, Vesthimmerlands Komm.",SF - Socialistisk Folkeparti,0
,Brønderslev,2. Asaa,F,"Berit Byg, Vesthimmerlands Kommune",SF - Socialistisk Folkeparti,0
,Brønderslev,2. Asaa,F,"Anders Hind, Hals",SF - Socialistisk Folkeparti,4
,Brønderslev,2. Asaa,F,"Mads Guldhammer,Jammerbugt Kommune",SF - Socialistisk Folkeparti,0
,Brønderslev,2. Asaa,F,"Arne Hansen, Frederikshavn",SF - Socialistisk Folkeparti,0
,Brønderslev,2. Asaa,F,"Grete Bonde, Hjørring Kommune",SF - Socialistisk Folkeparti,1
,Brønderslev,2. Asaa,F,"Christian Johansen, Assens, Mariag",SF - Socialistisk Folkeparti,0
,Brønderslev,2. Asaa,F,"Allan Norré Pedersen, Aalborg",SF - Socialistisk Folkeparti,0
