Region,kommune,valgsted_navn,bogstavbetegnelse,kandidat_navn,parti,stemmer
,Brønderslev,1. Agersted,A,Listestemmer,Socialdemokratiet,51
,Brønderslev,1. Agersted,A,"Ulla Astman, Gistrup",Socialdemokratiet,66
,Brønderslev,1. Agersted,A,"Mogens Nørgård, Aabybro",Socialdemokratiet,6
,Brønderslev,1. Agersted,A,"Tina Juul Kjellberg, Frederikshavn",Socialdemokratiet,2
,Brønderslev,1. Agersted,A,"Pernille Buhelt, Hjørring",Socialdemokratiet,0
,Brønderslev,1. Agersted,A,"Thomas Hav, Nørresundby",Socialdemokratiet,5
,Brønderslev,1. Agersted,A,"Malene Busk, Aalborg",Socialdemokratiet,4
,Brønderslev,1. Agersted,A,"Hanne Korsgaard, Thisted",Socialdemokratiet,0
,Brønderslev,1. Agersted,A,"Mogens Ove Madsen, Vesthimmerland",Socialdemokratiet,0
,Brønderslev,1. Agersted,A,"Pia Ravnsbæk Bjærge, Hobro",Socialdemokratiet,0
,Brønderslev,1. Agersted,A,"Arne Nielsen, Aalborg",Socialdemokratiet,0
,Brønderslev,1. Agersted,A,"Jette Ramskov, Brønderslev",Socialdemokratiet,8
,Brønderslev,1. Agersted,A,"Jørgen Rørbæk Henriksen, Sæby",Socialdemokratiet,4
,Brønderslev,1. Agersted,A,"Svend Bjørnager, Lønstrup",Socialdemokratiet,0
,Brønderslev,1. Agersted,A,"Jørgen Hansen, Gandrup",Socialdemokratiet,2
,Brønderslev,1. Agersted,A,"Jette Keller, Aalborg",Socialdemokratiet,0
,Brønderslev,1. Agersted,A,"Lauge Larsen, Morsø",Socialdemokratiet,0
,Brønderslev,1. Agersted,A,"Medzait Ljatifi, Støvring",Socialdemokratiet,0
,Brønderslev,1. Agersted,A,"Lis Mancini, Hadsund",Socialdemokratiet,1
,Brønderslev,1. Agersted,A,"Hans Jakob Jensen, Vejgård",Socialdemokratiet,0
,Brønderslev,1. Agersted,A,"Karina Kirkegaard, Dronninglund",Socialdemokratiet,8
,Brønderslev,1. Agersted,A,"Ejner Guldager Nielsen, Skagen",Socialdemokratiet,0
,Brønderslev,1. Agersted,A,"Niels Kirkholm, Hjørring",Socialdemokratiet,0
,Brønderslev,1. Agersted,A,"Narcis George Matache, Aalborg",Socialdemokratiet,0
,Brønderslev,1. Agersted,A,"Jørgen Behrentzs, Aalborg",Socialdemokratiet,0
,Brønderslev,1. Agersted,A,"Bente Bang, Agger",Socialdemokratiet,0
,Brønderslev,1. Agersted,A,"Vagn Flink, Nørager",Socialdemokratiet,0
,Brønderslev,1. Agersted,A,"Ivan Astrup Girsel, Mariagerfjord",Socialdemokratiet,0
,Brønderslev,1. Agersted,A,"Niels Martin Sunesen, Aalborg",Socialdemokratiet,0
