Kreds,valgsted_navn,kandidat_navn,parti,stemmer,Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Kira Marie Peter-Hansen,SF - Socialistisk Folkeparti,50,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Kirstine Bille,SF - Socialistisk Folkeparti,7,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Troels Stru Schmidt,SF - Socialistisk Folkeparti,2,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Rikke Lauritsen,SF - Socialistisk Folkeparti,30,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Thue Grum-Schwenssen,SF - Socialistisk Folkeparti,1,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Jens Rane Holck,SF - Socialistisk Folkeparti,0,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Annemette Schønberg Johnsen,SF - Socialistisk Folkeparti,8,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Lucas Zukunft,SF - Socialistisk Folkeparti,2,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Inger Staahl Jensen,SF - Socialistisk Folkeparti,6,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Allan Norré Pedersen,SF - Socialistisk Folkeparti,0,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Gül Özcan,SF - Socialistisk Folkeparti,0,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Bo Vesterlund,SF - Socialistisk Folkeparti,2,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Rune Frøding,SF - Socialistisk Folkeparti,1,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Anita Lundgren Fischer,SF - Socialistisk Folkeparti,0,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Partiliste,Liberal Alliance,79,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Mette Bock,Liberal Alliance,74,Fyns Storkreds
