kreds,valgsted_navn,kandidat_navn,parti,partibogstav,stemmer
Ringkøbingkredsen,1. Abildå,Partiliste,Socialdemokratiet,A,1
Ringkøbingkredsen,1. Abildå,Marianne Knudsen,Socialdemokratiet,A,0
Ringkøbingkredsen,1. Abildå,Mogens Jensen,Socialdemokratiet,A,1
Ringkøbingkredsen,1. Abildå,Niels Rasmussen,Socialdemokratiet,A,0
Ringkøbingkredsen,1. Abildå,Jens Peter Vernersen,Socialdemokratiet,A,1
Ringkøbingkredsen,1. Abildå,Partiliste,Det Radikale Venstre,B,3
Ringkøbingkredsen,1. Abildå,Tine Ross Korsholm,Det Radikale Venstre,B,1
Ringkøbingkredsen,1. Abildå,Claus Brodtkorb,Det Radikale Venstre,B,0
Ringkøbingkredsen,1. Abildå,Ulla Fasting,Det Radikale Venstre,B,0
Ringkøbingkredsen,1. Abildå,Johs. Poulsen,Det Radikale Venstre,B,1
Ringkøbingkredsen,1. Abildå,Partiliste,Det Konservative Folkeparti,C,4
Ringkøbingkredsen,1. Abildå,Keld Bech,Det Konservative Folkeparti,C,1
Ringkøbingkredsen,1. Abildå,Inge Merete Iversen,Det Konservative Folkeparti,C,0
Ringkøbingkredsen,1. Abildå,Karl Højhus Jeppesen,Det Konservative Folkeparti,C,0
Ringkøbingkredsen,1. Abildå,Per Ørum Jørgensen,Det Konservative Folkeparti,C,0
Ringkøbingkredsen,1. Abildå,Partiliste,Centrum-Demokraterne,D,0
Ringkøbingkredsen,1. Abildå,Grethe P. Gottfredsen,Centrum-Demokraterne,D,0
Ringkøbingkredsen,1. Abildå,A. O. Andersen,Centrum-Demokraterne,D,0
Ringkøbingkredsen,1. Abildå,Kirsten M. Andersen,Centrum-Demokraterne,D,0
Ringkøbingkredsen,1. Abildå,Carl Nissen,Centrum-Demokraterne,D,0
Ringkøbingkredsen,1. Abildå,Partiliste,Socialistisk Folkeparti,F,1
Ringkøbingkredsen,1. Abildå,Kristen Touborg,Socialistisk Folkeparti,F,1
Ringkøbingkredsen,1. Abildå,Michael Thomsen,Socialistisk Folkeparti,F,0
Ringkøbingkredsen,1. Abildå,Malene Vestergaard,Socialistisk Folkeparti,F,0
Ringkøbingkredsen,1. Abildå,Karsten Wirring,Socialistisk Folkeparti,F,0
Ringkøbingkredsen,1. Abildå,Partiliste,Kristendemokraterne,K,1
Ringkøbingkredsen,1. Abildå,Jan Jensen Bech,Kristendemokraterne,K,0
Ringkøbingkredsen,1. Abildå,Christian Bjerre,Kristendemokraterne,K,2
Ringkøbingkredsen,1. Abildå,Simon Bjerre,Kristendemokraterne,K,1
Ringkøbingkredsen,1. Abildå,Henning Lysholm Christensen,Kristendemokraterne,K,0
Ringkøbingkredsen,1. Abildå,Tove Videbæk,Kristendemokraterne,K,3
Ringkøbingkredsen,1. Abildå,Partiliste,Minoritetspartiet,M,0
Ringkøbingkredsen,1. Abildå,Niklas Hessel,Minoritetspartiet,M,0
Ringkøbingkredsen,1. Abildå,Kaj Ove Sørensen,Minoritetspartiet,M,0
Ringkøbingkredsen,1. Abildå,Partiliste,Dansk Folkeparti,O,13
Ringkøbingkredsen,1. Abildå,Dennis Flydtkjær,Dansk Folkeparti,O,8
Ringkøbingkredsen,1. Abildå,Christian H. Hansen,Dansk Folkeparti,O,3
Ringkøbingkredsen,1. Abildå,Bente Kronborg Holst,Dansk Folkeparti,O,0
Ringkøbingkredsen,1. Abildå,Niels Nygaard Nielsen,Dansk Folkeparti,O,0
Ringkøbingkredsen,1. Abildå,Partiliste,"Venstre, Danmarks Liberale Parti",V,17
Ringkøbingkredsen,1. Abildå,Jens Kirk,"Venstre, Danmarks Liberale Parti",V,36
Ringkøbingkredsen,1. Abildå,Henrik Fruergaard,"Venstre, Danmarks Liberale Parti",V,0
Ringkøbingkredsen,1. Abildå,Søren Gade,"Venstre, Danmarks Liberale Parti",V,13
Ringkøbingkredsen,1. Abildå,Kristian Jensen,"Venstre, Danmarks Liberale Parti",V,8
Ringkøbingkredsen,1. Abildå,Hanne Severinsen,"Venstre, Danmarks Liberale Parti",V,3
Ringkøbingkredsen,1. Abildå,Partiliste,Enhedslisten - De Rød-Grønne,Ø,1
Ringkøbingkredsen,1. Abildå,Emil Axelgaard,Enhedslisten - De Rød-Grønne,Ø,0
Ringkøbingkredsen,1. Abildå,Lars Dohn,Enhedslisten - De Rød-Grønne,Ø,0
Ringkøbingkredsen,1. Abildå,Katrine Toft Mikkelsen,Enhedslisten - De Rød-Grønne,Ø,0
Ringkøbingkredsen,1. Abildå,Peter V. Stenvang,Enhedslisten - De Rød-Grønne,Ø,0
Ringkøbingkredsen,1. Abildå,Ejgil Kølbæk,(Uden for parti),(Uden for parti),0
Ringkøbingkredsen,1. Holmsland,Partiliste,Socialdemokratiet,A,71
Ringkøbingkredsen,1. Holmsland,Marianne Knudsen,Socialdemokratiet,A,39
Ringkøbingkredsen,1. Holmsland,Mogens Jensen,Socialdemokratiet,A,14
Ringkøbingkredsen,1. Holmsland,Niels Rasmussen,Socialdemokratiet,A,2
Ringkøbingkredsen,1. Holmsland,Jens Peter Vernersen,Socialdemokratiet,A,7
Ringkøbingkredsen,1. Holmsland,Partiliste,Det Radikale Venstre,B,32
Ringkøbingkredsen,1. Holmsland,Tine Ross Korsholm,Det Radikale Venstre,B,5
Ringkøbingkredsen,1. Holmsland,Claus Brodtkorb,Det Radikale Venstre,B,0
Ringkøbingkredsen,1. Holmsland,Ulla Fasting,Det Radikale Venstre,B,3
Ringkøbingkredsen,1. Holmsland,Johs. Poulsen,Det Radikale Venstre,B,9
Ringkøbingkredsen,1. Holmsland,Partiliste,Det Konservative Folkeparti,C,55
Ringkøbingkredsen,1. Holmsland,Keld Bech,Det Konservative Folkeparti,C,1
Ringkøbingkredsen,1. Holmsland,Inge Merete Iversen,Det Konservative Folkeparti,C,16
Ringkøbingkredsen,1. Holmsland,Karl Højhus Jeppesen,Det Konservative Folkeparti,C,5
Ringkøbingkredsen,1. Holmsland,Per Ørum Jørgensen,Det Konservative Folkeparti,C,8
Ringkøbingkredsen,1. Holmsland,Partiliste,Centrum-Demokraterne,D,8
Ringkøbingkredsen,1. Holmsland,Grethe P. Gottfredsen,Centrum-Demokraterne,D,0
Ringkøbingkredsen,1. Holmsland,A. O. Andersen,Centrum-Demokraterne,D,0
Ringkøbingkredsen,1. Holmsland,Kirsten M. Andersen,Centrum-Demokraterne,D,0
Ringkøbingkredsen,1. Holmsland,Carl Nissen,Centrum-Demokraterne,D,0
Ringkøbingkredsen,1. Holmsland,Partiliste,Socialistisk Folkeparti,F,13
Ringkøbingkredsen,1. Holmsland,Kristen Touborg,Socialistisk Folkeparti,F,17
Ringkøbingkredsen,1. Holmsland,Michael Thomsen,Socialistisk Folkeparti,F,1
Ringkøbingkredsen,1. Holmsland,Malene Vestergaard,Socialistisk Folkeparti,F,1
Ringkøbingkredsen,1. Holmsland,Karsten Wirring,Socialistisk Folkeparti,F,0
Ringkøbingkredsen,1. Holmsland,Partiliste,Kristendemokraterne,K,15
Ringkøbingkredsen,1. Holmsland,Jan Jensen Bech,Kristendemokraterne,K,2
Ringkøbingkredsen,1. Holmsland,Christian Bjerre,Kristendemokraterne,K,0
Ringkøbingkredsen,1. Holmsland,Simon Bjerre,Kristendemokraterne,K,0
Ringkøbingkredsen,1. Holmsland,Henning Lysholm Christensen,Kristendemokraterne,K,2
Ringkøbingkredsen,1. Holmsland,Tove Videbæk,Kristendemokraterne,K,32
Ringkøbingkredsen,1. Holmsland,Partiliste,Minoritetspartiet,M,0
Ringkøbingkredsen,1. Holmsland,Niklas Hessel,Minoritetspartiet,M,0
Ringkøbingkredsen,1. Holmsland,Kaj Ove Sørensen,Minoritetspartiet,M,0
Ringkøbingkredsen,1. Holmsland,Partiliste,Dansk Folkeparti,O,92
Ringkøbingkredsen,1. Holmsland,Dennis Flydtkjær,Dansk Folkeparti,O,17
Ringkøbingkredsen,1. Holmsland,Christian H. Hansen,Dansk Folkeparti,O,19
Ringkøbingkredsen,1. Holmsland,Bente Kronborg Holst,Dansk Folkeparti,O,4
Ringkøbingkredsen,1. Holmsland,Niels Nygaard Nielsen,Dansk Folkeparti,O,0
Ringkøbingkredsen,1. Holmsland,Partiliste,"Venstre, Danmarks Liberale Parti",V,151
Ringkøbingkredsen,1. Holmsland,Jens Kirk,"Venstre, Danmarks Liberale Parti",V,215
Ringkøbingkredsen,1. Holmsland,Henrik Fruergaard,"Venstre, Danmarks Liberale Parti",V,4
Ringkøbingkredsen,1. Holmsland,Søren Gade,"Venstre, Danmarks Liberale Parti",V,63
Ringkøbingkredsen,1. Holmsland,Kristian Jensen,"Venstre, Danmarks Liberale Parti",V,31
Ringkøbingkredsen,1. Holmsland,Hanne Severinsen,"Venstre, Danmarks Liberale Parti",V,15
Ringkøbingkredsen,1. Holmsland,Partiliste,Enhedslisten - De Rød-Grønne,Ø,3
Ringkøbingkredsen,1. Holmsland,Emil Axelgaard,Enhedslisten - De Rød-Grønne,Ø,4
Ringkøbingkredsen,1. Holmsland,Lars Dohn,Enhedslisten - De Rød-Grønne,Ø,0
Ringkøbingkredsen,1. Holmsland,Katrine Toft Mikkelsen,Enhedslisten - De Rød-Grønne,Ø,1
Ringkøbingkredsen,1. Holmsland,Peter V. Stenvang,Enhedslisten - De Rød-Grønne,Ø,0
Ringkøbingkredsen,1. Holmsland,Ejgil Kølbæk,(Uden for parti),(Uden for parti),0
Ringkøbingkredsen,1. Lemvig,Partiliste,Socialdemokratiet,A,579
Ringkøbingkredsen,1. Lemvig,Marianne Knudsen,Socialdemokratiet,A,237
Ringkøbingkredsen,1. Lemvig,Mogens Jensen,Socialdemokratiet,A,86
Ringkøbingkredsen,1. Lemvig,Niels Rasmussen,Socialdemokratiet,A,4
Ringkøbingkredsen,1. Lemvig,Jens Peter Vernersen,Socialdemokratiet,A,61
Ringkøbingkredsen,1. Lemvig,Partiliste,Det Radikale Venstre,B,223
Ringkøbingkredsen,1. Lemvig,Tine Ross Korsholm,Det Radikale Venstre,B,28
Ringkøbingkredsen,1. Lemvig,Claus Brodtkorb,Det Radikale Venstre,B,4
Ringkøbingkredsen,1. Lemvig,Ulla Fasting,Det Radikale Venstre,B,13
Ringkøbingkredsen,1. Lemvig,Johs. Poulsen,Det Radikale Venstre,B,33
Ringkøbingkredsen,1. Lemvig,Partiliste,Det Konservative Folkeparti,C,289
Ringkøbingkredsen,1. Lemvig,Keld Bech,Det Konservative Folkeparti,C,27
Ringkøbingkredsen,1. Lemvig,Inge Merete Iversen,Det Konservative Folkeparti,C,21
Ringkøbingkredsen,1. Lemvig,Karl Højhus Jeppesen,Det Konservative Folkeparti,C,6
Ringkøbingkredsen,1. Lemvig,Per Ørum Jørgensen,Det Konservative Folkeparti,C,53
Ringkøbingkredsen,1. Lemvig,Partiliste,Centrum-Demokraterne,D,32
Ringkøbingkredsen,1. Lemvig,Grethe P. Gottfredsen,Centrum-Demokraterne,D,0
Ringkøbingkredsen,1. Lemvig,A. O. Andersen,Centrum-Demokraterne,D,1
Ringkøbingkredsen,1. Lemvig,Kirsten M. Andersen,Centrum-Demokraterne,D,5
Ringkøbingkredsen,1. Lemvig,Carl Nissen,Centrum-Demokraterne,D,1
Ringkøbingkredsen,1. Lemvig,Partiliste,Socialistisk Folkeparti,F,68
Ringkøbingkredsen,1. Lemvig,Kristen Touborg,Socialistisk Folkeparti,F,363
Ringkøbingkredsen,1. Lemvig,Michael Thomsen,Socialistisk Folkeparti,F,4
Ringkøbingkredsen,1. Lemvig,Malene Vestergaard,Socialistisk Folkeparti,F,11
Ringkøbingkredsen,1. Lemvig,Karsten Wirring,Socialistisk Folkeparti,F,1
