kreds,valgsted_navn,kandidat_navn,parti,partibogstav,stemmer
Århus Østkredsen,21. Rådhushallen,Partiliste,Socialdemokratiet,A,950
Århus Østkredsen,21. Rådhushallen,Svend Auken,Socialdemokratiet,A,879
Århus Østkredsen,21. Rådhushallen,Hüseyin Arac,Socialdemokratiet,A,120
Århus Østkredsen,21. Rådhushallen,Lars Bang,Socialdemokratiet,A,5
Århus Østkredsen,21. Rådhushallen,René Skau Björnsson,Socialdemokratiet,A,66
Århus Østkredsen,21. Rådhushallen,Kirsten Brosbøl,Socialdemokratiet,A,70
Århus Østkredsen,21. Rådhushallen,Torben Hansen,Socialdemokratiet,A,6
Århus Østkredsen,21. Rådhushallen,Anne-Marie Meldgaard,Socialdemokratiet,A,71
Århus Østkredsen,21. Rådhushallen,Jørn Pedersen,Socialdemokratiet,A,0
Århus Østkredsen,21. Rådhushallen,Jan Petersen,Socialdemokratiet,A,6
Århus Østkredsen,21. Rådhushallen,Rita Vinding,Socialdemokratiet,A,6
Århus Østkredsen,21. Rådhushallen,Partiliste,Det Radikale Venstre,B,1422
Århus Østkredsen,21. Rådhushallen,Elisabeth Arnold,Det Radikale Venstre,B,236
Århus Østkredsen,21. Rådhushallen,Kåre Albrechtsen,Det Radikale Venstre,B,36
Århus Østkredsen,21. Rådhushallen,Mogens Frederiksen,Det Radikale Venstre,B,2
Århus Østkredsen,21. Rådhushallen,Gunhild Husum,Det Radikale Venstre,B,11
Århus Østkredsen,21. Rådhushallen,Lasse Højgaard,Det Radikale Venstre,B,2
Århus Østkredsen,21. Rådhushallen,Mogens Nyholm,Det Radikale Venstre,B,3
Århus Østkredsen,21. Rådhushallen,Ela Nørgaard,Det Radikale Venstre,B,0
Århus Østkredsen,21. Rådhushallen,Marianne Saxtoft,Det Radikale Venstre,B,19
Århus Østkredsen,21. Rådhushallen,Sven Skovmand,Det Radikale Venstre,B,3
Århus Østkredsen,21. Rådhushallen,Morten Østergaard,Det Radikale Venstre,B,218
Århus Østkredsen,21. Rådhushallen,Partiliste,Det Konservative Folkeparti,C,529
Århus Østkredsen,21. Rådhushallen,Henriette Kjær,Det Konservative Folkeparti,C,389
Århus Østkredsen,21. Rådhushallen,Tom Behnke,Det Konservative Folkeparti,C,37
Århus Østkredsen,21. Rådhushallen,Ole Esmark,Det Konservative Folkeparti,C,23
Århus Østkredsen,21. Rådhushallen,Søren Fischer,Det Konservative Folkeparti,C,11
Århus Østkredsen,21. Rådhushallen,Benny Hammer,Det Konservative Folkeparti,C,4
Århus Østkredsen,21. Rådhushallen,Benny Jensen,Det Konservative Folkeparti,C,3
Århus Østkredsen,21. Rådhushallen,Ann-Kathrine Karoff,Det Konservative Folkeparti,C,33
Århus Østkredsen,21. Rådhushallen,Poul Müller,Det Konservative Folkeparti,C,11
