kreds,valgsted_navn,kandidat_navn,parti,partibogstav,stemmer
Rønnekredsen,1. Hasle,Partiliste,Socialdemokratiet,A,91
Rønnekredsen,1. Hasle,Jeppe Kofod,Socialdemokratiet,A,357
Rønnekredsen,1. Hasle,Dorrit Knudsen,Socialdemokratiet,A,8
Rønnekredsen,1. Hasle,Per Ole Petersen,Socialdemokratiet,A,5
Rønnekredsen,1. Hasle,Partiliste,Det Radikale Venstre,B,32
Rønnekredsen,1. Hasle,Jørgen Cort Jensen,Det Radikale Venstre,B,2
Rønnekredsen,1. Hasle,Lone Thrane,Det Radikale Venstre,B,2
Rønnekredsen,1. Hasle,Partiliste,Det Konservative Folkeparti,C,25
Rønnekredsen,1. Hasle,Niels Jørgensen,Det Konservative Folkeparti,C,15
Rønnekredsen,1. Hasle,Partiliste,Centrum-Demokraterne,D,12
Rønnekredsen,1. Hasle,Henning Pedersen,Centrum-Demokraterne,D,1
Rønnekredsen,1. Hasle,Anders Klausen,Centrum-Demokraterne,D,1
Rønnekredsen,1. Hasle,Partiliste,Socialistisk Folkeparti,F,25
Rønnekredsen,1. Hasle,Leif Olsen,Socialistisk Folkeparti,F,17
Rønnekredsen,1. Hasle,Poul Overlund-Sørensen,Socialistisk Folkeparti,F,4
Rønnekredsen,1. Hasle,Partiliste,Kristendemokraterne,K,22
Rønnekredsen,1. Hasle,Niels Chresten Andersen,Kristendemokraterne,K,30
Rønnekredsen,1. Hasle,Inge Østergaard,Kristendemokraterne,K,4
Rønnekredsen,1. Hasle,Partiliste,Minoritetspartiet,M,1
Rønnekredsen,1. Hasle,Mogens Nebelong,Minoritetspartiet,M,0
Rønnekredsen,1. Hasle,Dennis Bauer,Minoritetspartiet,M,2
Rønnekredsen,1. Hasle,Glenn Fischer,Minoritetspartiet,M,0
Rønnekredsen,1. Hasle,Partiliste,Dansk Folkeparti,O,115
Rønnekredsen,1. Hasle,Britta Due Andersen,Dansk Folkeparti,O,25
Rønnekredsen,1. Hasle,Sandie Langer,Dansk Folkeparti,O,7
Rønnekredsen,1. Hasle,Partiliste,"Venstre, Danmarks Liberale Parti",V,112
Rønnekredsen,1. Hasle,Joan Erlandsen,"Venstre, Danmarks Liberale Parti",V,170
Rønnekredsen,1. Hasle,Peter Juel Jensen,"Venstre, Danmarks Liberale Parti",V,21
Rønnekredsen,1. Hasle,Thor Gunnar Kofoed,"Venstre, Danmarks Liberale Parti",V,95
Rønnekredsen,1. Hasle,Partiliste,Enhedslisten - De Rød-Grønne,Ø,27
Rønnekredsen,1. Hasle,Bjarne Thyregod,Enhedslisten - De Rød-Grønne,Ø,7
Rønnekredsen,1. Hasle,Rene Bloch,Enhedslisten - De Rød-Grønne,Ø,5
Rønnekredsen,1. Hasle,Tonny Rajnar Jarl Borrinjaland,(Uden for parti),(Uden for parti),5
Rønnekredsen,1. Hasle,Poul Erik Jessen,(Uden for parti),(Uden for parti),16
Rønnekredsen,2. Klemensker,Partiliste,Socialdemokratiet,A,51
Rønnekredsen,2. Klemensker,Jeppe Kofod,Socialdemokratiet,A,255
Rønnekredsen,2. Klemensker,Dorrit Knudsen,Socialdemokratiet,A,6
Rønnekredsen,2. Klemensker,Per Ole Petersen,Socialdemokratiet,A,2
Rønnekredsen,2. Klemensker,Partiliste,Det Radikale Venstre,B,33
Rønnekredsen,2. Klemensker,Jørgen Cort Jensen,Det Radikale Venstre,B,2
Rønnekredsen,2. Klemensker,Lone Thrane,Det Radikale Venstre,B,6
Rønnekredsen,2. Klemensker,Partiliste,Det Konservative Folkeparti,C,19
Rønnekredsen,2. Klemensker,Niels Jørgensen,Det Konservative Folkeparti,C,11
Rønnekredsen,2. Klemensker,Partiliste,Centrum-Demokraterne,D,4
Rønnekredsen,2. Klemensker,Henning Pedersen,Centrum-Demokraterne,D,1
Rønnekredsen,2. Klemensker,Anders Klausen,Centrum-Demokraterne,D,0
Rønnekredsen,2. Klemensker,Partiliste,Socialistisk Folkeparti,F,21
Rønnekredsen,2. Klemensker,Leif Olsen,Socialistisk Folkeparti,F,23
Rønnekredsen,2. Klemensker,Poul Overlund-Sørensen,Socialistisk Folkeparti,F,2
Rønnekredsen,2. Klemensker,Partiliste,Kristendemokraterne,K,20
Rønnekredsen,2. Klemensker,Niels Chresten Andersen,Kristendemokraterne,K,31
Rønnekredsen,2. Klemensker,Inge Østergaard,Kristendemokraterne,K,2
Rønnekredsen,2. Klemensker,Partiliste,Minoritetspartiet,M,1
Rønnekredsen,2. Klemensker,Mogens Nebelong,Minoritetspartiet,M,0
Rønnekredsen,2. Klemensker,Dennis Bauer,Minoritetspartiet,M,0
Rønnekredsen,2. Klemensker,Glenn Fischer,Minoritetspartiet,M,0
Rønnekredsen,2. Klemensker,Partiliste,Dansk Folkeparti,O,98
Rønnekredsen,2. Klemensker,Britta Due Andersen,Dansk Folkeparti,O,31
Rønnekredsen,2. Klemensker,Sandie Langer,Dansk Folkeparti,O,4
Rønnekredsen,2. Klemensker,Partiliste,"Venstre, Danmarks Liberale Parti",V,83
Rønnekredsen,2. Klemensker,Joan Erlandsen,"Venstre, Danmarks Liberale Parti",V,193
Rønnekredsen,2. Klemensker,Peter Juel Jensen,"Venstre, Danmarks Liberale Parti",V,25
Rønnekredsen,2. Klemensker,Thor Gunnar Kofoed,"Venstre, Danmarks Liberale Parti",V,145
Rønnekredsen,2. Klemensker,Partiliste,Enhedslisten - De Rød-Grønne,Ø,29
Rønnekredsen,2. Klemensker,Bjarne Thyregod,Enhedslisten - De Rød-Grønne,Ø,9
Rønnekredsen,2. Klemensker,Rene Bloch,Enhedslisten - De Rød-Grønne,Ø,6
Rønnekredsen,2. Klemensker,Tonny Rajnar Jarl Borrinjaland,(Uden for parti),(Uden for parti),3
Rønnekredsen,2. Klemensker,Poul Erik Jessen,(Uden for parti),(Uden for parti),25
Rønnekredsen,3. Nyker,Partiliste,Socialdemokratiet,A,63
Rønnekredsen,3. Nyker,Jeppe Kofod,Socialdemokratiet,A,290
Rønnekredsen,3. Nyker,Dorrit Knudsen,Socialdemokratiet,A,4
Rønnekredsen,3. Nyker,Per Ole Petersen,Socialdemokratiet,A,4
Rønnekredsen,3. Nyker,Partiliste,Det Radikale Venstre,B,31
Rønnekredsen,3. Nyker,Jørgen Cort Jensen,Det Radikale Venstre,B,2
Rønnekredsen,3. Nyker,Lone Thrane,Det Radikale Venstre,B,5
Rønnekredsen,3. Nyker,Partiliste,Det Konservative Folkeparti,C,19
Rønnekredsen,3. Nyker,Niels Jørgensen,Det Konservative Folkeparti,C,11
Rønnekredsen,3. Nyker,Partiliste,Centrum-Demokraterne,D,5
Rønnekredsen,3. Nyker,Henning Pedersen,Centrum-Demokraterne,D,0
Rønnekredsen,3. Nyker,Anders Klausen,Centrum-Demokraterne,D,0
Rønnekredsen,3. Nyker,Partiliste,Socialistisk Folkeparti,F,14
Rønnekredsen,3. Nyker,Leif Olsen,Socialistisk Folkeparti,F,12
Rønnekredsen,3. Nyker,Poul Overlund-Sørensen,Socialistisk Folkeparti,F,1
Rønnekredsen,3. Nyker,Partiliste,Kristendemokraterne,K,29
Rønnekredsen,3. Nyker,Niels Chresten Andersen,Kristendemokraterne,K,38
Rønnekredsen,3. Nyker,Inge Østergaard,Kristendemokraterne,K,1
Rønnekredsen,3. Nyker,Partiliste,Minoritetspartiet,M,1
Rønnekredsen,3. Nyker,Mogens Nebelong,Minoritetspartiet,M,1
Rønnekredsen,3. Nyker,Dennis Bauer,Minoritetspartiet,M,0
Rønnekredsen,3. Nyker,Glenn Fischer,Minoritetspartiet,M,0
Rønnekredsen,3. Nyker,Partiliste,Dansk Folkeparti,O,80
Rønnekredsen,3. Nyker,Britta Due Andersen,Dansk Folkeparti,O,41
Rønnekredsen,3. Nyker,Sandie Langer,Dansk Folkeparti,O,7
Rønnekredsen,3. Nyker,Partiliste,"Venstre, Danmarks Liberale Parti",V,87
Rønnekredsen,3. Nyker,Joan Erlandsen,"Venstre, Danmarks Liberale Parti",V,161
Rønnekredsen,3. Nyker,Peter Juel Jensen,"Venstre, Danmarks Liberale Parti",V,62
Rønnekredsen,3. Nyker,Thor Gunnar Kofoed,"Venstre, Danmarks Liberale Parti",V,145
Rønnekredsen,3. Nyker,Partiliste,Enhedslisten - De Rød-Grønne,Ø,29
Rønnekredsen,3. Nyker,Bjarne Thyregod,Enhedslisten - De Rød-Grønne,Ø,16
Rønnekredsen,3. Nyker,Rene Bloch,Enhedslisten - De Rød-Grønne,Ø,2
Rønnekredsen,3. Nyker,Tonny Rajnar Jarl Borrinjaland,(Uden for parti),(Uden for parti),2
Rønnekredsen,3. Nyker,Poul Erik Jessen,(Uden for parti),(Uden for parti),11
Rønnekredsen,4. Rutsker,Partiliste,Socialdemokratiet,A,26
Rønnekredsen,4. Rutsker,Jeppe Kofod,Socialdemokratiet,A,104
Rønnekredsen,4. Rutsker,Dorrit Knudsen,Socialdemokratiet,A,3
Rønnekredsen,4. Rutsker,Per Ole Petersen,Socialdemokratiet,A,0
Rønnekredsen,4. Rutsker,Partiliste,Det Radikale Venstre,B,31
Rønnekredsen,4. Rutsker,Jørgen Cort Jensen,Det Radikale Venstre,B,1
Rønnekredsen,4. Rutsker,Lone Thrane,Det Radikale Venstre,B,0
Rønnekredsen,4. Rutsker,Partiliste,Det Konservative Folkeparti,C,7
Rønnekredsen,4. Rutsker,Niels Jørgensen,Det Konservative Folkeparti,C,6
Rønnekredsen,4. Rutsker,Partiliste,Centrum-Demokraterne,D,3
Rønnekredsen,4. Rutsker,Henning Pedersen,Centrum-Demokraterne,D,0
Rønnekredsen,4. Rutsker,Anders Klausen,Centrum-Demokraterne,D,0
Rønnekredsen,4. Rutsker,Partiliste,Socialistisk Folkeparti,F,12
Rønnekredsen,4. Rutsker,Leif Olsen,Socialistisk Folkeparti,F,8
Rønnekredsen,4. Rutsker,Poul Overlund-Sørensen,Socialistisk Folkeparti,F,3
Rønnekredsen,4. Rutsker,Partiliste,Kristendemokraterne,K,2
Rønnekredsen,4. Rutsker,Niels Chresten Andersen,Kristendemokraterne,K,7
Rønnekredsen,4. Rutsker,Inge Østergaard,Kristendemokraterne,K,0
Rønnekredsen,4. Rutsker,Partiliste,Minoritetspartiet,M,0
Rønnekredsen,4. Rutsker,Mogens Nebelong,Minoritetspartiet,M,0
Rønnekredsen,4. Rutsker,Dennis Bauer,Minoritetspartiet,M,0
Rønnekredsen,4. Rutsker,Glenn Fischer,Minoritetspartiet,M,0
Rønnekredsen,4. Rutsker,Partiliste,Dansk Folkeparti,O,22
Rønnekredsen,4. Rutsker,Britta Due Andersen,Dansk Folkeparti,O,12
Rønnekredsen,4. Rutsker,Sandie Langer,Dansk Folkeparti,O,3
Rønnekredsen,4. Rutsker,Partiliste,"Venstre, Danmarks Liberale Parti",V,37
Rønnekredsen,4. Rutsker,Joan Erlandsen,"Venstre, Danmarks Liberale Parti",V,62
Rønnekredsen,4. Rutsker,Peter Juel Jensen,"Venstre, Danmarks Liberale Parti",V,19
Rønnekredsen,4. Rutsker,Thor Gunnar Kofoed,"Venstre, Danmarks Liberale Parti",V,44
Rønnekredsen,4. Rutsker,Partiliste,Enhedslisten - De Rød-Grønne,Ø,22
Rønnekredsen,4. Rutsker,Bjarne Thyregod,Enhedslisten - De Rød-Grønne,Ø,4
Rønnekredsen,4. Rutsker,Rene Bloch,Enhedslisten - De Rød-Grønne,Ø,1
Rønnekredsen,4. Rutsker,Tonny Rajnar Jarl Borrinjaland,(Uden for parti),(Uden for parti),2
Rønnekredsen,4. Rutsker,Poul Erik Jessen,(Uden for parti),(Uden for parti),8
Rønnekredsen,20. Rønne,Partiliste,Socialdemokratiet,A,644
Rønnekredsen,20. Rønne,Jeppe Kofod,Socialdemokratiet,A,2843
Rønnekredsen,20. Rønne,Dorrit Knudsen,Socialdemokratiet,A,61
Rønnekredsen,20. Rønne,Per Ole Petersen,Socialdemokratiet,A,33
Rønnekredsen,20. Rønne,Partiliste,Det Radikale Venstre,B,326
Rønnekredsen,20. Rønne,Jørgen Cort Jensen,Det Radikale Venstre,B,34
Rønnekredsen,20. Rønne,Lone Thrane,Det Radikale Venstre,B,35
Rønnekredsen,20. Rønne,Partiliste,Det Konservative Folkeparti,C,218
Rønnekredsen,20. Rønne,Niels Jørgensen,Det Konservative Folkeparti,C,79
Rønnekredsen,20. Rønne,Partiliste,Centrum-Demokraterne,D,51
Rønnekredsen,20. Rønne,Henning Pedersen,Centrum-Demokraterne,D,6
Rønnekredsen,20. Rønne,Anders Klausen,Centrum-Demokraterne,D,4
Rønnekredsen,20. Rønne,Partiliste,Socialistisk Folkeparti,F,222
Rønnekredsen,20. Rønne,Leif Olsen,Socialistisk Folkeparti,F,143
Rønnekredsen,20. Rønne,Poul Overlund-Sørensen,Socialistisk Folkeparti,F,37
Rønnekredsen,20. Rønne,Partiliste,Kristendemokraterne,K,126
Rønnekredsen,20. Rønne,Niels Chresten Andersen,Kristendemokraterne,K,177
Rønnekredsen,20. Rønne,Inge Østergaard,Kristendemokraterne,K,9
Rønnekredsen,20. Rønne,Partiliste,Minoritetspartiet,M,15
Rønnekredsen,20. Rønne,Mogens Nebelong,Minoritetspartiet,M,2
Rønnekredsen,20. Rønne,Dennis Bauer,Minoritetspartiet,M,2
Rønnekredsen,20. Rønne,Glenn Fischer,Minoritetspartiet,M,0
Rønnekredsen,20. Rønne,Partiliste,Dansk Folkeparti,O,657
