kreds,valgsted_navn,kandidat_navn,parti,partibogstav,stemmer
Helsingørkredsen,1. Helsingør Bibliotek,Partiliste,Socialdemokratiet,A,593
Helsingørkredsen,1. Helsingør Bibliotek,Carsten Bo Jensen,Socialdemokratiet,A,465
Helsingørkredsen,1. Helsingør Bibliotek,Klaus Hækkerup,Socialdemokratiet,A,81
Helsingørkredsen,1. Helsingør Bibliotek,Lone Møller,Socialdemokratiet,A,216
Helsingørkredsen,1. Helsingør Bibliotek,Hans Nissen,Socialdemokratiet,A,22
Helsingørkredsen,1. Helsingør Bibliotek,Partiliste,Det Radikale Venstre,B,270
Helsingørkredsen,1. Helsingør Bibliotek,Poul Bernt Jensen,Det Radikale Venstre,B,29
Helsingørkredsen,1. Helsingør Bibliotek,Kim Sejr,Det Radikale Venstre,B,6
Helsingørkredsen,1. Helsingør Bibliotek,Peter Sørensen,Det Radikale Venstre,B,1
Helsingørkredsen,1. Helsingør Bibliotek,Margrethe Vestager,Det Radikale Venstre,B,475
Helsingørkredsen,1. Helsingør Bibliotek,Partiliste,Det Konservative Folkeparti,C,298
Helsingørkredsen,1. Helsingør Bibliotek,Sten Kallenbach,Det Konservative Folkeparti,C,190
Helsingørkredsen,1. Helsingør Bibliotek,Lars Barfoed,Det Konservative Folkeparti,C,44
Helsingørkredsen,1. Helsingør Bibliotek,Finn Hansen,Det Konservative Folkeparti,C,4
Helsingørkredsen,1. Helsingør Bibliotek,Benedikte Kiær,Det Konservative Folkeparti,C,52
Helsingørkredsen,1. Helsingør Bibliotek,Partiliste,Centrum-Demokraterne,D,65
Helsingørkredsen,1. Helsingør Bibliotek,Lars Richard Rasmussen,Centrum-Demokraterne,D,5
Helsingørkredsen,1. Helsingør Bibliotek,Susanne Clemensen,Centrum-Demokraterne,D,12
Helsingørkredsen,1. Helsingør Bibliotek,Jesper Skovsgaard Frederiksen,Centrum-Demokraterne,D,1
Helsingørkredsen,1. Helsingør Bibliotek,Bjarne Møgelhøj,Centrum-Demokraterne,D,4
Helsingørkredsen,1. Helsingør Bibliotek,Partiliste,Socialistisk Folkeparti,F,279
Helsingørkredsen,1. Helsingør Bibliotek,Erik Bach,Socialistisk Folkeparti,F,29
Helsingørkredsen,1. Helsingør Bibliotek,Poul Henrik Hedeboe,Socialistisk Folkeparti,F,11
Helsingørkredsen,1. Helsingør Bibliotek,Pia Olsen,Socialistisk Folkeparti,F,72
Helsingørkredsen,1. Helsingør Bibliotek,Nikolaj Bührmann,Socialistisk Folkeparti,F,9
Helsingørkredsen,1. Helsingør Bibliotek,Partiliste,Kristendemokraterne,K,42
Helsingørkredsen,1. Helsingør Bibliotek,Claus Dyhrberg,Kristendemokraterne,K,4
Helsingørkredsen,1. Helsingør Bibliotek,Anne-Mie Andersen,Kristendemokraterne,K,4
Helsingørkredsen,1. Helsingør Bibliotek,Brian Kjøller,Kristendemokraterne,K,0
Helsingørkredsen,1. Helsingør Bibliotek,Birger Reuss Schmidt,Kristendemokraterne,K,2
Helsingørkredsen,1. Helsingør Bibliotek,Kristian Øhrstrøm,Kristendemokraterne,K,0
Helsingørkredsen,1. Helsingør Bibliotek,Partiliste,Minoritetspartiet,M,12
Helsingørkredsen,1. Helsingør Bibliotek,Poul Gerhard C. Kristiansen,Minoritetspartiet,M,6
Helsingørkredsen,1. Helsingør Bibliotek,Godfred Louis-Jensen,Minoritetspartiet,M,0
Helsingørkredsen,1. Helsingør Bibliotek,Partiliste,Dansk Folkeparti,O,471
Helsingørkredsen,1. Helsingør Bibliotek,Poula Thrane,Dansk Folkeparti,O,51
Helsingørkredsen,1. Helsingør Bibliotek,Walter Christophersen,Dansk Folkeparti,O,17
Helsingørkredsen,1. Helsingør Bibliotek,Louise Frevert,Dansk Folkeparti,O,162
Helsingørkredsen,1. Helsingør Bibliotek,Egil Møller,Dansk Folkeparti,O,16
Helsingørkredsen,1. Helsingør Bibliotek,Partiliste,"Venstre, Danmarks Liberale Parti",V,663
Helsingørkredsen,1. Helsingør Bibliotek,Hans Andersen,"Venstre, Danmarks Liberale Parti",V,136
Helsingørkredsen,1. Helsingør Bibliotek,Charlotte Antonsen,"Venstre, Danmarks Liberale Parti",V,62
Helsingørkredsen,1. Helsingør Bibliotek,Thor Pedersen,"Venstre, Danmarks Liberale Parti",V,18
Helsingørkredsen,1. Helsingør Bibliotek,Lars Løkke Rasmussen,"Venstre, Danmarks Liberale Parti",V,346
Helsingørkredsen,1. Helsingør Bibliotek,Partiliste,Enhedslisten - De Rød-Grønne,Ø,241
Helsingørkredsen,1. Helsingør Bibliotek,Helge Bo Jensen,Enhedslisten - De Rød-Grønne,Ø,17
Helsingørkredsen,1. Helsingør Bibliotek,Anders Taarnby Thomsen,Enhedslisten - De Rød-Grønne,Ø,22
Helsingørkredsen,1. Helsingør Bibliotek,Peter Eckardt,Enhedslisten - De Rød-Grønne,Ø,4
Helsingørkredsen,1. Helsingør Bibliotek,Pernille Jensen,Enhedslisten - De Rød-Grønne,Ø,39
Helsingørkredsen,1. Helsingør Bibliotek,Mette Tolstrup,Enhedslisten - De Rød-Grønne,Ø,6
Helsingørkredsen,"2. Montebello, Gurrevej 90",Partiliste,Socialdemokratiet,A,980
Helsingørkredsen,"2. Montebello, Gurrevej 90",Carsten Bo Jensen,Socialdemokratiet,A,1035
Helsingørkredsen,"2. Montebello, Gurrevej 90",Klaus Hækkerup,Socialdemokratiet,A,99
Helsingørkredsen,"2. Montebello, Gurrevej 90",Lone Møller,Socialdemokratiet,A,525
Helsingørkredsen,"2. Montebello, Gurrevej 90",Hans Nissen,Socialdemokratiet,A,41
Helsingørkredsen,"2. Montebello, Gurrevej 90",Partiliste,Det Radikale Venstre,B,234
Helsingørkredsen,"2. Montebello, Gurrevej 90",Poul Bernt Jensen,Det Radikale Venstre,B,39
Helsingørkredsen,"2. Montebello, Gurrevej 90",Kim Sejr,Det Radikale Venstre,B,6
Helsingørkredsen,"2. Montebello, Gurrevej 90",Peter Sørensen,Det Radikale Venstre,B,6
Helsingørkredsen,"2. Montebello, Gurrevej 90",Margrethe Vestager,Det Radikale Venstre,B,400
Helsingørkredsen,"2. Montebello, Gurrevej 90",Partiliste,Det Konservative Folkeparti,C,259
Helsingørkredsen,"2. Montebello, Gurrevej 90",Sten Kallenbach,Det Konservative Folkeparti,C,188
Helsingørkredsen,"2. Montebello, Gurrevej 90",Lars Barfoed,Det Konservative Folkeparti,C,48
Helsingørkredsen,"2. Montebello, Gurrevej 90",Finn Hansen,Det Konservative Folkeparti,C,7
Helsingørkredsen,"2. Montebello, Gurrevej 90",Benedikte Kiær,Det Konservative Folkeparti,C,67
Helsingørkredsen,"2. Montebello, Gurrevej 90",Partiliste,Centrum-Demokraterne,D,55
Helsingørkredsen,"2. Montebello, Gurrevej 90",Lars Richard Rasmussen,Centrum-Demokraterne,D,2
Helsingørkredsen,"2. Montebello, Gurrevej 90",Susanne Clemensen,Centrum-Demokraterne,D,10
Helsingørkredsen,"2. Montebello, Gurrevej 90",Jesper Skovsgaard Frederiksen,Centrum-Demokraterne,D,1
Helsingørkredsen,"2. Montebello, Gurrevej 90",Bjarne Møgelhøj,Centrum-Demokraterne,D,3
Helsingørkredsen,"2. Montebello, Gurrevej 90",Partiliste,Socialistisk Folkeparti,F,314
Helsingørkredsen,"2. Montebello, Gurrevej 90",Erik Bach,Socialistisk Folkeparti,F,66
Helsingørkredsen,"2. Montebello, Gurrevej 90",Poul Henrik Hedeboe,Socialistisk Folkeparti,F,15
Helsingørkredsen,"2. Montebello, Gurrevej 90",Pia Olsen,Socialistisk Folkeparti,F,85
Helsingørkredsen,"2. Montebello, Gurrevej 90",Nikolaj Bührmann,Socialistisk Folkeparti,F,2
Helsingørkredsen,"2. Montebello, Gurrevej 90",Partiliste,Kristendemokraterne,K,42
Helsingørkredsen,"2. Montebello, Gurrevej 90",Claus Dyhrberg,Kristendemokraterne,K,2
Helsingørkredsen,"2. Montebello, Gurrevej 90",Anne-Mie Andersen,Kristendemokraterne,K,12
Helsingørkredsen,"2. Montebello, Gurrevej 90",Brian Kjøller,Kristendemokraterne,K,2
Helsingørkredsen,"2. Montebello, Gurrevej 90",Birger Reuss Schmidt,Kristendemokraterne,K,5
Helsingørkredsen,"2. Montebello, Gurrevej 90",Kristian Øhrstrøm,Kristendemokraterne,K,1
Helsingørkredsen,"2. Montebello, Gurrevej 90",Partiliste,Minoritetspartiet,M,16
Helsingørkredsen,"2. Montebello, Gurrevej 90",Poul Gerhard C. Kristiansen,Minoritetspartiet,M,1
Helsingørkredsen,"2. Montebello, Gurrevej 90",Godfred Louis-Jensen,Minoritetspartiet,M,0
Helsingørkredsen,"2. Montebello, Gurrevej 90",Partiliste,Dansk Folkeparti,O,811
Helsingørkredsen,"2. Montebello, Gurrevej 90",Poula Thrane,Dansk Folkeparti,O,87
Helsingørkredsen,"2. Montebello, Gurrevej 90",Walter Christophersen,Dansk Folkeparti,O,42
Helsingørkredsen,"2. Montebello, Gurrevej 90",Louise Frevert,Dansk Folkeparti,O,241
Helsingørkredsen,"2. Montebello, Gurrevej 90",Egil Møller,Dansk Folkeparti,O,25
Helsingørkredsen,"2. Montebello, Gurrevej 90",Partiliste,"Venstre, Danmarks Liberale Parti",V,704
Helsingørkredsen,"2. Montebello, Gurrevej 90",Hans Andersen,"Venstre, Danmarks Liberale Parti",V,176
