kreds,valgsted_navn,kandidat_navn,parti,partibogstav,stemmer
Gl. Kongevejkredsen,"1. 1. Kreds, Øst",Partiliste,Socialdemokratiet,A,675
Gl. Kongevejkredsen,"1. 1. Kreds, Øst",Peter Linde,Socialdemokratiet,A,30
Gl. Kongevejkredsen,"1. 1. Kreds, Øst",Sophie Hæstorp Andersen,Socialdemokratiet,A,174
Gl. Kongevejkredsen,"1. 1. Kreds, Øst",Pia Gjellerup,Socialdemokratiet,A,230
Gl. Kongevejkredsen,"1. 1. Kreds, Øst",Rasmus Bendix Gregersen,Socialdemokratiet,A,12
Gl. Kongevejkredsen,"1. 1. Kreds, Øst",Flemming Pless,Socialdemokratiet,A,69
Gl. Kongevejkredsen,"1. 1. Kreds, Øst",Mette Reissmann,Socialdemokratiet,A,51
Gl. Kongevejkredsen,"1. 1. Kreds, Øst",Partiliste,Det Radikale Venstre,B,730
Gl. Kongevejkredsen,"1. 1. Kreds, Øst",Peter Jægerskou,Det Radikale Venstre,B,30
Gl. Kongevejkredsen,"1. 1. Kreds, Øst",Rikke Danielsen,Det Radikale Venstre,B,83
Gl. Kongevejkredsen,"1. 1. Kreds, Øst",Lone Dybkjær,Det Radikale Venstre,B,440
Gl. Kongevejkredsen,"1. 1. Kreds, Øst",Manu Sareen,Det Radikale Venstre,B,129
Gl. Kongevejkredsen,"1. 1. Kreds, Øst",David Munis Zepernick,Det Radikale Venstre,B,17
Gl. Kongevejkredsen,"1. 1. Kreds, Øst",Lars Østergaard,Det Radikale Venstre,B,9
Gl. Kongevejkredsen,"1. 1. Kreds, Øst",Partiliste,Det Konservative Folkeparti,C,385
Gl. Kongevejkredsen,"1. 1. Kreds, Øst",Claus Høegh-Guldberg,Det Konservative Folkeparti,C,29
Gl. Kongevejkredsen,"1. 1. Kreds, Øst",Claus Bøgh,Det Konservative Folkeparti,C,7
Gl. Kongevejkredsen,"1. 1. Kreds, Øst",Anne-Louise Eppler,Det Konservative Folkeparti,C,45
Gl. Kongevejkredsen,"1. 1. Kreds, Øst",Per Stig Møller,Det Konservative Folkeparti,C,584
Gl. Kongevejkredsen,"1. 1. Kreds, Øst",Regitze Schrøder,Det Konservative Folkeparti,C,30
Gl. Kongevejkredsen,"1. 1. Kreds, Øst",Holger Sørensen,Det Konservative Folkeparti,C,12
Gl. Kongevejkredsen,"1. 1. Kreds, Øst",Partiliste,Centrum-Demokraterne,D,74
Gl. Kongevejkredsen,"1. 1. Kreds, Øst",Michael Prehn,Centrum-Demokraterne,D,2
Gl. Kongevejkredsen,"1. 1. Kreds, Øst",Lubna Elahi,Centrum-Demokraterne,D,4
Gl. Kongevejkredsen,"1. 1. Kreds, Øst",Christian Jakobsen,Centrum-Demokraterne,D,5
Gl. Kongevejkredsen,"1. 1. Kreds, Øst",Jette Pauli,Centrum-Demokraterne,D,4
Gl. Kongevejkredsen,"1. 1. Kreds, Øst",Erik Pedersen,Centrum-Demokraterne,D,0
Gl. Kongevejkredsen,"1. 1. Kreds, Øst",Partiliste,Socialistisk Folkeparti,F,371
Gl. Kongevejkredsen,"1. 1. Kreds, Øst",Elisabeth Tosti Nielsen,Socialistisk Folkeparti,F,67
Gl. Kongevejkredsen,"1. 1. Kreds, Øst",Rachid El Mousti,Socialistisk Folkeparti,F,78
Gl. Kongevejkredsen,"1. 1. Kreds, Øst",Knud Erik Hansen,Socialistisk Folkeparti,F,12
Gl. Kongevejkredsen,"1. 1. Kreds, Øst",Ninna Thomsen,Socialistisk Folkeparti,F,29
Gl. Kongevejkredsen,"1. 1. Kreds, Øst",Thomas Warburg,Socialistisk Folkeparti,F,6
Gl. Kongevejkredsen,"1. 1. Kreds, Øst",Nikoline Ziemer,Socialistisk Folkeparti,F,9
Gl. Kongevejkredsen,"1. 1. Kreds, Øst",Partiliste,Kristendemokraterne,K,48
