Kreds,valgsted_navn,kandidat_navn,parti,stemmer,Storkreds
Helsingørkredsen,1. Helsingør Hallen,Kasper Heumann Kristensen,Liberal Alliance,1,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Marianne Mørk Mathiesen,Liberal Alliance,3,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Jakob Bille,Liberal Alliance,1,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Sabeena Sareen,Liberal Alliance,1,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Andreas Hastrup,Liberal Alliance,2,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Anne Kathrine Kirk,Liberal Alliance,0,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Niels Høiby,Liberal Alliance,0,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Partiliste,Folkebevægelsen mod EU,260,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Rina Ronja Kari,Folkebevægelsen mod EU,209,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Lave K. Broch,Folkebevægelsen mod EU,16,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Ole Nors Nielsen,Folkebevægelsen mod EU,11,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Christian Juhl,Folkebevægelsen mod EU,10,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Karina Rohr Sørensen,Folkebevægelsen mod EU,11,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Jørgen Grøn,Folkebevægelsen mod EU,0,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Mette Langdal,Folkebevægelsen mod EU,3,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Brian Olsen,Folkebevægelsen mod EU,0,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Erik Bach,Folkebevægelsen mod EU,1,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Helge Rørtoft-Madsen,Folkebevægelsen mod EU,1,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Thorkil Sohn,Folkebevægelsen mod EU,1,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Hans-Henrik Larsen,Folkebevægelsen mod EU,1,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Jean Thierry,Folkebevægelsen mod EU,0,Nordsjællands Storkreds
