Kreds,valgsted_navn,kandidat_navn,parti,stemmer,Storkreds
Gentoftekredsen,1. Jægersborg,Jakob Bille,Liberal Alliance,1,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Sabeena Sareen,Liberal Alliance,1,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Andreas Hastrup,Liberal Alliance,3,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Anne Kathrine Kirk,Liberal Alliance,2,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Niels Høiby,Liberal Alliance,6,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Partiliste,Folkebevægelsen mod EU,77,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Rina Ronja Kari,Folkebevægelsen mod EU,46,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Lave K. Broch,Folkebevægelsen mod EU,6,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Ole Nors Nielsen,Folkebevægelsen mod EU,3,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Christian Juhl,Folkebevægelsen mod EU,0,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Karina Rohr Sørensen,Folkebevægelsen mod EU,1,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Jørgen Grøn,Folkebevægelsen mod EU,0,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Mette Langdal,Folkebevægelsen mod EU,1,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Brian Olsen,Folkebevægelsen mod EU,0,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Erik Bach,Folkebevægelsen mod EU,0,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Helge Rørtoft-Madsen,Folkebevægelsen mod EU,1,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Thorkil Sohn,Folkebevægelsen mod EU,0,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Hans-Henrik Larsen,Folkebevægelsen mod EU,0,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Jean Thierry,Folkebevægelsen mod EU,0,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Inger-Marie Tryde Martensen,Folkebevægelsen mod EU,1,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Malte Bang,Folkebevægelsen mod EU,0,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Mehmet Aksoy,Folkebevægelsen mod EU,2,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Victoria Ninosca Risbjerg Velasque,Folkebevægelsen mod EU,2,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Troels Juel,Folkebevægelsen mod EU,1,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Tobias Clausen,Folkebevægelsen mod EU,0,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Preben Kristensen,Folkebevægelsen mod EU,0,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Partiliste,Dansk Folkeparti,63,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Morten Messerschmidt,Dansk Folkeparti,494,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Anders Primdahl Vistisen,Dansk Folkeparti,4,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Rikke Karlsson,Dansk Folkeparti,3,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Karsten Lorentzen,Dansk Folkeparti,1,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Tilde Bork,Dansk Folkeparti,0,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Jørn Dohrmann,Dansk Folkeparti,1,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Susanne Eilersen,Dansk Folkeparti,1,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Kristina Jørgensen,Dansk Folkeparti,2,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Githa Nelander,Dansk Folkeparti,1,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Danni Olsen,Dansk Folkeparti,0,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Partiliste,"Venstre, Danmarks Liberale Parti",189,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Ulla Tørnæs,"Venstre, Danmarks Liberale Parti",204,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Nils Juhl Andreasen,"Venstre, Danmarks Liberale Parti",10,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Asger Christensen,"Venstre, Danmarks Liberale Parti",4,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Ole Davidsen,"Venstre, Danmarks Liberale Parti",3,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Diego Gugliotta,"Venstre, Danmarks Liberale Parti",2,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Poul-Erik Høyer,"Venstre, Danmarks Liberale Parti",36,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Harry Jensen,"Venstre, Danmarks Liberale Parti",0,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Marcus Knuth,"Venstre, Danmarks Liberale Parti",5,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Morten Løkkegaard,"Venstre, Danmarks Liberale Parti",176,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Jess Myrthu,"Venstre, Danmarks Liberale Parti",25,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Nicolai Svejgaard Poulsen,"Venstre, Danmarks Liberale Parti",1,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Henrik Frost Rasmussen,"Venstre, Danmarks Liberale Parti",2,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Jens Rohde,"Venstre, Danmarks Liberale Parti",81,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Irene Simonsen,"Venstre, Danmarks Liberale Parti",0,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Aleksander Aagaard,"Venstre, Danmarks Liberale Parti",1,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Sanni Aakjær-Olesen,"Venstre, Danmarks Liberale Parti",2,Københavns Omegns Storkreds
Gentoftekredsen,2. Munkegård,Partiliste,Socialdemokratiet,163,Københavns Omegns Storkreds
Gentoftekredsen,2. Munkegård,Jeppe Kofod,Socialdemokratiet,198,Københavns Omegns Storkreds
Gentoftekredsen,2. Munkegård,Ole Christensen,Socialdemokratiet,11,Københavns Omegns Storkreds
Gentoftekredsen,2. Munkegård,Christel Schaldemose,Socialdemokratiet,104,Københavns Omegns Storkreds
Gentoftekredsen,2. Munkegård,Lasse Quvang Rasmussen,Socialdemokratiet,5,Københavns Omegns Storkreds
Gentoftekredsen,2. Munkegård,Britta Thomsen,Socialdemokratiet,29,Københavns Omegns Storkreds
Gentoftekredsen,2. Munkegård,Kathrine Alexandrowiz,Socialdemokratiet,16,Københavns Omegns Storkreds
Gentoftekredsen,2. Munkegård,Gunde Odgaard,Socialdemokratiet,9,Københavns Omegns Storkreds
Gentoftekredsen,2. Munkegård,Rasmus Gjedssø Bertelsen,Socialdemokratiet,6,Københavns Omegns Storkreds
Gentoftekredsen,2. Munkegård,Partiliste,Radikale Venstre,124,Københavns Omegns Storkreds
Gentoftekredsen,2. Munkegård,Morten Helveg Petersen,Radikale Venstre,167,Københavns Omegns Storkreds
Gentoftekredsen,2. Munkegård,Christian Kjølhede,Radikale Venstre,6,Københavns Omegns Storkreds
Gentoftekredsen,2. Munkegård,Kristina Siig,Radikale Venstre,8,Københavns Omegns Storkreds
Gentoftekredsen,2. Munkegård,Samira Nawa Amini,Radikale Venstre,12,Københavns Omegns Storkreds
Gentoftekredsen,2. Munkegård,Karen Melchior,Radikale Venstre,26,Københavns Omegns Storkreds
Gentoftekredsen,2. Munkegård,Thomas Elkjær,Radikale Venstre,2,Københavns Omegns Storkreds
Gentoftekredsen,2. Munkegård,Sissel Kvist,Radikale Venstre,4,Københavns Omegns Storkreds
Gentoftekredsen,2. Munkegård,Partiliste,Det Konservative Folkeparti,89,Københavns Omegns Storkreds
