Opstillingskreds;Afstemningsområde;Svarmulighed;Stemmetal;Stemmeprocent
Østerbrokredsen;1. 1. Østerbro;Ja;5194;65,1
Østerbrokredsen;1. 1. Østerbro;Nej;2787;34,9
Østerbrokredsen;2. 1. Nord;Ja;2122;65,7
Østerbrokredsen;2. 1. Nord;Nej;1109;34,3
Østerbrokredsen;3. 1. Syd;Ja;5634;66,6
Østerbrokredsen;3. 1. Syd;Nej;2828;33,4
Østerbrokredsen;5. 1. Vest;Ja;3399;59,9
Østerbrokredsen;5. 1. Vest;Nej;2274;40,1
Østerbrokredsen;6. 1. Nordvest;Ja;3210;60,8
Østerbrokredsen;6. 1. Nordvest;Nej;2066;39,2
Sundbyvesterkredsen;7. 2. Sundbyvester;Ja;3160;52,2
Sundbyvesterkredsen;7. 2. Sundbyvester;Nej;2890;47,8
Sundbyvesterkredsen;8. 2. Nord;Ja;3314;54,9
Sundbyvesterkredsen;8. 2. Nord;Nej;2717;45,1
Sundbyvesterkredsen;9. 2. Syd;Ja;2940;62,3
Sundbyvesterkredsen;9. 2. Syd;Nej;1779;37,7
Sundbyvesterkredsen;10. 2. Vest;Ja;3552;64,4
Sundbyvesterkredsen;10. 2. Vest;Nej;1960;35,6
Indre Bykredsen;11. 3. Indre By;Ja;4197;63,8
Indre Bykredsen;11. 3. Indre By;Nej;2380;36,2
Indre Bykredsen;12. 3. Nord;Ja;2758;70,2
Indre Bykredsen;12. 3. Nord;Nej;1172;29,8
Indre Bykredsen;13. 3. Syd;Ja;2955;58,0
Indre Bykredsen;13. 3. Syd;Nej;2141;42,0
Indre Bykredsen;14. 3. Øst;Ja;4600;70,1
Indre Bykredsen;14. 3. Øst;Nej;1965;29,9
Sundbyøsterkredsen;16. 4. Sundbyøster;Ja;2237;51,4
Sundbyøsterkredsen;16. 4. Sundbyøster;Nej;2113;48,6
Sundbyøsterkredsen;17. 4. Nord;Ja;3458;51,8
Sundbyøsterkredsen;17. 4. Nord;Nej;3214;48,2
Sundbyøsterkredsen;18. 4. Syd;Ja;2188;54,2
Sundbyøsterkredsen;18. 4. Syd;Nej;1851;45,8
Sundbyøsterkredsen;19. 4. Øst;Ja;2715;61,1
Sundbyøsterkredsen;19. 4. Øst;Nej;1731;38,9
Nørrebrokredsen;20. 5. Nørrebro;Ja;2974;51,8
Nørrebrokredsen;20. 5. Nørrebro;Nej;2767;48,2
Nørrebrokredsen;21. 5. Nord;Ja;3621;52,4
Nørrebrokredsen;21. 5. Nord;Nej;3295;47,6
Nørrebrokredsen;22. 5. Syd;Ja;1648;50,5
Nørrebrokredsen;22. 5. Syd;Nej;1617;49,5
Nørrebrokredsen;23. 5. Øst;Ja;1782;58,9
Nørrebrokredsen;23. 5. Øst;Nej;1241;41,1
Nørrebrokredsen;24. 5. Vest;Ja;1984;49,8
Nørrebrokredsen;24. 5. Vest;Nej;2003;50,2
Nørrebrokredsen;25. 5. Nordvest;Ja;2778;50,3
Nørrebrokredsen;25. 5. Nordvest;Nej;2748;49,7
Nørrebrokredsen;26. 5. Midt;Ja;973;56,5
Nørrebrokredsen;26. 5. Midt;Nej;749;43,5
Bispebjergkredsen;27. 6. Utterslev;Ja;3478;50,2
Bispebjergkredsen;27. 6. Utterslev;Nej;3450;49,8
Bispebjergkredsen;28. 6. Nord;Ja;2006;55,0
Bispebjergkredsen;28. 6. Nord;Nej;1639;45,0
Bispebjergkredsen;29. 6. Øst;Ja;1014;51,3
Bispebjergkredsen;29. 6. Øst;Nej;962;48,7
Bispebjergkredsen;30. 6. Syd;Ja;2189;48,1
Bispebjergkredsen;30. 6. Syd;Nej;2358;51,9
Brønshøjkredsen;31. 7. Brønshøj;Ja;1285;57,0
Brønshøjkredsen;31. 7. Brønshøj;Nej;971;43,0
Brønshøjkredsen;32. 7. Nord;Ja;266;40,7
Brønshøjkredsen;32. 7. Nord;Nej;388;59,3
Brønshøjkredsen;33. 7. Syd;Ja;2230;57,4
Brønshøjkredsen;33. 7. Syd;Nej;1654;42,6
Brønshøjkredsen;34. 7. Øst;Ja;2513;57,3
Brønshøjkredsen;34. 7. Øst;Nej;1873;42,7
