Opstillingskreds;Afstemningsområde;Svarmulighed;Stemmetal;Stemmeprocent
Rønnekredsen;7. Klemensker;Ja;548;60,6
Rønnekredsen;7. Klemensker;Nej;356;39,4
Rønnekredsen;8. Rønne;Ja;3669;66,5
Rønnekredsen;8. Rønne;Nej;1847;33,5
Rønnekredsen;9. Hasle;Ja;774;62,8
Rønnekredsen;9. Hasle;Nej;458;37,2
Aakirkebykredsen;0. Christiansø;Ja;21;38,9
Aakirkebykredsen;0. Christiansø;Nej;33;61,1
Aakirkebykredsen;1. Allinge;Ja;878;63,6
Aakirkebykredsen;1. Allinge;Nej;502;36,4
Aakirkebykredsen;2. Østermarie;Ja;694;57,2
Aakirkebykredsen;2. Østermarie;Nej;520;42,8
Aakirkebykredsen;3. Svaneke;Ja;640;63,4
Aakirkebykredsen;3. Svaneke;Nej;370;36,6
Aakirkebykredsen;4. Nexø;Ja;1001;60,4
Aakirkebykredsen;4. Nexø;Nej;655;39,6
Aakirkebykredsen;5. Pedersker;Ja;465;61,1
Aakirkebykredsen;5. Pedersker;Nej;296;38,9
Aakirkebykredsen;6. Aakirkeby;Ja;1308;64,6
Aakirkebykredsen;6. Aakirkeby;Nej;717;35,4
