Opstillingskreds;Afstemningsområde;Svarmulighed;Stemmetal;Stemmeprocent
Odense Østkredsen;1. Skt. Jørgens Hallen;Ja;2526;58,0
Odense Østkredsen;1. Skt. Jørgens Hallen;Nej;1832;42,0
Odense Østkredsen;2. Sct. Hans Skole;Ja;2379;57,5
Odense Østkredsen;2. Sct. Hans Skole;Nej;1759;42,5
Odense Østkredsen;3. Risingskolen;Ja;838;57,2
Odense Østkredsen;3. Risingskolen;Nej;626;42,8
Odense Østkredsen;4. Munkebjergskolen;Ja;2551;62,8
Odense Østkredsen;4. Munkebjergskolen;Nej;1513;37,2
Odense Østkredsen;5. Ejerslykkeskolen;Ja;1341;57,0
Odense Østkredsen;5. Ejerslykkeskolen;Nej;1012;43,0
Odense Østkredsen;6. Agedrup Skole;Ja;727;60,0
Odense Østkredsen;6. Agedrup Skole;Nej;485;40,0
Odense Østkredsen;7. Fjordager Hallen;Ja;1341;57,3
Odense Østkredsen;7. Fjordager Hallen;Nej;998;42,7
Odense Østkredsen;9. Fraugde Fritidscenter;Ja;824;61,7
Odense Østkredsen;9. Fraugde Fritidscenter;Nej;511;38,3
Odense Østkredsen;35. Camp U;Ja;873;51,9
Odense Østkredsen;35. Camp U;Nej;809;48,1
Odense Østkredsen;36. Bækholmskolen;Ja;1120;56,7
Odense Østkredsen;36. Bækholmskolen;Nej;856;43,3
Odense Vestkredsen;11. Jernbanegades Skole / Vuc;Ja;2550;61,8
Odense Vestkredsen;11. Jernbanegades Skole / Vuc;Nej;1578;38,2
Odense Vestkredsen;12. Csv-Skolen;Ja;1823;52,2
Odense Vestkredsen;12. Csv-Skolen;Nej;1669;47,8
Odense Vestkredsen;13. Lumby Forsamlingshus;Ja;335;61,7
Odense Vestkredsen;13. Lumby Forsamlingshus;Nej;208;38,3
Odense Vestkredsen;14. Stige Skole;Ja;1684;61,4
Odense Vestkredsen;14. Stige Skole;Nej;1060;38,6
Odense Vestkredsen;16. Spurvelundskolen;Ja;1062;60,1
Odense Vestkredsen;16. Spurvelundskolen;Nej;706;39,9
Odense Vestkredsen;17. Kroggårdskolen;Ja;1845;63,8
Odense Vestkredsen;17. Kroggårdskolen;Nej;1045;36,2
Odense Vestkredsen;18. Tarup Skole;Ja;1894;65,6
Odense Vestkredsen;18. Tarup Skole;Nej;991;34,4
Odense Vestkredsen;19. Paarup Hallen;Ja;1364;67,6
Odense Vestkredsen;19. Paarup Hallen;Nej;654;32,4
Odense Vestkredsen;20. Korup Skole;Ja;1284;63,0
Odense Vestkredsen;20. Korup Skole;Nej;753;37,0
Odense Vestkredsen;21. Ubberudhallen;Ja;835;66,9
Odense Vestkredsen;21. Ubberudhallen;Nej;414;33,1
Odense Sydkredsen;23. Rådhuset;Ja;3345;65,0
Odense Sydkredsen;23. Rådhuset;Nej;1803;35,0
Odense Sydkredsen;24. Sct. Knuds Gymnasium;Ja;2051;73,1
Odense Sydkredsen;24. Sct. Knuds Gymnasium;Nej;753;26,9
Odense Sydkredsen;25. Rosengårdskolen;Ja;1921;61,4
Odense Sydkredsen;25. Rosengårdskolen;Nej;1209;38,6
Odense Sydkredsen;26. Sanderumhallen;Ja;3143;66,3
Odense Sydkredsen;26. Sanderumhallen;Nej;1595;33,7
Odense Sydkredsen;28. Rasmus Rask Skolen;Ja;1591;68,9
Odense Sydkredsen;28. Rasmus Rask Skolen;Nej;717;31,1
Odense Sydkredsen;29. Tingløkkeskolen;Ja;1868;67,6
Odense Sydkredsen;29. Tingløkkeskolen;Nej;897;32,4
Odense Sydkredsen;30. Dalumskolen;Ja;2396;62,4
Odense Sydkredsen;30. Dalumskolen;Nej;1444;37,6
Odense Sydkredsen;31. Stenløse Forsamlingshus;Ja;1017;66,3
Odense Sydkredsen;31. Stenløse Forsamlingshus;Nej;518;33,7
Odense Sydkredsen;32. Fangel Forsamlingshus;Ja;288;63,9
Odense Sydkredsen;32. Fangel Forsamlingshus;Nej;163;36,1
Odense Sydkredsen;33. Højby Skole;Ja;1437;64,2
Odense Sydkredsen;33. Højby Skole;Nej;803;35,8
Assenskredsen;1. Assens;Ja;1704;62,6
