Opstillingskreds;Afstemningsområde;Svarmulighed;Stemmetal;Stemmeprocent
Gentoftekredsen;1. Jægersborg;Ja;2710;77,9
Gentoftekredsen;1. Jægersborg;Nej;771;22,1
Gentoftekredsen;2. Munkegård;Ja;1976;68,5
Gentoftekredsen;2. Munkegård;Nej;910;31,5
Gentoftekredsen;3. Rådhuset;Ja;2585;81,1
Gentoftekredsen;3. Rådhuset;Nej;601;18,9
Gentoftekredsen;4. Bakkegård;Ja;1893;65,8
Gentoftekredsen;4. Bakkegård;Nej;986;34,2
Gentoftekredsen;5. Dyssegård;Ja;2608;76,5
Gentoftekredsen;5. Dyssegård;Nej;799;23,5
Gentoftekredsen;6. Maglegård;Ja;2964;78,3
Gentoftekredsen;6. Maglegård;Nej;822;21,7
Gentoftekredsen;7. Hellerup;Ja;2924;75,0
Gentoftekredsen;7. Hellerup;Nej;974;25,0
Gentoftekredsen;8. Ordrup;Ja;2072;74,1
Gentoftekredsen;8. Ordrup;Nej;723;25,9
Gentoftekredsen;9. Skovshoved;Ja;2502;77,8
Gentoftekredsen;9. Skovshoved;Nej;713;22,2
Gentoftekredsen;10. Skovgård;Ja;2180;75,3
Gentoftekredsen;10. Skovgård;Nej;715;24,7
Lyngbykredsen;1. Lyngby Midt;Ja;1711;65,1
Lyngbykredsen;1. Lyngby Midt;Nej;918;34,9
Lyngbykredsen;2. Lindegård;Ja;1434;58,8
Lyngbykredsen;2. Lindegård;Nej;1004;41,2
Lyngbykredsen;3. Trongård;Ja;1834;66,6
Lyngbykredsen;3. Trongård;Nej;920;33,4
Lyngbykredsen;4. Engelsborg;Ja;2217;71,5
Lyngbykredsen;4. Engelsborg;Nej;885;28,5
Lyngbykredsen;5. Taarbæk;Ja;579;76,2
Lyngbykredsen;5. Taarbæk;Nej;181;23,8
Lyngbykredsen;6. Virum;Ja;2626;77,6
Lyngbykredsen;6. Virum;Nej;760;22,4
Lyngbykredsen;7. Hummeltofte;Ja;1803;73,8
Lyngbykredsen;7. Hummeltofte;Nej;641;26,2
Lyngbykredsen;8. Fuglsanggård;Ja;1639;68,4
Lyngbykredsen;8. Fuglsanggård;Nej;756;31,6
Lyngbykredsen;9. Kongevej;Ja;1226;77,2
Lyngbykredsen;9. Kongevej;Nej;363;22,8
Lyngbykredsen;10. Lundtofte;Ja;1982;71,4
Lyngbykredsen;10. Lundtofte;Nej;795;28,6
Gladsaxekredsen;1. Bagsværd;Ja;2048;67,3
Gladsaxekredsen;1. Bagsværd;Nej;997;32,7
Gladsaxekredsen;2. Hovedbiblioteket;Ja;2012;57,7
Gladsaxekredsen;2. Hovedbiblioteket;Nej;1473;42,3
Gladsaxekredsen;3. Egegård;Ja;1851;58,7
Gladsaxekredsen;3. Egegård;Nej;1302;41,3
Gladsaxekredsen;4. Grønnemose;Ja;2142;59,5
Gladsaxekredsen;4. Grønnemose;Nej;1457;40,5
Gladsaxekredsen;5. Mørkhøj;Ja;1868;55,6
Gladsaxekredsen;5. Mørkhøj;Nej;1492;44,4
Gladsaxekredsen;6. Stengård;Ja;2705;68,2
Gladsaxekredsen;6. Stengård;Nej;1260;31,8
Gladsaxekredsen;7. Søborg;Ja;1460;62,0
Gladsaxekredsen;7. Søborg;Nej;895;38,0
Gladsaxekredsen;8. Vadgård;Ja;1530;59,9
Gladsaxekredsen;8. Vadgård;Nej;1025;40,1
Gladsaxekredsen;9. Værebro;Ja;784;64,2
Gladsaxekredsen;9. Værebro;Nej;437;35,8
Rødovrekredsen;1. Herlev Medborgerhus;Ja;1625;55,2
Rødovrekredsen;1. Herlev Medborgerhus;Nej;1317;44,8
Rødovrekredsen;1. Ørbygård;Ja;1082;58,8
Rødovrekredsen;1. Ørbygård;Nej;758;41,2
Rødovrekredsen;2. Herlev Hallerne;Ja;2344;63,3
Rødovrekredsen;2. Herlev Hallerne;Nej;1358;36,7
Rødovrekredsen;2. Milestedet;Ja;303;46,8
Rødovrekredsen;2. Milestedet;Nej;345;53,2
Rødovrekredsen;3. Kildegårdhallen;Ja;2283;57,5
Rødovrekredsen;3. Kildegårdhallen;Nej;1690;42,5
Rødovrekredsen;3. Rødovre;Ja;1318;57,5
Rødovrekredsen;3. Rødovre;Nej;976;42,5
Rødovrekredsen;4. Valhøj;Ja;904;50,9
Rødovrekredsen;4. Valhøj;Nej;871;49,1
Rødovrekredsen;5. Rødovrehallen;Ja;679;52,3
Rødovrekredsen;5. Rødovrehallen;Nej;619;47,7
Rødovrekredsen;6. Nyager;Ja;1322;62,4
Rødovrekredsen;6. Nyager;Nej;796;37,6
Rødovrekredsen;7. Tinderhøj;Ja;855;55,1
Rødovrekredsen;7. Tinderhøj;Nej;698;44,9
Rødovrekredsen;8. Islev;Ja;1235;55,6
Rødovrekredsen;8. Islev;Nej;986;44,4
Rødovrekredsen;9. Broparken;Ja;379;51,3
Rødovrekredsen;9. Broparken;Nej;360;48,7
Hvidovrekredsen;1. Holmegårdshallen;Ja;1314;58,4
Hvidovrekredsen;1. Holmegårdshallen;Nej;937;41,6
Hvidovrekredsen;2. Præstemoseskolen;Ja;924;55,7
Hvidovrekredsen;2. Præstemoseskolen;Nej;735;44,3
Hvidovrekredsen;3. Sønderkærskolen;Ja;1072;49,9
Hvidovrekredsen;3. Sønderkærskolen;Nej;1077;50,1
Hvidovrekredsen;4. Medborgerhuset;Ja;1412;56,1
Hvidovrekredsen;4. Medborgerhuset;Nej;1104;43,9
Hvidovrekredsen;5. Dansborghallen;Ja;1531;55,6
Hvidovrekredsen;5. Dansborghallen;Nej;1222;44,4
Hvidovrekredsen;6. Frihedens Idrætscenter;Ja;1516;54,6
Hvidovrekredsen;6. Frihedens Idrætscenter;Nej;1259;45,4
Hvidovrekredsen;7. Avedøre Skole;Ja;1525;55,0
Hvidovrekredsen;7. Avedøre Skole;Nej;1248;45,0
Hvidovrekredsen;8. Avedøre Idrætscenter;Ja;917;46,8
Hvidovrekredsen;8. Avedøre Idrætscenter;Nej;1043;53,2
Brøndbykredsen;1. Brøndbyvester Skole;Ja;1076;58,4
Brøndbykredsen;1. Brøndbyvester Skole;Nej;768;41,6
Brøndbykredsen;1. Ishøj Landsby;Ja;480;63,6
Brøndbykredsen;1. Ishøj Landsby;Nej;275;36,4
Brøndbykredsen;1. Vallensbæk Skole, Multisalen;Ja;993;62,0
Brøndbykredsen;1. Vallensbæk Skole, Multisalen;Nej;608;38,0
Brøndbykredsen;2. Egholmskolen;Ja;1273;66,0
Brøndbykredsen;2. Egholmskolen;Nej;655;34,0
Brøndbykredsen;2. Tjørnehøjhallen;Ja;852;51,0
Brøndbykredsen;2. Tjørnehøjhallen;Nej;817;49,0
Brøndbykredsen;2. Vibeholmskolen;Ja;777;56,3
Brøndbykredsen;2. Vibeholmskolen;Nej;604;43,7
Brøndbykredsen;3. Brøndbyøster Skole;Ja;799;50,7
Brøndbykredsen;3. Brøndbyøster Skole;Nej;778;49,3
Brøndbykredsen;3. Gildbroskolen;Ja;755;49,7
Brøndbykredsen;3. Gildbroskolen;Nej;764;50,3
Brøndbykredsen;3. Pilehaveskolen;Ja;1543;64,9
Brøndbykredsen;3. Pilehaveskolen;Nej;833;35,1
Brøndbykredsen;4. Nørregård;Ja;1372;49,8
Brøndbykredsen;4. Nørregård;Nej;1383;50,2
Brøndbykredsen;4. Strandgårdskolen;Ja;360;47,5
Brøndbykredsen;4. Strandgårdskolen;Nej;398;52,5
Brøndbykredsen;5. Ishøj Bycenter;Ja;1140;56,7
Brøndbykredsen;5. Ishøj Bycenter;Nej;871;43,3
Brøndbykredsen;5. Kulturhuset Brønden;Ja;1993;53,9
Brøndbykredsen;5. Kulturhuset Brønden;Nej;1708;46,1
Taastrupkredsen;1. Herstedøster Skole;Ja;1323;52,8
Taastrupkredsen;1. Herstedøster Skole;Nej;1185;47,2
Taastrupkredsen;1. Selsmoseskolen;Ja;514;49,8
Taastrupkredsen;1. Selsmoseskolen;Nej;518;50,2
Taastrupkredsen;2. Egelundskolen;Ja;1113;54,0
Taastrupkredsen;2. Egelundskolen;Nej;948;46,0
Taastrupkredsen;2. Parkskolen;Ja;1076;59,4
Taastrupkredsen;2. Parkskolen;Nej;736;40,6
Taastrupkredsen;3. Herstedlund Skole;Ja;679;46,1
Taastrupkredsen;3. Herstedlund Skole;Nej;794;53,9
Taastrupkredsen;3. Mølleholmskolen;Ja;988;64,7
Taastrupkredsen;3. Mølleholmskolen;Nej;539;35,3
Taastrupkredsen;4. Musikteatret;Ja;655;42,1
Taastrupkredsen;4. Musikteatret;Nej;899;57,9
Taastrupkredsen;4. Taastrup Kulturcenter;Ja;794;60,8
Taastrupkredsen;4. Taastrup Kulturcenter;Nej;512;39,2
Taastrupkredsen;5. Borgerskolen;Ja;674;63,3
Taastrupkredsen;5. Borgerskolen;Nej;391;36,7
Taastrupkredsen;5. Herstedvester Skole;Ja;1272;54,1
Taastrupkredsen;5. Herstedvester Skole;Nej;1080;45,9
Taastrupkredsen;6. Gadehaveskolen;Ja;1079;58,3
Taastrupkredsen;6. Gadehaveskolen;Nej;772;41,7
Taastrupkredsen;7. Rønnevangshallen;Ja;968;58,5
Taastrupkredsen;7. Rønnevangshallen;Nej;686;41,5
Taastrupkredsen;8. Torstorp Skole;Ja;727;52,6
Taastrupkredsen;8. Torstorp Skole;Nej;654;47,4
Taastrupkredsen;9. Sengeløse;Ja;704;64,1
Taastrupkredsen;9. Sengeløse;Nej;394;35,9
Taastrupkredsen;10. Charlotteskolen;Ja;466;56,1
Taastrupkredsen;10. Charlotteskolen;Nej;365;43,9
Taastrupkredsen;11. Fritidscentret Hedehuset;Ja;1079;57,2
Taastrupkredsen;11. Fritidscentret Hedehuset;Nej;809;42,8
Taastrupkredsen;12. Fløng Hallen;Ja;1181;64,8
Taastrupkredsen;12. Fløng Hallen;Nej;642;35,2
Taastrupkredsen;13. Reerslev Skole;Ja;245;63,0
Taastrupkredsen;13. Reerslev Skole;Nej;144;37,0
Ballerupkredsen;1. Nordvangskolen;Ja;824;58,5
Ballerupkredsen;1. Nordvangskolen;Nej;584;41,5
Ballerupkredsen;1. Tapeten;Ja;1161;50,7
Ballerupkredsen;1. Tapeten;Nej;1127;49,3
Ballerupkredsen;2. Rugvængets Skole;Ja;1580;50,3
Ballerupkredsen;2. Rugvængets Skole;Nej;1560;49,7
Ballerupkredsen;2. Sognegården;Ja;785;58,6
Ballerupkredsen;2. Sognegården;Nej;554;41,4
Ballerupkredsen;3. Højagerskolen;Ja;1027;62,0
Ballerupkredsen;3. Højagerskolen;Nej;630;38,0
Ballerupkredsen;3. Søndervangskolen;Ja;999;50,5
Ballerupkredsen;3. Søndervangskolen;Nej;981;49,5
Ballerupkredsen;4. Grantoftehallen;Ja;664;47,9
Ballerupkredsen;4. Grantoftehallen;Nej;722;52,1
Ballerupkredsen;4. Vestervangskolen;Ja;628;41,6
Ballerupkredsen;4. Vestervangskolen;Nej;881;58,4
Ballerupkredsen;5. Ejbyskolen;Ja;603;63,4
Ballerupkredsen;5. Ejbyskolen;Nej;348;36,6
Ballerupkredsen;5. Rosenlundskolen;Ja;1604;66,4
Ballerupkredsen;5. Rosenlundskolen;Nej;810;33,6
Ballerupkredsen;6. Hvissingehallen;Ja;799;54,5
Ballerupkredsen;6. Hvissingehallen;Nej;666;45,5
Ballerupkredsen;6. Lundebjergskolen;Ja;908;48,0
Ballerupkredsen;6. Lundebjergskolen;Nej;982;52,0
Ballerupkredsen;7. Tidl. Skovlunde Lokalkontor;Ja;660;66,1
Ballerupkredsen;7. Tidl. Skovlunde Lokalkontor;Nej;339;33,9
Ballerupkredsen;8. Måløv Skole;Ja;1668;65,9
Ballerupkredsen;8. Måløv Skole;Nej;863;34,1
Ballerupkredsen;9. Egebjerghallen;Ja;1527;68,4
Ballerupkredsen;9. Egebjerghallen;Nej;707;31,6
Ballerupkredsen;10. Østerhøjhallen;Ja;893;64,7
Ballerupkredsen;10. Østerhøjhallen;Nej;488;35,3
