Opstillingskreds;Afstemningsområde;Svarmulighed;Stemmetal;Stemmeprocent
Helsingørkredsen;1. Helsingør Hallen;Ja;2788;58,8
Helsingørkredsen;1. Helsingør Hallen;Nej;1957;41,2
Helsingørkredsen;2. Montebello, Gurrevej 90;Ja;1863;54,5
Helsingørkredsen;2. Montebello, Gurrevej 90;Nej;1555;45,5
Helsingørkredsen;3. Laden, Gl. Vapnagård;Ja;1457;54,8
Helsingørkredsen;3. Laden, Gl. Vapnagård;Nej;1200;45,2
Helsingørkredsen;4. Bølgen;Ja;1802;68,0
Helsingørkredsen;4. Bølgen;Nej;847;32,0
Helsingørkredsen;5. Hornbæk Skole;Ja;1532;69,1
Helsingørkredsen;5. Hornbæk Skole;Nej;684;30,9
Helsingørkredsen;6. Hels. Skole, Nygård;Ja;373;59,8
Helsingørkredsen;6. Hels. Skole, Nygård;Nej;251;40,2
Helsingørkredsen;7. Tikøb Skole;Ja;477;67,2
Helsingørkredsen;7. Tikøb Skole;Nej;233;32,8
Helsingørkredsen;8. Kvistgård Idrætsanlæg;Ja;248;52,9
Helsingørkredsen;8. Kvistgård Idrætsanlæg;Nej;221;47,1
Helsingørkredsen;9. Snekkersten Hallen;Ja;1520;68,0
Helsingørkredsen;9. Snekkersten Hallen;Nej;714;32,0
Helsingørkredsen;10. Administrationsbygningen, Esp;Ja;1573;74,0
Helsingørkredsen;10. Administrationsbygningen, Esp;Nej;552;26,0
Helsingørkredsen;11. Esp. Skole, Mørdrup;Ja;2100;67,7
Helsingørkredsen;11. Esp. Skole, Mørdrup;Nej;1004;32,3
Fredensborgkredsen;1. Asminderød;Ja;1771;67,8
Fredensborgkredsen;1. Asminderød;Nej;843;32,2
Fredensborgkredsen;1. Hørsholm;Ja;2231;74,1
Fredensborgkredsen;1. Hørsholm;Nej;780;25,9
Fredensborgkredsen;2. Fredensborg;Ja;1647;74,1
Fredensborgkredsen;2. Fredensborg;Nej;576;25,9
Fredensborgkredsen;2. Usserød;Ja;2321;74,4
Fredensborgkredsen;2. Usserød;Nej;797;25,6
Fredensborgkredsen;3. Humlebæk;Ja;1535;70,7
Fredensborgkredsen;3. Humlebæk;Nej;636;29,3
Fredensborgkredsen;3. Rungsted;Ja;2046;88,5
Fredensborgkredsen;3. Rungsted;Nej;265;11,5
