Opstillingskreds;Afstemningsområde;Partibogstav;Partinavn;Navn;Stemmetal
Sønderborgkredsen;1. Nordborg;A;Socialdemokratiet;Partiliste;415
Sønderborgkredsen;1. Nordborg;A;Socialdemokratiet;Benny Engelbrecht;664
Sønderborgkredsen;1. Nordborg;A;Socialdemokratiet;Niels Ole Beck;9
Sønderborgkredsen;1. Nordborg;A;Socialdemokratiet;Henny Fiskbæk;6
Sønderborgkredsen;1. Nordborg;A;Socialdemokratiet;Theis Kylling Hommeltoft;4
Sønderborgkredsen;1. Nordborg;A;Socialdemokratiet;Ove Jensen;6
Sønderborgkredsen;1. Nordborg;A;Socialdemokratiet;Anders Kronborg;4
Sønderborgkredsen;1. Nordborg;A;Socialdemokratiet;Christian Rabjerg Madsen;1
Sønderborgkredsen;1. Nordborg;A;Socialdemokratiet;Jesper Petersen;19
Sønderborgkredsen;1. Nordborg;A;Socialdemokratiet;Troels Ravn;3
Sønderborgkredsen;1. Nordborg;A;Socialdemokratiet;Kim Printz Ringbæk;2
Sønderborgkredsen;1. Nordborg;A;Socialdemokratiet;Jens Jonatan Steen;1
Sønderborgkredsen;1. Nordborg;A;Socialdemokratiet;René Vilstrup-Bie;0
Sønderborgkredsen;1. Nordborg;A;Socialdemokratiet;Birgitte Vind;4
Sønderborgkredsen;1. Nordborg;B;Radikale Venstre;Partiliste;75
Sønderborgkredsen;1. Nordborg;B;Radikale Venstre;Nils Sjøberg;17
Sønderborgkredsen;1. Nordborg;B;Radikale Venstre;Lotte Rod;27
Sønderborgkredsen;1. Nordborg;B;Radikale Venstre;Rune Christiansen;2
Sønderborgkredsen;1. Nordborg;B;Radikale Venstre;Ole Lynggaard Jørgensen;2
Sønderborgkredsen;1. Nordborg;B;Radikale Venstre;Nanna Nørholm;1
Sønderborgkredsen;1. Nordborg;B;Radikale Venstre;Daisy Nykjær-Andersen;1
Sønderborgkredsen;1. Nordborg;B;Radikale Venstre;Jonna Buch Andersen;3
Sønderborgkredsen;1. Nordborg;B;Radikale Venstre;Gitte Reimer;1
Sønderborgkredsen;1. Nordborg;B;Radikale Venstre;Karl Erik Olesen;1
Sønderborgkredsen;1. Nordborg;C;Det Konservative Folkeparti;Partiliste;86
Sønderborgkredsen;1. Nordborg;C;Det Konservative Folkeparti;Niels Flemming Hansen;26
Sønderborgkredsen;1. Nordborg;C;Det Konservative Folkeparti;Søren Tylvad Andersen;5
Sønderborgkredsen;1. Nordborg;C;Det Konservative Folkeparti;David Gulløv;1
Sønderborgkredsen;1. Nordborg;C;Det Konservative Folkeparti;Klaus Juhl;2
Sønderborgkredsen;1. Nordborg;C;Det Konservative Folkeparti;Knud Erik Langhoff;2
Sønderborgkredsen;1. Nordborg;C;Det Konservative Folkeparti;Anette Abildgaard Larsen;9
Sønderborgkredsen;1. Nordborg;C;Det Konservative Folkeparti;Frederik Bloch Münster;2
Sønderborgkredsen;1. Nordborg;C;Det Konservative Folkeparti;Katri Søgaard;0
Sønderborgkredsen;1. Nordborg;D;Nye Borgerlige;Partiliste;37
Sønderborgkredsen;1. Nordborg;D;Nye Borgerlige;Pernille Vermund;134
Sønderborgkredsen;1. Nordborg;D;Nye Borgerlige;Bo Kleis Christensen;4
Sønderborgkredsen;1. Nordborg;D;Nye Borgerlige;Anne Marie Buch;0
Sønderborgkredsen;1. Nordborg;D;Nye Borgerlige;Jan Køpke Christensen;3
Sønderborgkredsen;1. Nordborg;D;Nye Borgerlige;Morten Filipsen;1
Sønderborgkredsen;1. Nordborg;D;Nye Borgerlige;Per B. Frostholm;0
Sønderborgkredsen;1. Nordborg;D;Nye Borgerlige;Anton Kudsk;1
Sønderborgkredsen;1. Nordborg;D;Nye Borgerlige;Mikkel Bjørn Sørensen;1
Sønderborgkredsen;1. Nordborg;E;Klaus Riskær Pedersen;Partiliste;18
Sønderborgkredsen;1. Nordborg;E;Klaus Riskær Pedersen;Torben Østergaard Christoffersen;1
Sønderborgkredsen;1. Nordborg;E;Klaus Riskær Pedersen;Peter Martin Pedersen;0
