Opstillingskreds;Afstemningsområde;Partibogstav;Partinavn;Navn;Stemmetal
Gentoftekredsen;1. Jægersborg;A;Socialdemokratiet;Partiliste;303
Gentoftekredsen;1. Jægersborg;A;Socialdemokratiet;Malthe Johan Poulsen;14
Gentoftekredsen;1. Jægersborg;A;Socialdemokratiet;Jeppe Bruus;32
Gentoftekredsen;1. Jægersborg;A;Socialdemokratiet;Morten Bødskov;34
Gentoftekredsen;1. Jægersborg;A;Socialdemokratiet;Maria Durhuus;11
Gentoftekredsen;1. Jægersborg;A;Socialdemokratiet;Kasper Sand Kjær;2
Gentoftekredsen;1. Jægersborg;A;Socialdemokratiet;Anne Sina;9
Gentoftekredsen;1. Jægersborg;A;Socialdemokratiet;Simon Pihl Sørensen;1
Gentoftekredsen;1. Jægersborg;A;Socialdemokratiet;Mattias Tesfaye;101
Gentoftekredsen;1. Jægersborg;B;Radikale Venstre;Partiliste;352
Gentoftekredsen;1. Jægersborg;B;Radikale Venstre;Sofie Carsten Nielsen;241
Gentoftekredsen;1. Jægersborg;B;Radikale Venstre;Stinus Lindgreen;25
Gentoftekredsen;1. Jægersborg;B;Radikale Venstre;Mads Høj Jørgensen;11
Gentoftekredsen;1. Jægersborg;B;Radikale Venstre;Susanne Wad Leth;9
Gentoftekredsen;1. Jægersborg;B;Radikale Venstre;Abbas Razvi;7
Gentoftekredsen;1. Jægersborg;B;Radikale Venstre;Dennis Schmock;0
Gentoftekredsen;1. Jægersborg;B;Radikale Venstre;Petar Socevic;3
Gentoftekredsen;1. Jægersborg;B;Radikale Venstre;Jeanné Vetling;11
Gentoftekredsen;1. Jægersborg;C;Det Konservative Folkeparti;Partiliste;569
Gentoftekredsen;1. Jægersborg;C;Det Konservative Folkeparti;Rasmus Jarlov;462
Gentoftekredsen;1. Jægersborg;C;Det Konservative Folkeparti;Hanne Bjørn-Klausen;21
Gentoftekredsen;1. Jægersborg;C;Det Konservative Folkeparti;Steffen Mølgaard;8
Gentoftekredsen;1. Jægersborg;C;Det Konservative Folkeparti;Merete Scheelsbeck;56
Gentoftekredsen;1. Jægersborg;C;Det Konservative Folkeparti;Lisa Skov;10
Gentoftekredsen;1. Jægersborg;C;Det Konservative Folkeparti;Henrik Sørensen;4
Gentoftekredsen;1. Jægersborg;D;Nye Borgerlige;Partiliste;61
Gentoftekredsen;1. Jægersborg;D;Nye Borgerlige;Jeppe Juhl;14
Gentoftekredsen;1. Jægersborg;D;Nye Borgerlige;Anahita Malakians;23
Gentoftekredsen;1. Jægersborg;D;Nye Borgerlige;Hans Blaaberg;2
Gentoftekredsen;1. Jægersborg;D;Nye Borgerlige;Renee Funder;0
Gentoftekredsen;1. Jægersborg;D;Nye Borgerlige;Lone Madsen;1
Gentoftekredsen;1. Jægersborg;D;Nye Borgerlige;Claus Bøgh Svenningsen;0
Gentoftekredsen;1. Jægersborg;E;Klaus Riskær Pedersen;Partiliste;37
Gentoftekredsen;1. Jægersborg;E;Klaus Riskær Pedersen;Peter Hjorth;0
Gentoftekredsen;1. Jægersborg;E;Klaus Riskær Pedersen;Anette Prang;1
Gentoftekredsen;1. Jægersborg;F;SF - Socialistisk Folkeparti;Partiliste;183
Gentoftekredsen;1. Jægersborg;F;SF - Socialistisk Folkeparti;Serdal Benli;11
Gentoftekredsen;1. Jægersborg;F;SF - Socialistisk Folkeparti;Vivi Nør Jacobsen;14
Gentoftekredsen;1. Jægersborg;F;SF - Socialistisk Folkeparti;Marianne Bigum;37
Gentoftekredsen;1. Jægersborg;F;SF - Socialistisk Folkeparti;Ina Strøjer-Schmidt;22
Gentoftekredsen;1. Jægersborg;F;SF - Socialistisk Folkeparti;Niels Christian Barkholt;5
Gentoftekredsen;1. Jægersborg;F;SF - Socialistisk Folkeparti;Betina Skovby;1
Gentoftekredsen;1. Jægersborg;F;SF - Socialistisk Folkeparti;Joachim Schiødt;11
Gentoftekredsen;1. Jægersborg;F;SF - Socialistisk Folkeparti;Henrik Lund;2
Gentoftekredsen;1. Jægersborg;I;Liberal Alliance;Partiliste;124
Gentoftekredsen;1. Jægersborg;I;Liberal Alliance;Joachim B. Olsen;121
Gentoftekredsen;1. Jægersborg;I;Liberal Alliance;Steffen Larsen;3
Gentoftekredsen;1. Jægersborg;I;Liberal Alliance;Morten Kristoffer Hansen;0
Gentoftekredsen;1. Jægersborg;I;Liberal Alliance;Michael Melchert;1
Gentoftekredsen;1. Jægersborg;I;Liberal Alliance;Nikolaj Vester;4
Gentoftekredsen;1. Jægersborg;K;Kristendemokraterne;Partiliste;28
Gentoftekredsen;1. Jægersborg;K;Kristendemokraterne;Jacob Rabjerg;1
Gentoftekredsen;1. Jægersborg;K;Kristendemokraterne;Johnnie Gregersen;1
Gentoftekredsen;1. Jægersborg;K;Kristendemokraterne;Lars Sejergaard;3
Gentoftekredsen;1. Jægersborg;K;Kristendemokraterne;Sara Sejergaard;4
Gentoftekredsen;1. Jægersborg;K;Kristendemokraterne;Kim Grenov;2
Gentoftekredsen;1. Jægersborg;O;Dansk Folkeparti;Partiliste;88
Gentoftekredsen;1. Jægersborg;O;Dansk Folkeparti;Danni Olsen;1
Gentoftekredsen;1. Jægersborg;O;Dansk Folkeparti;Pia Kjærsgaard;76
Gentoftekredsen;1. Jægersborg;O;Dansk Folkeparti;Kenneth Kristensen Berth;3
Gentoftekredsen;1. Jægersborg;O;Dansk Folkeparti;Mette Qwinten;0
Gentoftekredsen;1. Jægersborg;O;Dansk Folkeparti;Mikkel Dencker;1
Gentoftekredsen;1. Jægersborg;O;Dansk Folkeparti;Kim Hammer;0
Gentoftekredsen;1. Jægersborg;O;Dansk Folkeparti;Asbjørn Gerting Olsson;0
Gentoftekredsen;1. Jægersborg;O;Dansk Folkeparti;Anette Skafte;0
Gentoftekredsen;1. Jægersborg;P;Stram Kurs;Partiliste;42
Gentoftekredsen;1. Jægersborg;P;Stram Kurs;Henrik Westermann Søndergård;3
Gentoftekredsen;1. Jægersborg;P;Stram Kurs;Kim Jessen;0
Gentoftekredsen;1. Jægersborg;P;Stram Kurs;Bjarke Rosenkilde;0
Gentoftekredsen;1. Jægersborg;V;Venstre, Danmarks Liberale Parti;Partiliste;773
Gentoftekredsen;1. Jægersborg;V;Venstre, Danmarks Liberale Parti;Colette Brix;15
Gentoftekredsen;1. Jægersborg;V;Venstre, Danmarks Liberale Parti;Flemming Andersen;1
Gentoftekredsen;1. Jægersborg;V;Venstre, Danmarks Liberale Parti;Christine Dal;15
Gentoftekredsen;1. Jægersborg;V;Venstre, Danmarks Liberale Parti;Karen Ellemann;217
Gentoftekredsen;1. Jægersborg;V;Venstre, Danmarks Liberale Parti;Mads Fuglede;117
Gentoftekredsen;1. Jægersborg;V;Venstre, Danmarks Liberale Parti;Mikkel Molin;1
Gentoftekredsen;1. Jægersborg;V;Venstre, Danmarks Liberale Parti;Charlotte Munch;18
Gentoftekredsen;1. Jægersborg;V;Venstre, Danmarks Liberale Parti;Kim Valentin;95
Gentoftekredsen;1. Jægersborg;Ø;Enhedslisten - De Rød-Grønne;Partiliste;157
Gentoftekredsen;1. Jægersborg;Ø;Enhedslisten - De Rød-Grønne;Jeanne Toxværd;21
Gentoftekredsen;1. Jægersborg;Ø;Enhedslisten - De Rød-Grønne;Søren Søndergaard;17
Gentoftekredsen;1. Jægersborg;Ø;Enhedslisten - De Rød-Grønne;Ibrahim Benli;4
Gentoftekredsen;1. Jægersborg;Ø;Enhedslisten - De Rød-Grønne;Anna Berg;5
Gentoftekredsen;1. Jægersborg;Ø;Enhedslisten - De Rød-Grønne;Annika Holm Nielsen;3
Gentoftekredsen;1. Jægersborg;Ø;Enhedslisten - De Rød-Grønne;Helge Bo Jensen;0
Gentoftekredsen;1. Jægersborg;Ø;Enhedslisten - De Rød-Grønne;Tobias Clausen;0
Gentoftekredsen;1. Jægersborg;Ø;Enhedslisten - De Rød-Grønne;Stine Rahbek Pedersen;1
Gentoftekredsen;1. Jægersborg;Å;Alternativet;Partiliste;89
Gentoftekredsen;1. Jægersborg;Å;Alternativet;Sikandar Siddique;4
Gentoftekredsen;1. Jægersborg;Å;Alternativet;Marianne Victor Hansen;11
Gentoftekredsen;1. Jægersborg;Å;Alternativet;Ken Patrick Petersson;0
Gentoftekredsen;1. Jægersborg;Å;Alternativet;Sofie Groth;16
Gentoftekredsen;1. Jægersborg;Å;Alternativet;Anders Stjernholm;0
Gentoftekredsen;1. Jægersborg;Å;Alternativet;Kim Christiansen;2
