Opstillingskreds;Afstemningsområde;Partibogstav;Partinavn;Navn;Stemmetal
Østerbrokredsen;1. 1. Østerbro;A;Socialdemokratiet;Partiliste;822
Østerbrokredsen;1. 1. Østerbro;A;Socialdemokratiet;Pernille Rosenkrantz-Theil;411
Østerbrokredsen;1. 1. Østerbro;A;Socialdemokratiet;Yildiz Akdogan;61
Østerbrokredsen;1. 1. Østerbro;A;Socialdemokratiet;Niels E. Bjerrum;17
Østerbrokredsen;1. 1. Østerbro;A;Socialdemokratiet;Claus Hasselmann;6
Østerbrokredsen;1. 1. Østerbro;A;Socialdemokratiet;Sine Heltberg;8
Østerbrokredsen;1. 1. Østerbro;A;Socialdemokratiet;Peter Hummelgaard;54
Østerbrokredsen;1. 1. Østerbro;A;Socialdemokratiet;Verner Sand Kirk;9
Østerbrokredsen;1. 1. Østerbro;A;Socialdemokratiet;Lone Larsen;0
Østerbrokredsen;1. 1. Østerbro;A;Socialdemokratiet;Jørgen Mørup Pedersen;0
Østerbrokredsen;1. 1. Østerbro;A;Socialdemokratiet;Lars Aslan Rasmussen;82
Østerbrokredsen;1. 1. Østerbro;A;Socialdemokratiet;Mette Reissmann;53
Østerbrokredsen;1. 1. Østerbro;A;Socialdemokratiet;Simon Simonsen;33
Østerbrokredsen;1. 1. Østerbro;B;Radikale Venstre;Partiliste;848
Østerbrokredsen;1. 1. Østerbro;B;Radikale Venstre;Mette Annelie Rasmussen;81
Østerbrokredsen;1. 1. Østerbro;B;Radikale Venstre;Ida Auken;600
Østerbrokredsen;1. 1. Østerbro;B;Radikale Venstre;Samira Nawa;66
Østerbrokredsen;1. 1. Østerbro;B;Radikale Venstre;Ruben Kidde;40
Østerbrokredsen;1. 1. Østerbro;B;Radikale Venstre;Jeppe Fransson;0
Østerbrokredsen;1. 1. Østerbro;B;Radikale Venstre;Jens Rohde;154
Østerbrokredsen;1. 1. Østerbro;B;Radikale Venstre;Louise Vinther Alis;14
Østerbrokredsen;1. 1. Østerbro;B;Radikale Venstre;Rune Scharff Andreasen;24
Østerbrokredsen;1. 1. Østerbro;B;Radikale Venstre;Andreas Pourkamali;10
Østerbrokredsen;1. 1. Østerbro;B;Radikale Venstre;Jesper Abildgaard;4
Østerbrokredsen;1. 1. Østerbro;B;Radikale Venstre;Thomas Maare;4
Østerbrokredsen;1. 1. Østerbro;B;Radikale Venstre;Lartey Lawson;17
Østerbrokredsen;1. 1. Østerbro;C;Det Konservative Folkeparti;Partiliste;406
Østerbrokredsen;1. 1. Østerbro;C;Det Konservative Folkeparti;Helle Bonnesen;59
Østerbrokredsen;1. 1. Østerbro;C;Det Konservative Folkeparti;Katarina Ammitzbøll;44
Østerbrokredsen;1. 1. Østerbro;C;Det Konservative Folkeparti;Lasse Vogel Andersen;0
Østerbrokredsen;1. 1. Østerbro;C;Det Konservative Folkeparti;Nikolaj Bøgh;23
Østerbrokredsen;1. 1. Østerbro;C;Det Konservative Folkeparti;Marie Høgh;12
Østerbrokredsen;1. 1. Østerbro;C;Det Konservative Folkeparti;Anders Johansson;5
Østerbrokredsen;1. 1. Østerbro;C;Det Konservative Folkeparti;Peter Stakemann;7
Østerbrokredsen;1. 1. Østerbro;C;Det Konservative Folkeparti;Caspar Stefani;25
Østerbrokredsen;1. 1. Østerbro;D;Nye Borgerlige;Partiliste;89
Østerbrokredsen;1. 1. Østerbro;D;Nye Borgerlige;Ketil Wathne Rasmussen;10
Østerbrokredsen;1. 1. Østerbro;D;Nye Borgerlige;Tom Andkjær;7
Østerbrokredsen;1. 1. Østerbro;D;Nye Borgerlige;Cherif Tomra Ayouty;6
Østerbrokredsen;1. 1. Østerbro;D;Nye Borgerlige;Helle Rosenvig;6
Østerbrokredsen;1. 1. Østerbro;E;Klaus Riskær Pedersen;Partiliste;24
Østerbrokredsen;1. 1. Østerbro;E;Klaus Riskær Pedersen;Klaus Riskær Pedersen;51
Østerbrokredsen;1. 1. Østerbro;E;Klaus Riskær Pedersen;Manja Aarslev Sørensen;1
Østerbrokredsen;1. 1. Østerbro;F;SF - Socialistisk Folkeparti;Partiliste;479
Østerbrokredsen;1. 1. Østerbro;F;SF - Socialistisk Folkeparti;Pia Olsen Dyhr;465
Østerbrokredsen;1. 1. Østerbro;F;SF - Socialistisk Folkeparti;Carl Valentin;43
Østerbrokredsen;1. 1. Østerbro;F;SF - Socialistisk Folkeparti;Kasper Nordborg Kiær;19
Østerbrokredsen;1. 1. Østerbro;F;SF - Socialistisk Folkeparti;Halime Oguz;25
Østerbrokredsen;1. 1. Østerbro;F;SF - Socialistisk Folkeparti;Balder Mørk Andersen;9
Østerbrokredsen;1. 1. Østerbro;F;SF - Socialistisk Folkeparti;Louise Tuxen Romsdal;19
Østerbrokredsen;1. 1. Østerbro;F;SF - Socialistisk Folkeparti;Rasmus Steenberger;7
Østerbrokredsen;1. 1. Østerbro;F;SF - Socialistisk Folkeparti;Melissa Skovgaard Jensen;8
Østerbrokredsen;1. 1. Østerbro;F;SF - Socialistisk Folkeparti;Ebbe A. Hansen;2
Østerbrokredsen;1. 1. Østerbro;F;SF - Socialistisk Folkeparti;Rikke Lauritsen;25
Østerbrokredsen;1. 1. Østerbro;I;Liberal Alliance;Partiliste;210
Østerbrokredsen;1. 1. Østerbro;I;Liberal Alliance;Simon Emil Ammitzbøll-Bille;74
Østerbrokredsen;1. 1. Østerbro;I;Liberal Alliance;Jacob Rosenberg;9
Østerbrokredsen;1. 1. Østerbro;I;Liberal Alliance;Danny Malkowski;16
Østerbrokredsen;1. 1. Østerbro;I;Liberal Alliance;Lars Berg Andersen;2
Østerbrokredsen;1. 1. Østerbro;I;Liberal Alliance;Martin Ancher;4
Østerbrokredsen;1. 1. Østerbro;I;Liberal Alliance;David Bertelsen;1
Østerbrokredsen;1. 1. Østerbro;K;Kristendemokraterne;Partiliste;62
Østerbrokredsen;1. 1. Østerbro;K;Kristendemokraterne;Stig Grenov;8
Østerbrokredsen;1. 1. Østerbro;K;Kristendemokraterne;Nanna Bock;2
Østerbrokredsen;1. 1. Østerbro;K;Kristendemokraterne;Anne Grønlund;2
Østerbrokredsen;1. 1. Østerbro;K;Kristendemokraterne;Anne-Lise Wagner;0
Østerbrokredsen;1. 1. Østerbro;K;Kristendemokraterne;Bess Serner-Pedersen;1
Østerbrokredsen;1. 1. Østerbro;O;Dansk Folkeparti;Partiliste;129
Østerbrokredsen;1. 1. Østerbro;O;Dansk Folkeparti;Susanne Damsgaard;6
Østerbrokredsen;1. 1. Østerbro;O;Dansk Folkeparti;Martin Henriksen;32
Østerbrokredsen;1. 1. Østerbro;O;Dansk Folkeparti;Per Brix;0
Østerbrokredsen;1. 1. Østerbro;O;Dansk Folkeparti;Carsten Ullmann Andersen;1
Østerbrokredsen;1. 1. Østerbro;O;Dansk Folkeparti;Laila Sortland;3
Østerbrokredsen;1. 1. Østerbro;O;Dansk Folkeparti;Cheanne Nielsen;0
Østerbrokredsen;1. 1. Østerbro;O;Dansk Folkeparti;Peter Skaarup;61
Østerbrokredsen;1. 1. Østerbro;O;Dansk Folkeparti;Søren Hald Christensen;0
Østerbrokredsen;1. 1. Østerbro;O;Dansk Folkeparti;Julie Jacobsen;1
Østerbrokredsen;1. 1. Østerbro;O;Dansk Folkeparti;Brian Borglund Bruun;0
Østerbrokredsen;1. 1. Østerbro;O;Dansk Folkeparti;Lars Vestergaard;2
Østerbrokredsen;1. 1. Østerbro;O;Dansk Folkeparti;Paw Karslund;0
Østerbrokredsen;1. 1. Østerbro;P;Stram Kurs;Partiliste;73
Østerbrokredsen;1. 1. Østerbro;P;Stram Kurs;Martin Skriver;9
Østerbrokredsen;1. 1. Østerbro;P;Stram Kurs;Lemmy Lundquist;2
Østerbrokredsen;1. 1. Østerbro;V;Venstre, Danmarks Liberale Parti;Partiliste;704
Østerbrokredsen;1. 1. Østerbro;V;Venstre, Danmarks Liberale Parti;Tommy Ahlers;850
Østerbrokredsen;1. 1. Østerbro;V;Venstre, Danmarks Liberale Parti;Martin Geertsen;48
Østerbrokredsen;1. 1. Østerbro;V;Venstre, Danmarks Liberale Parti;Jan E. Jørgensen;82
Østerbrokredsen;1. 1. Østerbro;V;Venstre, Danmarks Liberale Parti;Kasper Kristensen;23
Østerbrokredsen;1. 1. Østerbro;V;Venstre, Danmarks Liberale Parti;Bjarke Kværnø;0
Østerbrokredsen;1. 1. Østerbro;V;Venstre, Danmarks Liberale Parti;Michael Lange;23
Østerbrokredsen;1. 1. Østerbro;V;Venstre, Danmarks Liberale Parti;Jens-Kristian Lütken;1
Østerbrokredsen;1. 1. Østerbro;V;Venstre, Danmarks Liberale Parti;Casper Pedersen;2
Østerbrokredsen;1. 1. Østerbro;V;Venstre, Danmarks Liberale Parti;Anne Rasmussen;14
Østerbrokredsen;1. 1. Østerbro;V;Venstre, Danmarks Liberale Parti;Bo Sandroos;3
Østerbrokredsen;1. 1. Østerbro;V;Venstre, Danmarks Liberale Parti;Sven Aage Schlosrich;1
Østerbrokredsen;1. 1. Østerbro;V;Venstre, Danmarks Liberale Parti;Søren Sørensen;1
Østerbrokredsen;1. 1. Østerbro;Ø;Enhedslisten - De Rød-Grønne;Partiliste;590
Østerbrokredsen;1. 1. Østerbro;Ø;Enhedslisten - De Rød-Grønne;David Rønne;22
Østerbrokredsen;1. 1. Østerbro;Ø;Enhedslisten - De Rød-Grønne;Pernille Skipper;704
Østerbrokredsen;1. 1. Østerbro;Ø;Enhedslisten - De Rød-Grønne;Rosa Lund;44
Østerbrokredsen;1. 1. Østerbro;Ø;Enhedslisten - De Rød-Grønne;Rune Lund;24
Østerbrokredsen;1. 1. Østerbro;Ø;Enhedslisten - De Rød-Grønne;Jette Gottlieb;19
Østerbrokredsen;1. 1. Østerbro;Ø;Enhedslisten - De Rød-Grønne;Jonathan Simmel;10
Østerbrokredsen;1. 1. Østerbro;Ø;Enhedslisten - De Rød-Grønne;Dorthe Hecht;3
Østerbrokredsen;1. 1. Østerbro;Ø;Enhedslisten - De Rød-Grønne;Michael Neumann;8
