Opstillingskreds;Afstemningsområde;Partibogstav;Partinavn;Navn;Stemmetal
Helsingørkredsen;1. Helsingør Hallen;A;Socialdemokratiet;Partiliste;952
Helsingørkredsen;1. Helsingør Hallen;A;Socialdemokratiet;Henrik Møller;799
Helsingørkredsen;1. Helsingør Hallen;A;Socialdemokratiet;Maria Gudme;90
Helsingørkredsen;1. Helsingør Hallen;A;Socialdemokratiet;Per Frost Henriksen;15
Helsingørkredsen;1. Helsingør Hallen;A;Socialdemokratiet;Nick Hækkerup;142
Helsingørkredsen;1. Helsingør Hallen;A;Socialdemokratiet;Miki Dam Larsen;5
Helsingørkredsen;1. Helsingør Hallen;A;Socialdemokratiet;Rasmus Stoklund;51
Helsingørkredsen;1. Helsingør Hallen;A;Socialdemokratiet;David Trads;30
Helsingørkredsen;1. Helsingør Hallen;B;Radikale Venstre;Partiliste;333
Helsingørkredsen;1. Helsingør Hallen;B;Radikale Venstre;Camilla Kampmann;57
Helsingørkredsen;1. Helsingør Hallen;B;Radikale Venstre;Martin Lidegaard;291
Helsingørkredsen;1. Helsingør Hallen;B;Radikale Venstre;Kristian Hegaard;37
Helsingørkredsen;1. Helsingør Hallen;B;Radikale Venstre;Jacob Netteberg;4
Helsingørkredsen;1. Helsingør Hallen;B;Radikale Venstre;Christina Thorholm;14
Helsingørkredsen;1. Helsingør Hallen;B;Radikale Venstre;Rikke Mortensen;10
Helsingørkredsen;1. Helsingør Hallen;C;Det Konservative Folkeparti;Partiliste;342
Helsingørkredsen;1. Helsingør Hallen;C;Det Konservative Folkeparti;Birgitte Bergman;205
Helsingørkredsen;1. Helsingør Hallen;C;Det Konservative Folkeparti;Mette Abildgaard;81
Helsingørkredsen;1. Helsingør Hallen;C;Det Konservative Folkeparti;Lars Arne Christensen;4
Helsingørkredsen;1. Helsingør Hallen;C;Det Konservative Folkeparti;Otto B. Christiansen;2
Helsingørkredsen;1. Helsingør Hallen;C;Det Konservative Folkeparti;Kjeld Haslund;1
Helsingørkredsen;1. Helsingør Hallen;C;Det Konservative Folkeparti;Egil Hulgaard;3
Helsingørkredsen;1. Helsingør Hallen;C;Det Konservative Folkeparti;Erik Lund;13
Helsingørkredsen;1. Helsingør Hallen;D;Nye Borgerlige;Partiliste;166
Helsingørkredsen;1. Helsingør Hallen;D;Nye Borgerlige;Mette Thiesen;134
Helsingørkredsen;1. Helsingør Hallen;D;Nye Borgerlige;Ulla Kokfelt;21
Helsingørkredsen;1. Helsingør Hallen;D;Nye Borgerlige;Nina Froberg;4
Helsingørkredsen;1. Helsingør Hallen;D;Nye Borgerlige;Jesper Hammer;1
Helsingørkredsen;1. Helsingør Hallen;D;Nye Borgerlige;Lene Kattrup;7
Helsingørkredsen;1. Helsingør Hallen;D;Nye Borgerlige;Leif Barbré Knudsen;1
Helsingørkredsen;1. Helsingør Hallen;D;Nye Borgerlige;Ditlev Otte-Trojel;0
Helsingørkredsen;1. Helsingør Hallen;E;Klaus Riskær Pedersen;Partiliste;86
Helsingørkredsen;1. Helsingør Hallen;E;Klaus Riskær Pedersen;Søren Søfelt;5
Helsingørkredsen;1. Helsingør Hallen;F;SF - Socialistisk Folkeparti;Partiliste;454
