Opstillingskreds;Afstemningsområde;Partibogstav;Partinavn;Navn;Stemmetal
Aarhus Sydkredsen;1. Frederiksbjerg Hallerne;A;Socialdemokratiet;Partiliste;944
Aarhus Sydkredsen;1. Frederiksbjerg Hallerne;A;Socialdemokratiet;Nicolai Wammen;600
Aarhus Sydkredsen;1. Frederiksbjerg Hallerne;A;Socialdemokratiet;Camilla Fabricius;190
Aarhus Sydkredsen;1. Frederiksbjerg Hallerne;A;Socialdemokratiet;Dorthe Hindborg;20
Aarhus Sydkredsen;1. Frederiksbjerg Hallerne;A;Socialdemokratiet;Daniel Toft Jakobsen;24
Aarhus Sydkredsen;1. Frederiksbjerg Hallerne;A;Socialdemokratiet;Leif Lahn Jensen;18
Aarhus Sydkredsen;1. Frederiksbjerg Hallerne;A;Socialdemokratiet;Jens Joel;245
Aarhus Sydkredsen;1. Frederiksbjerg Hallerne;A;Socialdemokratiet;Henrik Dam Kristensen;32
Aarhus Sydkredsen;1. Frederiksbjerg Hallerne;A;Socialdemokratiet;Malte Larsen;9
Aarhus Sydkredsen;1. Frederiksbjerg Hallerne;A;Socialdemokratiet;Thyge Risvig;0
Aarhus Sydkredsen;1. Frederiksbjerg Hallerne;A;Socialdemokratiet;Iben Sønderup;6
Aarhus Sydkredsen;1. Frederiksbjerg Hallerne;A;Socialdemokratiet;Christen Sørensen;60
Aarhus Sydkredsen;1. Frederiksbjerg Hallerne;B;Radikale Venstre;Partiliste;903
Aarhus Sydkredsen;1. Frederiksbjerg Hallerne;B;Radikale Venstre;Anne Sophie Callesen;111
Aarhus Sydkredsen;1. Frederiksbjerg Hallerne;B;Radikale Venstre;Bassam El-Daoud;19
Aarhus Sydkredsen;1. Frederiksbjerg Hallerne;B;Radikale Venstre;Tom Brøcher Jakobsen;0
Aarhus Sydkredsen;1. Frederiksbjerg Hallerne;B;Radikale Venstre;Michael Skaaning Johansen;32
Aarhus Sydkredsen;1. Frederiksbjerg Hallerne;B;Radikale Venstre;Susan Kronborg;50
Aarhus Sydkredsen;1. Frederiksbjerg Hallerne;B;Radikale Venstre;Karen Melchior;36
Aarhus Sydkredsen;1. Frederiksbjerg Hallerne;B;Radikale Venstre;Søren Bo Pedersen;7
Aarhus Sydkredsen;1. Frederiksbjerg Hallerne;B;Radikale Venstre;Katrine Robsøe;187
Aarhus Sydkredsen;1. Frederiksbjerg Hallerne;B;Radikale Venstre;Morten Kjær Sørensen;12
Aarhus Sydkredsen;1. Frederiksbjerg Hallerne;B;Radikale Venstre;Henrik Vinther;82
Aarhus Sydkredsen;1. Frederiksbjerg Hallerne;B;Radikale Venstre;Morten Østergaard;631
Aarhus Sydkredsen;1. Frederiksbjerg Hallerne;C;Det Konservative Folkeparti;Partiliste;500
Aarhus Sydkredsen;1. Frederiksbjerg Hallerne;C;Det Konservative Folkeparti;Jens Salling;36
Aarhus Sydkredsen;1. Frederiksbjerg Hallerne;C;Det Konservative Folkeparti;Ali Aminali;27
Aarhus Sydkredsen;1. Frederiksbjerg Hallerne;C;Det Konservative Folkeparti;Jane Christensen;8
Aarhus Sydkredsen;1. Frederiksbjerg Hallerne;C;Det Konservative Folkeparti;Charlotte Green;51
Aarhus Sydkredsen;1. Frederiksbjerg Hallerne;C;Det Konservative Folkeparti;Lars Jensen;4
Aarhus Sydkredsen;1. Frederiksbjerg Hallerne;C;Det Konservative Folkeparti;Mona Juul;151
Aarhus Sydkredsen;1. Frederiksbjerg Hallerne;C;Det Konservative Folkeparti;Victoria D. Kilpatrick;15
Aarhus Sydkredsen;1. Frederiksbjerg Hallerne;C;Det Konservative Folkeparti;Anders Krojgaard Lund;6
Aarhus Sydkredsen;1. Frederiksbjerg Hallerne;C;Det Konservative Folkeparti;David Munk-Bogballe;7
Aarhus Sydkredsen;1. Frederiksbjerg Hallerne;C;Det Konservative Folkeparti;Niels Rosenberg;3
Aarhus Sydkredsen;1. Frederiksbjerg Hallerne;D;Nye Borgerlige;Partiliste;102
Aarhus Sydkredsen;1. Frederiksbjerg Hallerne;D;Nye Borgerlige;Lars Boje Mathiesen;52
Aarhus Sydkredsen;1. Frederiksbjerg Hallerne;D;Nye Borgerlige;Caroline Mathilde Reitzel;6
Aarhus Sydkredsen;1. Frederiksbjerg Hallerne;D;Nye Borgerlige;Niels-Christian Braad;2
Aarhus Sydkredsen;1. Frederiksbjerg Hallerne;D;Nye Borgerlige;Niels Børge Eriksen;1
Aarhus Sydkredsen;1. Frederiksbjerg Hallerne;D;Nye Borgerlige;Ulrik Hermann;0
Aarhus Sydkredsen;1. Frederiksbjerg Hallerne;D;Nye Borgerlige;Inger-Marie Tryde Martensen;1
Aarhus Sydkredsen;1. Frederiksbjerg Hallerne;D;Nye Borgerlige;Lars Axel Nielsen;0
Aarhus Sydkredsen;1. Frederiksbjerg Hallerne;E;Klaus Riskær Pedersen;Partiliste;114
