Kreds,valgsted_navn,kandidat_navn,parti,stemmer,Storkreds
Helsingørkredsen,1. Helsingør Hallen,Lars Løkke Rasmussen,"Venstre, Danmarks Liberale Parti",767,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Partiliste,Enhedslisten - De Rød-Grønne,416,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Ole Krarup,Enhedslisten - De Rød-Grønne,35,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Jørgen Arbo-Bæhr,Enhedslisten - De Rød-Grønne,24,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Maria Reumert Gjerding,Enhedslisten - De Rød-Grønne,43,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Øjvind Vilsholm,Enhedslisten - De Rød-Grønne,4,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Margit Kjeldgaard,Enhedslisten - De Rød-Grønne,8,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Pelle Andersen-Harild,Enhedslisten - De Rød-Grønne,2,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Bjarne Holm,(Uden for parti),2,Nordsjællands Storkreds
Helsingørkredsen,"2. Montebello, Gurrevej 90",Partiliste,Socialdemokratiet,1027,Nordsjællands Storkreds
Helsingørkredsen,"2. Montebello, Gurrevej 90",Thomas Horn,Socialdemokratiet,1181,Nordsjællands Storkreds
Helsingørkredsen,"2. Montebello, Gurrevej 90",Christine Antorini,Socialdemokratiet,173,Nordsjællands Storkreds
Helsingørkredsen,"2. Montebello, Gurrevej 90",Klaus Hækkerup,Socialdemokratiet,38,Nordsjællands Storkreds
Helsingørkredsen,"2. Montebello, Gurrevej 90",Nick Hækkerup,Socialdemokratiet,117,Nordsjællands Storkreds
Helsingørkredsen,"2. Montebello, Gurrevej 90",Marianne Stendell,Socialdemokratiet,11,Nordsjællands Storkreds
Helsingørkredsen,"2. Montebello, Gurrevej 90",Kristine Thrane,Socialdemokratiet,18,Nordsjællands Storkreds
Helsingørkredsen,"2. Montebello, Gurrevej 90",Partiliste,Radikale Venstre,152,Nordsjællands Storkreds
Helsingørkredsen,"2. Montebello, Gurrevej 90",Helge Vagn Jacobsen,Radikale Venstre,15,Nordsjællands Storkreds
Helsingørkredsen,"2. Montebello, Gurrevej 90",Christian Friis Bach,Radikale Venstre,7,Nordsjællands Storkreds
Helsingørkredsen,"2. Montebello, Gurrevej 90",Helle Løvgreen Mølvig,Radikale Venstre,10,Nordsjællands Storkreds
Helsingørkredsen,"2. Montebello, Gurrevej 90",Margrethe Vestager,Radikale Venstre,415,Nordsjællands Storkreds
Helsingørkredsen,"2. Montebello, Gurrevej 90",Partiliste,Det Konservative Folkeparti,145,Nordsjællands Storkreds
Helsingørkredsen,"2. Montebello, Gurrevej 90",Isabella Meyer,Det Konservative Folkeparti,56,Nordsjællands Storkreds
Helsingørkredsen,"2. Montebello, Gurrevej 90",Mette Abildgaard,Det Konservative Folkeparti,17,Nordsjællands Storkreds
Helsingørkredsen,"2. Montebello, Gurrevej 90",Casper Strunge Andersen,Det Konservative Folkeparti,3,Nordsjællands Storkreds
Helsingørkredsen,"2. Montebello, Gurrevej 90",Lars Barfoed,Det Konservative Folkeparti,89,Nordsjællands Storkreds
Helsingørkredsen,"2. Montebello, Gurrevej 90",Lars N. Carstensen,Det Konservative Folkeparti,3,Nordsjællands Storkreds
Helsingørkredsen,"2. Montebello, Gurrevej 90",Rasmus Mahler,Det Konservative Folkeparti,0,Nordsjællands Storkreds
Helsingørkredsen,"2. Montebello, Gurrevej 90",Partiliste,SF - Socialistisk Folkeparti,507,Nordsjællands Storkreds
Helsingørkredsen,"2. Montebello, Gurrevej 90",Andreas Holck Høeg-Petersen,SF - Socialistisk Folkeparti,98,Nordsjællands Storkreds
Helsingørkredsen,"2. Montebello, Gurrevej 90",Hanne Berg,SF - Socialistisk Folkeparti,48,Nordsjællands Storkreds
Helsingørkredsen,"2. Montebello, Gurrevej 90",Michael Buk,SF - Socialistisk Folkeparti,6,Nordsjællands Storkreds
Helsingørkredsen,"2. Montebello, Gurrevej 90",Pia Olsen Dyhr,SF - Socialistisk Folkeparti,64,Nordsjællands Storkreds
Helsingørkredsen,"2. Montebello, Gurrevej 90",Nanna Westerby,SF - Socialistisk Folkeparti,61,Nordsjællands Storkreds
Helsingørkredsen,"2. Montebello, Gurrevej 90",Peter Westermann,SF - Socialistisk Folkeparti,17,Nordsjællands Storkreds
Helsingørkredsen,"2. Montebello, Gurrevej 90",Partiliste,Liberal Alliance,128,Nordsjællands Storkreds
Helsingørkredsen,"2. Montebello, Gurrevej 90",Anders Samuelsen,Liberal Alliance,128,Nordsjællands Storkreds
Helsingørkredsen,"2. Montebello, Gurrevej 90",Jørgen Christensen,Liberal Alliance,2,Nordsjællands Storkreds
Helsingørkredsen,"2. Montebello, Gurrevej 90",Lars Engelberth,Liberal Alliance,2,Nordsjællands Storkreds
Helsingørkredsen,"2. Montebello, Gurrevej 90",L. Michael Herløv,Liberal Alliance,0,Nordsjællands Storkreds
Helsingørkredsen,"2. Montebello, Gurrevej 90",Niels Westy Munch-Holbek,Liberal Alliance,7,Nordsjællands Storkreds
Helsingørkredsen,"2. Montebello, Gurrevej 90",Jens E. Pedersen,Liberal Alliance,1,Nordsjællands Storkreds
Helsingørkredsen,"2. Montebello, Gurrevej 90",Rikke Weissfeld,Liberal Alliance,14,Nordsjællands Storkreds
Helsingørkredsen,"2. Montebello, Gurrevej 90",Partiliste,Kristendemokraterne,16,Nordsjællands Storkreds
Helsingørkredsen,"2. Montebello, Gurrevej 90",Ingrid Feldbæk Wredstrøm,Kristendemokraterne,2,Nordsjællands Storkreds
Helsingørkredsen,"2. Montebello, Gurrevej 90",Claus Dyhrberg,Kristendemokraterne,1,Nordsjællands Storkreds
Helsingørkredsen,"2. Montebello, Gurrevej 90",Aron Henning,Kristendemokraterne,0,Nordsjællands Storkreds
Helsingørkredsen,"2. Montebello, Gurrevej 90",Birger Reuss Schmidt,Kristendemokraterne,4,Nordsjællands Storkreds
Helsingørkredsen,"2. Montebello, Gurrevej 90",Gert Svendsen,Kristendemokraterne,1,Nordsjællands Storkreds
Helsingørkredsen,"2. Montebello, Gurrevej 90",Partiliste,Dansk Folkeparti,753,Nordsjællands Storkreds
Helsingørkredsen,"2. Montebello, Gurrevej 90",Finn Rudaizky,Dansk Folkeparti,172,Nordsjællands Storkreds
Helsingørkredsen,"2. Montebello, Gurrevej 90",Pia Adelsteen,Dansk Folkeparti,63,Nordsjællands Storkreds
Helsingørkredsen,"2. Montebello, Gurrevej 90",Chris Bjerknæs,Dansk Folkeparti,8,Nordsjællands Storkreds
Helsingørkredsen,"2. Montebello, Gurrevej 90",Visti Christensen,Dansk Folkeparti,6,Nordsjællands Storkreds
Helsingørkredsen,"2. Montebello, Gurrevej 90",Walter Christophersen,Dansk Folkeparti,8,Nordsjællands Storkreds
Helsingørkredsen,"2. Montebello, Gurrevej 90",Marlene Harpsøe,Dansk Folkeparti,89,Nordsjællands Storkreds
Helsingørkredsen,"2. Montebello, Gurrevej 90",Partiliste,"Venstre, Danmarks Liberale Parti",381,Nordsjællands Storkreds
Helsingørkredsen,"2. Montebello, Gurrevej 90",Hans Andersen,"Venstre, Danmarks Liberale Parti",153,Nordsjællands Storkreds
Helsingørkredsen,"2. Montebello, Gurrevej 90",Anne Ehrenreich,"Venstre, Danmarks Liberale Parti",101,Nordsjællands Storkreds
Helsingørkredsen,"2. Montebello, Gurrevej 90",Claus Hjort Frederiksen,"Venstre, Danmarks Liberale Parti",33,Nordsjællands Storkreds
Helsingørkredsen,"2. Montebello, Gurrevej 90",Sophie Løhde,"Venstre, Danmarks Liberale Parti",44,Nordsjællands Storkreds
Helsingørkredsen,"2. Montebello, Gurrevej 90",Klaus Markussen,"Venstre, Danmarks Liberale Parti",3,Nordsjællands Storkreds
Helsingørkredsen,"2. Montebello, Gurrevej 90",Lars Løkke Rasmussen,"Venstre, Danmarks Liberale Parti",696,Nordsjællands Storkreds
Helsingørkredsen,"2. Montebello, Gurrevej 90",Partiliste,Enhedslisten - De Rød-Grønne,456,Nordsjællands Storkreds
Helsingørkredsen,"2. Montebello, Gurrevej 90",Ole Krarup,Enhedslisten - De Rød-Grønne,55,Nordsjællands Storkreds
Helsingørkredsen,"2. Montebello, Gurrevej 90",Jørgen Arbo-Bæhr,Enhedslisten - De Rød-Grønne,22,Nordsjællands Storkreds
Helsingørkredsen,"2. Montebello, Gurrevej 90",Maria Reumert Gjerding,Enhedslisten - De Rød-Grønne,46,Nordsjællands Storkreds
Helsingørkredsen,"2. Montebello, Gurrevej 90",Øjvind Vilsholm,Enhedslisten - De Rød-Grønne,3,Nordsjællands Storkreds
Helsingørkredsen,"2. Montebello, Gurrevej 90",Margit Kjeldgaard,Enhedslisten - De Rød-Grønne,26,Nordsjællands Storkreds
Helsingørkredsen,"2. Montebello, Gurrevej 90",Pelle Andersen-Harild,Enhedslisten - De Rød-Grønne,2,Nordsjællands Storkreds
Helsingørkredsen,"2. Montebello, Gurrevej 90",Bjarne Holm,(Uden for parti),2,Nordsjællands Storkreds
Helsingørkredsen,"3. Laden, Gl. Vapnagård",Partiliste,Socialdemokratiet,481,Nordsjællands Storkreds
Helsingørkredsen,"3. Laden, Gl. Vapnagård",Thomas Horn,Socialdemokratiet,662,Nordsjællands Storkreds
Helsingørkredsen,"3. Laden, Gl. Vapnagård",Christine Antorini,Socialdemokratiet,84,Nordsjællands Storkreds
Helsingørkredsen,"3. Laden, Gl. Vapnagård",Klaus Hækkerup,Socialdemokratiet,34,Nordsjællands Storkreds
Helsingørkredsen,"3. Laden, Gl. Vapnagård",Nick Hækkerup,Socialdemokratiet,43,Nordsjællands Storkreds
Helsingørkredsen,"3. Laden, Gl. Vapnagård",Marianne Stendell,Socialdemokratiet,12,Nordsjællands Storkreds
Helsingørkredsen,"3. Laden, Gl. Vapnagård",Kristine Thrane,Socialdemokratiet,6,Nordsjællands Storkreds
Helsingørkredsen,"3. Laden, Gl. Vapnagård",Partiliste,Radikale Venstre,88,Nordsjællands Storkreds
Helsingørkredsen,"3. Laden, Gl. Vapnagård",Helge Vagn Jacobsen,Radikale Venstre,17,Nordsjællands Storkreds
Helsingørkredsen,"3. Laden, Gl. Vapnagård",Christian Friis Bach,Radikale Venstre,5,Nordsjællands Storkreds
Helsingørkredsen,"3. Laden, Gl. Vapnagård",Helle Løvgreen Mølvig,Radikale Venstre,8,Nordsjællands Storkreds
Helsingørkredsen,"3. Laden, Gl. Vapnagård",Margrethe Vestager,Radikale Venstre,317,Nordsjællands Storkreds
Helsingørkredsen,"3. Laden, Gl. Vapnagård",Partiliste,Det Konservative Folkeparti,69,Nordsjællands Storkreds
Helsingørkredsen,"3. Laden, Gl. Vapnagård",Isabella Meyer,Det Konservative Folkeparti,29,Nordsjællands Storkreds
Helsingørkredsen,"3. Laden, Gl. Vapnagård",Mette Abildgaard,Det Konservative Folkeparti,11,Nordsjællands Storkreds
Helsingørkredsen,"3. Laden, Gl. Vapnagård",Casper Strunge Andersen,Det Konservative Folkeparti,1,Nordsjællands Storkreds
Helsingørkredsen,"3. Laden, Gl. Vapnagård",Lars Barfoed,Det Konservative Folkeparti,96,Nordsjællands Storkreds
Helsingørkredsen,"3. Laden, Gl. Vapnagård",Lars N. Carstensen,Det Konservative Folkeparti,1,Nordsjællands Storkreds
Helsingørkredsen,"3. Laden, Gl. Vapnagård",Rasmus Mahler,Det Konservative Folkeparti,2,Nordsjællands Storkreds
Helsingørkredsen,"3. Laden, Gl. Vapnagård",Partiliste,SF - Socialistisk Folkeparti,287,Nordsjællands Storkreds
Helsingørkredsen,"3. Laden, Gl. Vapnagård",Andreas Holck Høeg-Petersen,SF - Socialistisk Folkeparti,48,Nordsjællands Storkreds
Helsingørkredsen,"3. Laden, Gl. Vapnagård",Hanne Berg,SF - Socialistisk Folkeparti,24,Nordsjællands Storkreds
Helsingørkredsen,"3. Laden, Gl. Vapnagård",Michael Buk,SF - Socialistisk Folkeparti,5,Nordsjællands Storkreds
Helsingørkredsen,"3. Laden, Gl. Vapnagård",Pia Olsen Dyhr,SF - Socialistisk Folkeparti,34,Nordsjællands Storkreds
Helsingørkredsen,"3. Laden, Gl. Vapnagård",Nanna Westerby,SF - Socialistisk Folkeparti,50,Nordsjællands Storkreds
