Opstillingskreds;Afstemningsområde;Svarmulighed;Stemmetal;Stemmeprocent
Lollandkredsen;1. Errindlev;Ja;249;57,6
Lollandkredsen;1. Errindlev;Nej;183;42,4
Lollandkredsen;3. Holeby;Ja;665;58,0
Lollandkredsen;3. Holeby;Nej;481;42,0
Lollandkredsen;8. Sandby;Ja;278;58,5
Lollandkredsen;8. Sandby;Nej;197;41,5
Lollandkredsen;11. Søllested;Ja;532;55,0
Lollandkredsen;11. Søllested;Nej;435;45,0
Lollandkredsen;13. Maribo;Ja;2144;67,4
Lollandkredsen;13. Maribo;Nej;1037;32,6
Lollandkredsen;14. Askø;Ja;20;58,8
Lollandkredsen;14. Askø;Nej;14;41,2
Lollandkredsen;19. Østofte;Ja;860;58,0
Lollandkredsen;19. Østofte;Nej;622;42,0
Lollandkredsen;20. Nakskov Vest;Ja;2157;58,0
Lollandkredsen;20. Nakskov Vest;Nej;1565;42,0
Lollandkredsen;21. Nakskov Øst;Ja;1348;58,1
Lollandkredsen;21. Nakskov Øst;Nej;974;41,9
Lollandkredsen;26. Birket;Ja;144;54,5
Lollandkredsen;26. Birket;Nej;120;45,5
Lollandkredsen;27. Fejø;Ja;158;58,5
Lollandkredsen;27. Fejø;Nej;112;41,5
Lollandkredsen;28. Femø;Ja;54;69,2
Lollandkredsen;28. Femø;Nej;24;30,8
Lollandkredsen;29. Horslunde;Ja;583;54,8
Lollandkredsen;29. Horslunde;Nej;481;45,2
Lollandkredsen;35. Dannemare;Ja;741;57,5
Lollandkredsen;35. Dannemare;Nej;548;42,5
Lollandkredsen;36. Rødby;Ja;948;58,4
Lollandkredsen;36. Rødby;Nej;674;41,6
Lollandkredsen;37. Rødbyhavn;Ja;364;55,6
Lollandkredsen;37. Rødbyhavn;Nej;291;44,4
Guldborgsundkredsen;1. Byen;Ja;1429;64,7
Guldborgsundkredsen;1. Byen;Nej;780;35,3
Guldborgsundkredsen;2. Østerbro;Ja;1207;62,1
Guldborgsundkredsen;2. Østerbro;Nej;736;37,9
Guldborgsundkredsen;3. Lindeskov;Ja;1099;64,3
Guldborgsundkredsen;3. Lindeskov;Nej;611;35,7
Guldborgsundkredsen;4. Ejegod;Ja;1432;64,5
Guldborgsundkredsen;4. Ejegod;Nej;789;35,5
Guldborgsundkredsen;5. Kraghave;Ja;894;61,6
Guldborgsundkredsen;5. Kraghave;Nej;557;38,4
Guldborgsundkredsen;6. Toreby;Ja;527;55,5
Guldborgsundkredsen;6. Toreby;Nej;422;44,5
Guldborgsundkredsen;7. Sundby;Ja;1331;67,5
Guldborgsundkredsen;7. Sundby;Nej;640;32,5
Guldborgsundkredsen;8. Nysted;Ja;996;65,2
Guldborgsundkredsen;8. Nysted;Nej;532;34,8
