Opstillingskreds;Afstemningsområde;Svarmulighed;Stemmetal;Stemmeprocent
Gentoftekredsen;1. Jægersborg;Ja;3238;82,5
Gentoftekredsen;1. Jægersborg;Nej;688;17,5
Gentoftekredsen;2. Munkegård;Ja;2449;75,6
Gentoftekredsen;2. Munkegård;Nej;790;24,4
Gentoftekredsen;3. Rådhuset;Ja;2951;82,2
Gentoftekredsen;3. Rådhuset;Nej;637;17,8
Gentoftekredsen;4. Bakkegård;Ja;2416;72,4
Gentoftekredsen;4. Bakkegård;Nej;922;27,6
Gentoftekredsen;5. Dyssegård;Ja;2974;80,4
Gentoftekredsen;5. Dyssegård;Nej;723;19,6
Gentoftekredsen;6. Maglegård;Ja;3548;83,2
Gentoftekredsen;6. Maglegård;Nej;716;16,8
Gentoftekredsen;7. Hellerup;Ja;3585;81,5
Gentoftekredsen;7. Hellerup;Nej;815;18,5
Gentoftekredsen;8. Ordrup;Ja;2539;79,7
Gentoftekredsen;8. Ordrup;Nej;645;20,3
Gentoftekredsen;9. Skovshoved;Ja;3067;82,0
Gentoftekredsen;9. Skovshoved;Nej;673;18,0
Gentoftekredsen;10. Skovgård;Ja;2615;79,9
Gentoftekredsen;10. Skovgård;Nej;659;20,1
Lyngbykredsen;1. Lyngby Midt;Ja;2496;74,3
Lyngbykredsen;1. Lyngby Midt;Nej;865;25,7
Lyngbykredsen;2. Lyngby Idrætsby;Ja;1912;68,9
Lyngbykredsen;2. Lyngby Idrætsby;Nej;863;31,1
Lyngbykredsen;3. Trongård;Ja;2479;76,8
Lyngbykredsen;3. Trongård;Nej;747;23,2
Lyngbykredsen;4. Engelsborg;Ja;2849;77,6
Lyngbykredsen;4. Engelsborg;Nej;821;22,4
Lyngbykredsen;5. Taarbæk;Ja;708;81,8
Lyngbykredsen;5. Taarbæk;Nej;157;18,2
Lyngbykredsen;6. Virum;Ja;3252;84,6
Lyngbykredsen;6. Virum;Nej;594;15,4
Lyngbykredsen;7. Hummeltofte;Ja;2396;81,1
Lyngbykredsen;7. Hummeltofte;Nej;557;18,9
Lyngbykredsen;8. Virumhallerne;Ja;2160;75,4
Lyngbykredsen;8. Virumhallerne;Nej;706;24,6
Lyngbykredsen;9. Kongevej;Ja;1490;82,9
Lyngbykredsen;9. Kongevej;Nej;307;17,1
Lyngbykredsen;10. Lundtofte;Ja;2357;75,6
Lyngbykredsen;10. Lundtofte;Nej;761;24,4
Gladsaxekredsen;1. Bagsværd;Ja;2476;73,7
Gladsaxekredsen;1. Bagsværd;Nej;882;26,3
Gladsaxekredsen;2. Hovedbiblioteket;Ja;2670;67,0
Gladsaxekredsen;2. Hovedbiblioteket;Nej;1313;33,0
Gladsaxekredsen;3. Egegård;Ja;2317;65,8
Gladsaxekredsen;3. Egegård;Nej;1203;34,2
Gladsaxekredsen;4. Grønnemose;Ja;2735;68,2
Gladsaxekredsen;4. Grønnemose;Nej;1277;31,8
Gladsaxekredsen;5. Mørkhøj;Ja;2223;61,5
Gladsaxekredsen;5. Mørkhøj;Nej;1389;38,5
Gladsaxekredsen;6. Stengård;Ja;3277;76,2
Gladsaxekredsen;6. Stengård;Nej;1025;23,8
Gladsaxekredsen;7. Søborg;Ja;1980;72,8
Gladsaxekredsen;7. Søborg;Nej;738;27,2
Gladsaxekredsen;8. Vadgård;Ja;1817;66,2
Gladsaxekredsen;8. Vadgård;Nej;926;33,8
Gladsaxekredsen;9. Værebro;Ja;1147;70,0
Gladsaxekredsen;9. Værebro;Nej;491;30,0
Rødovrekredsen;1. Herlev Medborgerhus;Ja;2489;62,3
Rødovrekredsen;1. Herlev Medborgerhus;Nej;1508;37,7
Rødovrekredsen;1. Ørbygård;Ja;1393;68,5
Rødovrekredsen;1. Ørbygård;Nej;642;31,5
Rødovrekredsen;2. Herlev Hallerne;Ja;3119;69,0
Rødovrekredsen;2. Herlev Hallerne;Nej;1400;31,0
Rødovrekredsen;2. Tinderhøj;Ja;1497;61,3
Rødovrekredsen;2. Tinderhøj;Nej;947;38,7
Rødovrekredsen;3. Kildegårdhallen;Ja;2449;62,7
