Opstillingskreds;Afstemningsområde;Svarmulighed;Stemmetal;Stemmeprocent
Aarhus Sydkredsen;1. Frederiksbjerghallerne;Ja;7248;78,0
Aarhus Sydkredsen;1. Frederiksbjerghallerne;Nej;2041;22,0
Aarhus Sydkredsen;2. Sundh.- & Kulturc. Fr.bjerg/La;Ja;2693;70,3
Aarhus Sydkredsen;2. Sundh.- & Kulturc. Fr.bjerg/La;Nej;1136;29,7
Aarhus Sydkredsen;3. Rundhøjhallen, Holme;Ja;3075;72,0
Aarhus Sydkredsen;3. Rundhøjhallen, Holme;Nej;1196;28,0
Aarhus Sydkredsen;4. Kragelundskolen, Højbjerg;Ja;2210;75,1
Aarhus Sydkredsen;4. Kragelundskolen, Højbjerg;Nej;733;24,9
Aarhus Sydkredsen;6. Tranbjerg Skole;Ja;3604;70,9
Aarhus Sydkredsen;6. Tranbjerg Skole;Nej;1482;29,1
Aarhus Sydkredsen;9. Beder Skole;Ja;1995;76,2
Aarhus Sydkredsen;9. Beder Skole;Nej;624;23,8
Aarhus Sydkredsen;11. Malling Skole;Ja;2265;72,4
Aarhus Sydkredsen;11. Malling Skole;Nej;864;27,6
Aarhus Sydkredsen;12. Mårslet Skole;Ja;2398;77,9
Aarhus Sydkredsen;12. Mårslet Skole;Nej;681;22,1
Aarhus Sydkredsen;13. Solbjergskolen;Ja;2005;71,0
Aarhus Sydkredsen;13. Solbjergskolen;Nej;817;29,0
Aarhus Sydkredsen;66. Skåde Skole;Ja;2643;78,8
Aarhus Sydkredsen;66. Skåde Skole;Nej;712;21,2
Aarhus Vestkredsen;7. Rosenvangskolen, Viby J;Ja;2648;74,5
Aarhus Vestkredsen;7. Rosenvangskolen, Viby J;Nej;905;25,5
Aarhus Vestkredsen;8. Viby Hallen;Ja;3642;69,1
Aarhus Vestkredsen;8. Viby Hallen;Nej;1625;30,9
Aarhus Vestkredsen;16. Ormslev Præstegård;Ja;296;69,8
Aarhus Vestkredsen;16. Ormslev Præstegård;Nej;128;30,2
Aarhus Vestkredsen;18. Hasselager Hallen;Ja;2353;68,3
Aarhus Vestkredsen;18. Hasselager Hallen;Nej;1092;31,7
Aarhus Vestkredsen;19. Højvangskolen, Stavtrup;Ja;1918;73,5
Aarhus Vestkredsen;19. Højvangskolen, Stavtrup;Nej;692;26,5
Aarhus Vestkredsen;24. Brabrand Hallen;Ja;3411;76,7
Aarhus Vestkredsen;24. Brabrand Hallen;Nej;1036;23,3
Aarhus Vestkredsen;25. Globus 1;Ja;1119;58,0
Aarhus Vestkredsen;25. Globus 1;Nej;810;42,0
Aarhus Vestkredsen;26. Skjoldhøjskolen;Ja;1581;64,8
Aarhus Vestkredsen;26. Skjoldhøjskolen;Nej;860;35,2
Aarhus Vestkredsen;28. TST Aktiv-Center, Tilst;Ja;2342;64,3
Aarhus Vestkredsen;28. TST Aktiv-Center, Tilst;Nej;1299;35,7
Aarhus Vestkredsen;30. Næshøjhallen;Ja;1696;69,4
Aarhus Vestkredsen;30. Næshøjhallen;Nej;749;30,6
Aarhus Vestkredsen;31. Borum Forsamlingshus;Ja;257;66,6
Aarhus Vestkredsen;31. Borum Forsamlingshus;Nej;129;33,4
Aarhus Vestkredsen;33. Sabro-Korsvejskolen, Sabro;Ja;1195;69,2
Aarhus Vestkredsen;33. Sabro-Korsvejskolen, Sabro;Nej;531;30,8
Aarhus Vestkredsen;62. Søndervangskolen, Viby J;Ja;572;54,7
Aarhus Vestkredsen;62. Søndervangskolen, Viby J;Nej;474;45,3
Aarhus Vestkredsen;64. Åby Hallen;Ja;3071;74,3
Aarhus Vestkredsen;64. Åby Hallen;Nej;1060;25,7
Aarhus Nordkredsen;22. Gammelgårdskolen, Åbyhøj;Ja;1787;78,0
Aarhus Nordkredsen;22. Gammelgårdskolen, Åbyhøj;Nej;503;22,0
Aarhus Nordkredsen;23. Hasle Skole;Ja;2709;70,4
Aarhus Nordkredsen;23. Hasle Skole;Nej;1137;29,6
Aarhus Nordkredsen;27. Via University, Ceresbyen;Ja;3180;77,2
Aarhus Nordkredsen;27. Via University, Ceresbyen;Nej;940;22,8
Aarhus Nordkredsen;42. Skovvangskolen;Ja;5172;73,9
Aarhus Nordkredsen;42. Skovvangskolen;Nej;1826;26,1
Aarhus Nordkredsen;43. Møllevangskolen;Ja;2795;69,9
Aarhus Nordkredsen;43. Møllevangskolen;Nej;1206;30,1
Aarhus Nordkredsen;44. Lisbjergskolen;Ja;573;69,1
Aarhus Nordkredsen;44. Lisbjergskolen;Nej;256;30,9
Aarhus Nordkredsen;47. Lystrup Hallen;Ja;4527;74,3
Aarhus Nordkredsen;47. Lystrup Hallen;Nej;1563;25,7
Aarhus Nordkredsen;53. Bjørnshøjcentret, Trige;Ja;914;62,6
Aarhus Nordkredsen;53. Bjørnshøjcentret, Trige;Nej;547;37,4
Aarhus Nordkredsen;55. Spørring Fælleshus;Ja;337;62,9
Aarhus Nordkredsen;55. Spørring Fælleshus;Nej;199;37,1
Aarhus Nordkredsen;56. Hårup Hallen;Ja;735;71,0
Aarhus Nordkredsen;56. Hårup Hallen;Nej;300;29,0
Aarhus Nordkredsen;63. Folkesundhed Aarhus, Frydenlun;Ja;3148;66,6
Aarhus Nordkredsen;63. Folkesundhed Aarhus, Frydenlun;Nej;1580;33,4
Aarhus Nordkredsen;67. Katrinebjergskolen;Ja;2437;73,1
Aarhus Nordkredsen;67. Katrinebjergskolen;Nej;898;26,9
Aarhus Nordkredsen;68. Vorrevangskolen;Ja;1027;64,6
Aarhus Nordkredsen;68. Vorrevangskolen;Nej;563;35,4
Aarhus Østkredsen;10. DOKK1;Ja;3592;78,1
Aarhus Østkredsen;10. DOKK1;Nej;1007;21,9
Aarhus Østkredsen;14. Generationernes Hus, Aarhus Ø;Ja;2062;80,1
Aarhus Østkredsen;14. Generationernes Hus, Aarhus Ø;Nej;511;19,9
Aarhus Østkredsen;20. Folkestedet, Carl Blochs Gade;Ja;3144;80,5
Aarhus Østkredsen;20. Folkestedet, Carl Blochs Gade;Nej;764;19,5
Aarhus Østkredsen;21. Rådhushallen;Ja;4997;77,0
