kreds,valgsted_navn,kandidat_navn,parti,partibogstav,stemmer,kommune
Frederikshavnkredsen,1. Frederikshavn Syd,Partiliste,Socialdemokratiet,A,77,
Frederikshavnkredsen,1. Frederikshavn Syd,Poul Nyrup Rasmussen,Socialdemokratiet,A,542,
Frederikshavnkredsen,1. Frederikshavn Syd,Henrik Dam Kristensen,Socialdemokratiet,A,94,
Frederikshavnkredsen,1. Frederikshavn Syd,Britta Thomsen,Socialdemokratiet,A,12,
Frederikshavnkredsen,1. Frederikshavn Syd,Christel Schaldemose,Socialdemokratiet,A,4,
Frederikshavnkredsen,1. Frederikshavn Syd,Dan Jørgensen,Socialdemokratiet,A,2,
Frederikshavnkredsen,1. Frederikshavn Syd,Steen Nielsen,Socialdemokratiet,A,1,
Frederikshavnkredsen,1. Frederikshavn Syd,Mads Panny,Socialdemokratiet,A,0,
Frederikshavnkredsen,1. Frederikshavn Syd,Ole Christensen,Socialdemokratiet,A,128,
Frederikshavnkredsen,1. Frederikshavn Syd,Bo Morthorst Rasmussen,Socialdemokratiet,A,7,
Frederikshavnkredsen,1. Frederikshavn Syd,Anna Haaland Hansen,Socialdemokratiet,A,6,
Frederikshavnkredsen,1. Frederikshavn Syd,Anders Kronborg,Socialdemokratiet,A,0,
Frederikshavnkredsen,1. Frederikshavn Syd,"Henning Jensen, Næstved",Socialdemokratiet,A,0,
Frederikshavnkredsen,1. Frederikshavn Syd,Einer Lyduch,Socialdemokratiet,A,0,
Frederikshavnkredsen,1. Frederikshavn Syd,Benny Hestbek,Socialdemokratiet,A,0,
Frederikshavnkredsen,1. Frederikshavn Syd,Kaj Johansen,Socialdemokratiet,A,1,
Frederikshavnkredsen,1. Frederikshavn Syd,"Henning A. Jensen, Bornholm",Socialdemokratiet,A,1,
Frederikshavnkredsen,1. Frederikshavn Syd,Partiliste,Det Radikale Venstre,B,21,
Frederikshavnkredsen,1. Frederikshavn Syd,Anders Samuelsen,Det Radikale Venstre,B,36,
Frederikshavnkredsen,1. Frederikshavn Syd,Camilla Hersom,Det Radikale Venstre,B,6,
Frederikshavnkredsen,1. Frederikshavn Syd,Johannes Lebech,Det Radikale Venstre,B,0,
Frederikshavnkredsen,1. Frederikshavn Syd,Simon Emil Ammitzbøll,Det Radikale Venstre,B,0,
Frederikshavnkredsen,1. Frederikshavn Syd,Tomas Bech Madsen,Det Radikale Venstre,B,0,
Frederikshavnkredsen,1. Frederikshavn Syd,Adam Lebech,Det Radikale Venstre,B,0,
Frederikshavnkredsen,1. Frederikshavn Syd,Bjarke Larsen,Det Radikale Venstre,B,0,
Frederikshavnkredsen,1. Frederikshavn Syd,Hanne Roed,Det Radikale Venstre,B,1,
Frederikshavnkredsen,1. Frederikshavn Syd,Per Kleis Bønnelycke,Det Radikale Venstre,B,0,
Frederikshavnkredsen,1. Frederikshavn Syd,Stefan Seidler,Det Radikale Venstre,B,0,
Frederikshavnkredsen,1. Frederikshavn Syd,Keld Kollerup Kvist,Det Radikale Venstre,B,0,
Frederikshavnkredsen,1. Frederikshavn Syd,Per Fibæk Laursen,Det Radikale Venstre,B,1,
Frederikshavnkredsen,1. Frederikshavn Syd,Torben Lundø,Det Radikale Venstre,B,0,
Frederikshavnkredsen,1. Frederikshavn Syd,Kristian Kirk Mailand,Det Radikale Venstre,B,0,
Frederikshavnkredsen,1. Frederikshavn Syd,Gunner Nielsen,Det Radikale Venstre,B,0,
Frederikshavnkredsen,1. Frederikshavn Syd,Peter Sørensen,Det Radikale Venstre,B,0,
Frederikshavnkredsen,1. Frederikshavn Syd,Partiliste,Det Konservative Folkeparti,C,18,
Frederikshavnkredsen,1. Frederikshavn Syd,Gitte Seeberg,Det Konservative Folkeparti,C,151,
Frederikshavnkredsen,1. Frederikshavn Syd,Christian Rovsing,Det Konservative Folkeparti,C,31,
Frederikshavnkredsen,1. Frederikshavn Syd,Søren Møller,Det Konservative Folkeparti,C,0,
Frederikshavnkredsen,1. Frederikshavn Syd,Kent Kirk,Det Konservative Folkeparti,C,5,
Frederikshavnkredsen,1. Frederikshavn Syd,Kristian Kolind,Det Konservative Folkeparti,C,1,
Frederikshavnkredsen,1. Frederikshavn Syd,Anne-Louise Eppler,Det Konservative Folkeparti,C,0,
Frederikshavnkredsen,1. Frederikshavn Syd,Lis Randa,Det Konservative Folkeparti,C,0,
Frederikshavnkredsen,1. Frederikshavn Syd,Anders Stenild,Det Konservative Folkeparti,C,3,
Frederikshavnkredsen,1. Frederikshavn Syd,Eva Møller,Det Konservative Folkeparti,C,1,
Frederikshavnkredsen,1. Frederikshavn Syd,Regitze Schrøder,Det Konservative Folkeparti,C,0,
Frederikshavnkredsen,1. Frederikshavn Syd,Daniel Gottrup Nielsen,Det Konservative Folkeparti,C,0,
Frederikshavnkredsen,1. Frederikshavn Syd,Susanne Olufsen,Det Konservative Folkeparti,C,0,
Frederikshavnkredsen,1. Frederikshavn Syd,Jørn Hansen,Det Konservative Folkeparti,C,0,
Frederikshavnkredsen,1. Frederikshavn Syd,Ann-Kathrine Karoff,Det Konservative Folkeparti,C,0,
Frederikshavnkredsen,1. Frederikshavn Syd,Klaus Rehkopff,Det Konservative Folkeparti,C,0,
Frederikshavnkredsen,1. Frederikshavn Syd,Andreas Boisen,Det Konservative Folkeparti,C,0,
Frederikshavnkredsen,1. Frederikshavn Syd,Steen A. Stephansen,Det Konservative Folkeparti,C,0,
Frederikshavnkredsen,1. Frederikshavn Syd,Marina Willems,Det Konservative Folkeparti,C,0,
Frederikshavnkredsen,1. Frederikshavn Syd,Partiliste,Socialistisk Folkeparti,F,15,
Frederikshavnkredsen,1. Frederikshavn Syd,Margrete Auken,Socialistisk Folkeparti,F,52,
Frederikshavnkredsen,1. Frederikshavn Syd,Pernille Frahm,Socialistisk Folkeparti,F,34,
Frederikshavnkredsen,1. Frederikshavn Syd,Rachid El Mousti,Socialistisk Folkeparti,F,0,
Frederikshavnkredsen,1. Frederikshavn Syd,Sanne Schroll,Socialistisk Folkeparti,F,0,
Frederikshavnkredsen,1. Frederikshavn Syd,Jane Sørensen,Socialistisk Folkeparti,F,0,
Frederikshavnkredsen,1. Frederikshavn Syd,Bente Nielsen,Socialistisk Folkeparti,F,1,
Frederikshavnkredsen,1. Frederikshavn Syd,Masoum Moradi,Socialistisk Folkeparti,F,0,
