kreds,valgsted_navn,kandidat_navn,parti,partibogstav,stemmer,kommune
Præstøkredsen,1. Dalby,Partiliste,Socialdemokratiet,A,34,
Præstøkredsen,1. Dalby,Poul Nyrup Rasmussen,Socialdemokratiet,A,236,
Præstøkredsen,1. Dalby,Henrik Dam Kristensen,Socialdemokratiet,A,49,
Præstøkredsen,1. Dalby,Britta Thomsen,Socialdemokratiet,A,6,
Præstøkredsen,1. Dalby,Christel Schaldemose,Socialdemokratiet,A,4,
Præstøkredsen,1. Dalby,Dan Jørgensen,Socialdemokratiet,A,0,
Præstøkredsen,1. Dalby,Steen Nielsen,Socialdemokratiet,A,20,
Præstøkredsen,1. Dalby,Mads Panny,Socialdemokratiet,A,0,
Præstøkredsen,1. Dalby,Ole Christensen,Socialdemokratiet,A,0,
Præstøkredsen,1. Dalby,Bo Morthorst Rasmussen,Socialdemokratiet,A,3,
Præstøkredsen,1. Dalby,Anna Haaland Hansen,Socialdemokratiet,A,1,
Præstøkredsen,1. Dalby,Anders Kronborg,Socialdemokratiet,A,0,
Præstøkredsen,1. Dalby,"Henning Jensen, Næstved",Socialdemokratiet,A,7,
Præstøkredsen,1. Dalby,Einer Lyduch,Socialdemokratiet,A,0,
Præstøkredsen,1. Dalby,Benny Hestbek,Socialdemokratiet,A,1,
Præstøkredsen,1. Dalby,Kaj Johansen,Socialdemokratiet,A,0,
Præstøkredsen,1. Dalby,"Henning A. Jensen, Bornholm",Socialdemokratiet,A,0,
Præstøkredsen,1. Dalby,Partiliste,Det Radikale Venstre,B,15,
Præstøkredsen,1. Dalby,Anders Samuelsen,Det Radikale Venstre,B,37,
Præstøkredsen,1. Dalby,Camilla Hersom,Det Radikale Venstre,B,5,
Præstøkredsen,1. Dalby,Johannes Lebech,Det Radikale Venstre,B,0,
Præstøkredsen,1. Dalby,Simon Emil Ammitzbøll,Det Radikale Venstre,B,0,
Præstøkredsen,1. Dalby,Tomas Bech Madsen,Det Radikale Venstre,B,0,
Præstøkredsen,1. Dalby,Adam Lebech,Det Radikale Venstre,B,0,
Præstøkredsen,1. Dalby,Bjarke Larsen,Det Radikale Venstre,B,0,
Præstøkredsen,1. Dalby,Hanne Roed,Det Radikale Venstre,B,2,
Præstøkredsen,1. Dalby,Per Kleis Bønnelycke,Det Radikale Venstre,B,0,
Præstøkredsen,1. Dalby,Stefan Seidler,Det Radikale Venstre,B,0,
Præstøkredsen,1. Dalby,Keld Kollerup Kvist,Det Radikale Venstre,B,0,
Præstøkredsen,1. Dalby,Per Fibæk Laursen,Det Radikale Venstre,B,0,
Præstøkredsen,1. Dalby,Torben Lundø,Det Radikale Venstre,B,0,
Præstøkredsen,1. Dalby,Kristian Kirk Mailand,Det Radikale Venstre,B,0,
Præstøkredsen,1. Dalby,Gunner Nielsen,Det Radikale Venstre,B,0,
Præstøkredsen,1. Dalby,Peter Sørensen,Det Radikale Venstre,B,0,
Præstøkredsen,1. Dalby,Partiliste,Det Konservative Folkeparti,C,21,
Præstøkredsen,1. Dalby,Gitte Seeberg,Det Konservative Folkeparti,C,77,
