kreds,valgsted_navn,kandidat_navn,parti,partibogstav,stemmer,kommune
Haderslevkredsen,1. Aller,Partiliste,Socialdemokratiet,A,5,
Haderslevkredsen,1. Aller,Poul Nyrup Rasmussen,Socialdemokratiet,A,11,
Haderslevkredsen,1. Aller,Henrik Dam Kristensen,Socialdemokratiet,A,13,
Haderslevkredsen,1. Aller,Britta Thomsen,Socialdemokratiet,A,1,
Haderslevkredsen,1. Aller,Christel Schaldemose,Socialdemokratiet,A,0,
Haderslevkredsen,1. Aller,Dan Jørgensen,Socialdemokratiet,A,0,
Haderslevkredsen,1. Aller,Steen Nielsen,Socialdemokratiet,A,0,
Haderslevkredsen,1. Aller,Mads Panny,Socialdemokratiet,A,0,
Haderslevkredsen,1. Aller,Ole Christensen,Socialdemokratiet,A,0,
Haderslevkredsen,1. Aller,Bo Morthorst Rasmussen,Socialdemokratiet,A,21,
Haderslevkredsen,1. Aller,Anna Haaland Hansen,Socialdemokratiet,A,0,
Haderslevkredsen,1. Aller,Anders Kronborg,Socialdemokratiet,A,1,
Haderslevkredsen,1. Aller,"Henning Jensen, Næstved",Socialdemokratiet,A,0,
Haderslevkredsen,1. Aller,Einer Lyduch,Socialdemokratiet,A,0,
Haderslevkredsen,1. Aller,Benny Hestbek,Socialdemokratiet,A,0,
Haderslevkredsen,1. Aller,Kaj Johansen,Socialdemokratiet,A,0,
Haderslevkredsen,1. Aller,"Henning A. Jensen, Bornholm",Socialdemokratiet,A,0,
Haderslevkredsen,1. Aller,Partiliste,Det Radikale Venstre,B,3,
Haderslevkredsen,1. Aller,Anders Samuelsen,Det Radikale Venstre,B,5,
Haderslevkredsen,1. Aller,Camilla Hersom,Det Radikale Venstre,B,0,
Haderslevkredsen,1. Aller,Johannes Lebech,Det Radikale Venstre,B,0,
Haderslevkredsen,1. Aller,Simon Emil Ammitzbøll,Det Radikale Venstre,B,0,
Haderslevkredsen,1. Aller,Tomas Bech Madsen,Det Radikale Venstre,B,0,
Haderslevkredsen,1. Aller,Adam Lebech,Det Radikale Venstre,B,0,
Haderslevkredsen,1. Aller,Bjarke Larsen,Det Radikale Venstre,B,0,
Haderslevkredsen,1. Aller,Hanne Roed,Det Radikale Venstre,B,0,
