kreds,valgsted_navn,kandidat_navn,parti,partibogstav,stemmer,kommune
Ryvangskredsen,1. 1. Ryvang,Partiliste,Socialdemokratiet,A,137,
Ryvangskredsen,1. 1. Ryvang,Poul Nyrup Rasmussen,Socialdemokratiet,A,1042,
Ryvangskredsen,1. 1. Ryvang,Henrik Dam Kristensen,Socialdemokratiet,A,61,
Ryvangskredsen,1. 1. Ryvang,Britta Thomsen,Socialdemokratiet,A,34,
Ryvangskredsen,1. 1. Ryvang,Christel Schaldemose,Socialdemokratiet,A,24,
Ryvangskredsen,1. 1. Ryvang,Dan Jørgensen,Socialdemokratiet,A,8,
Ryvangskredsen,1. 1. Ryvang,Steen Nielsen,Socialdemokratiet,A,3,
Ryvangskredsen,1. 1. Ryvang,Mads Panny,Socialdemokratiet,A,0,
Ryvangskredsen,1. 1. Ryvang,Ole Christensen,Socialdemokratiet,A,1,
Ryvangskredsen,1. 1. Ryvang,Bo Morthorst Rasmussen,Socialdemokratiet,A,3,
Ryvangskredsen,1. 1. Ryvang,Anna Haaland Hansen,Socialdemokratiet,A,38,
Ryvangskredsen,1. 1. Ryvang,Anders Kronborg,Socialdemokratiet,A,3,
Ryvangskredsen,1. 1. Ryvang,"Henning Jensen, Næstved",Socialdemokratiet,A,1,
Ryvangskredsen,1. 1. Ryvang,Einer Lyduch,Socialdemokratiet,A,1,
Ryvangskredsen,1. 1. Ryvang,Benny Hestbek,Socialdemokratiet,A,0,
Ryvangskredsen,1. 1. Ryvang,Kaj Johansen,Socialdemokratiet,A,0,
Ryvangskredsen,1. 1. Ryvang,"Henning A. Jensen, Bornholm",Socialdemokratiet,A,0,
Ryvangskredsen,1. 1. Ryvang,Partiliste,Det Radikale Venstre,B,179,
Ryvangskredsen,1. 1. Ryvang,Anders Samuelsen,Det Radikale Venstre,B,256,
Ryvangskredsen,1. 1. Ryvang,Camilla Hersom,Det Radikale Venstre,B,138,
Ryvangskredsen,1. 1. Ryvang,Johannes Lebech,Det Radikale Venstre,B,4,
Ryvangskredsen,1. 1. Ryvang,Simon Emil Ammitzbøll,Det Radikale Venstre,B,6,
Ryvangskredsen,1. 1. Ryvang,Tomas Bech Madsen,Det Radikale Venstre,B,3,
Ryvangskredsen,1. 1. Ryvang,Adam Lebech,Det Radikale Venstre,B,6,
Ryvangskredsen,1. 1. Ryvang,Bjarke Larsen,Det Radikale Venstre,B,3,
Ryvangskredsen,1. 1. Ryvang,Hanne Roed,Det Radikale Venstre,B,8,
