kreds,valgsted_navn,kandidat_navn,parti,partibogstav,stemmer,kommune
Roskildekredsen,1. Midtbyen Roskilde Bibliotek,Partiliste,Socialdemokratiet,A,72,
Roskildekredsen,1. Midtbyen Roskilde Bibliotek,Poul Nyrup Rasmussen,Socialdemokratiet,A,584,
Roskildekredsen,1. Midtbyen Roskilde Bibliotek,Henrik Dam Kristensen,Socialdemokratiet,A,64,
Roskildekredsen,1. Midtbyen Roskilde Bibliotek,Britta Thomsen,Socialdemokratiet,A,16,
Roskildekredsen,1. Midtbyen Roskilde Bibliotek,Christel Schaldemose,Socialdemokratiet,A,5,
Roskildekredsen,1. Midtbyen Roskilde Bibliotek,Dan Jørgensen,Socialdemokratiet,A,3,
Roskildekredsen,1. Midtbyen Roskilde Bibliotek,Steen Nielsen,Socialdemokratiet,A,2,
Roskildekredsen,1. Midtbyen Roskilde Bibliotek,Mads Panny,Socialdemokratiet,A,1,
Roskildekredsen,1. Midtbyen Roskilde Bibliotek,Ole Christensen,Socialdemokratiet,A,0,
Roskildekredsen,1. Midtbyen Roskilde Bibliotek,Bo Morthorst Rasmussen,Socialdemokratiet,A,1,
Roskildekredsen,1. Midtbyen Roskilde Bibliotek,Anna Haaland Hansen,Socialdemokratiet,A,14,
Roskildekredsen,1. Midtbyen Roskilde Bibliotek,Anders Kronborg,Socialdemokratiet,A,0,
Roskildekredsen,1. Midtbyen Roskilde Bibliotek,"Henning Jensen, Næstved",Socialdemokratiet,A,10,
Roskildekredsen,1. Midtbyen Roskilde Bibliotek,Einer Lyduch,Socialdemokratiet,A,1,
Roskildekredsen,1. Midtbyen Roskilde Bibliotek,Benny Hestbek,Socialdemokratiet,A,0,
Roskildekredsen,1. Midtbyen Roskilde Bibliotek,Kaj Johansen,Socialdemokratiet,A,0,
Roskildekredsen,1. Midtbyen Roskilde Bibliotek,"Henning A. Jensen, Bornholm",Socialdemokratiet,A,0,
Roskildekredsen,1. Midtbyen Roskilde Bibliotek,Partiliste,Det Radikale Venstre,B,72,
Roskildekredsen,1. Midtbyen Roskilde Bibliotek,Anders Samuelsen,Det Radikale Venstre,B,103,
Roskildekredsen,1. Midtbyen Roskilde Bibliotek,Camilla Hersom,Det Radikale Venstre,B,32,
Roskildekredsen,1. Midtbyen Roskilde Bibliotek,Johannes Lebech,Det Radikale Venstre,B,1,
Roskildekredsen,1. Midtbyen Roskilde Bibliotek,Simon Emil Ammitzbøll,Det Radikale Venstre,B,1,
Roskildekredsen,1. Midtbyen Roskilde Bibliotek,Tomas Bech Madsen,Det Radikale Venstre,B,1,
Roskildekredsen,1. Midtbyen Roskilde Bibliotek,Adam Lebech,Det Radikale Venstre,B,1,
Roskildekredsen,1. Midtbyen Roskilde Bibliotek,Bjarke Larsen,Det Radikale Venstre,B,1,
Roskildekredsen,1. Midtbyen Roskilde Bibliotek,Hanne Roed,Det Radikale Venstre,B,0,
Roskildekredsen,1. Midtbyen Roskilde Bibliotek,Per Kleis Bønnelycke,Det Radikale Venstre,B,2,
Roskildekredsen,1. Midtbyen Roskilde Bibliotek,Stefan Seidler,Det Radikale Venstre,B,0,
Roskildekredsen,1. Midtbyen Roskilde Bibliotek,Keld Kollerup Kvist,Det Radikale Venstre,B,0,
Roskildekredsen,1. Midtbyen Roskilde Bibliotek,Per Fibæk Laursen,Det Radikale Venstre,B,5,
Roskildekredsen,1. Midtbyen Roskilde Bibliotek,Torben Lundø,Det Radikale Venstre,B,1,
Roskildekredsen,1. Midtbyen Roskilde Bibliotek,Kristian Kirk Mailand,Det Radikale Venstre,B,0,
Roskildekredsen,1. Midtbyen Roskilde Bibliotek,Gunner Nielsen,Det Radikale Venstre,B,0,
Roskildekredsen,1. Midtbyen Roskilde Bibliotek,Peter Sørensen,Det Radikale Venstre,B,1,
Roskildekredsen,1. Midtbyen Roskilde Bibliotek,Partiliste,Det Konservative Folkeparti,C,29,
Roskildekredsen,1. Midtbyen Roskilde Bibliotek,Gitte Seeberg,Det Konservative Folkeparti,C,213,
Roskildekredsen,1. Midtbyen Roskilde Bibliotek,Christian Rovsing,Det Konservative Folkeparti,C,79,
Roskildekredsen,1. Midtbyen Roskilde Bibliotek,Søren Møller,Det Konservative Folkeparti,C,0,
Roskildekredsen,1. Midtbyen Roskilde Bibliotek,Kent Kirk,Det Konservative Folkeparti,C,4,
Roskildekredsen,1. Midtbyen Roskilde Bibliotek,Kristian Kolind,Det Konservative Folkeparti,C,3,
Roskildekredsen,1. Midtbyen Roskilde Bibliotek,Anne-Louise Eppler,Det Konservative Folkeparti,C,0,
Roskildekredsen,1. Midtbyen Roskilde Bibliotek,Lis Randa,Det Konservative Folkeparti,C,0,
Roskildekredsen,1. Midtbyen Roskilde Bibliotek,Anders Stenild,Det Konservative Folkeparti,C,0,
Roskildekredsen,1. Midtbyen Roskilde Bibliotek,Eva Møller,Det Konservative Folkeparti,C,2,
Roskildekredsen,1. Midtbyen Roskilde Bibliotek,Regitze Schrøder,Det Konservative Folkeparti,C,1,
Roskildekredsen,1. Midtbyen Roskilde Bibliotek,Daniel Gottrup Nielsen,Det Konservative Folkeparti,C,0,
Roskildekredsen,1. Midtbyen Roskilde Bibliotek,Susanne Olufsen,Det Konservative Folkeparti,C,0,
Roskildekredsen,1. Midtbyen Roskilde Bibliotek,Jørn Hansen,Det Konservative Folkeparti,C,2,
Roskildekredsen,1. Midtbyen Roskilde Bibliotek,Ann-Kathrine Karoff,Det Konservative Folkeparti,C,1,
Roskildekredsen,1. Midtbyen Roskilde Bibliotek,Klaus Rehkopff,Det Konservative Folkeparti,C,0,
Roskildekredsen,1. Midtbyen Roskilde Bibliotek,Andreas Boisen,Det Konservative Folkeparti,C,0,
Roskildekredsen,1. Midtbyen Roskilde Bibliotek,Steen A. Stephansen,Det Konservative Folkeparti,C,0,
Roskildekredsen,1. Midtbyen Roskilde Bibliotek,Marina Willems,Det Konservative Folkeparti,C,0,
Roskildekredsen,1. Midtbyen Roskilde Bibliotek,Partiliste,Socialistisk Folkeparti,F,74,
Roskildekredsen,1. Midtbyen Roskilde Bibliotek,Margrete Auken,Socialistisk Folkeparti,F,142,
Roskildekredsen,1. Midtbyen Roskilde Bibliotek,Pernille Frahm,Socialistisk Folkeparti,F,84,
Roskildekredsen,1. Midtbyen Roskilde Bibliotek,Rachid El Mousti,Socialistisk Folkeparti,F,4,
Roskildekredsen,1. Midtbyen Roskilde Bibliotek,Sanne Schroll,Socialistisk Folkeparti,F,7,
