Opstillingskreds;Afstemningsområde;Svarmulighed;Stemmetal;Stemmeprocent
Struerkredsen;1. Lemvig;Ja;1843;49,3
Struerkredsen;1. Lemvig;Nej;1897;50,7
Struerkredsen;1. Struer;Ja;1974;40,1
Struerkredsen;1. Struer;Nej;2954;59,9
Struerkredsen;2. Gimsing;Ja;593;41,8
Struerkredsen;2. Gimsing;Nej;826;58,2
Struerkredsen;2. Nørre Nissum;Ja;743;51,4
Struerkredsen;2. Nørre Nissum;Nej;702;48,6
Struerkredsen;3. Hjerm;Ja;532;48,9
Struerkredsen;3. Hjerm;Nej;555;51,1
Struerkredsen;3. Klinkby;Ja;600;51,4
Struerkredsen;3. Klinkby;Nej;568;48,6
Struerkredsen;4. Humlum;Ja;493;42,5
Struerkredsen;4. Humlum;Nej;668;57,5
Struerkredsen;4. Ramme;Ja;533;46,6
Struerkredsen;4. Ramme;Nej;610;53,4
Struerkredsen;5. Bremdal;Ja;652;51,6
Struerkredsen;5. Bremdal;Nej;612;48,4
Struerkredsen;5. Bøvling;Ja;340;45,5
Struerkredsen;5. Bøvling;Nej;407;54,5
Struerkredsen;6. Flynder;Ja;357;45,2
Struerkredsen;6. Flynder;Nej;433;54,8
Struerkredsen;6. Langhøj;Ja;622;44,7
Struerkredsen;6. Langhøj;Nej;770;55,3
Struerkredsen;7. Hvidbjerg;Ja;861;43,6
Struerkredsen;7. Hvidbjerg;Nej;1115;56,4
Struerkredsen;7. Thyborøn;Ja;369;36,6
Struerkredsen;7. Thyborøn;Nej;639;63,4
Struerkredsen;8. Harboøre;Ja;472;44,9
Struerkredsen;8. Harboøre;Nej;580;55,1
Skivekredsen;1. Aakjær;Ja;1572;41,7
Skivekredsen;1. Aakjær;Nej;2196;58,3
Skivekredsen;2. Skivehus;Ja;1902;53,4
Skivekredsen;2. Skivehus;Nej;1659;46,6
Skivekredsen;3. Brårup;Ja;1546;42,7
Skivekredsen;3. Brårup;Nej;2071;57,3
Skivekredsen;4. Højslev;Ja;1057;48,8
Skivekredsen;4. Højslev;Nej;1109;51,2
Skivekredsen;5. Ørslevkloster;Ja;367;49,1
Skivekredsen;5. Ørslevkloster;Nej;380;50,9
Skivekredsen;6. Rønbjerg;Ja;177;38,8
Skivekredsen;6. Rønbjerg;Nej;279;61,2
Skivekredsen;7. Hem;Ja;249;46,3
Skivekredsen;7. Hem;Nej;289;53,7
Skivekredsen;8. Lihme;Ja;192;45,6
Skivekredsen;8. Lihme;Nej;229;54,4
Skivekredsen;9. Oddense - Otting;Ja;252;52,8
Skivekredsen;9. Oddense - Otting;Nej;225;47,2
Skivekredsen;10. Rødding;Ja;361;46,5
Skivekredsen;10. Rødding;Nej;416;53,5
Skivekredsen;11. Glyngøre;Ja;519;45,7
Skivekredsen;11. Glyngøre;Nej;616;54,3
Skivekredsen;12. Durup;Ja;334;44,8
Skivekredsen;12. Durup;Nej;411;55,2
Skivekredsen;13. Roslev;Ja;567;45,4
Skivekredsen;13. Roslev;Nej;682;54,6
Skivekredsen;14. Jebjerg-Lyby;Ja;404;44,9
Skivekredsen;14. Jebjerg-Lyby;Nej;495;55,1
Skivekredsen;15. Balling;Ja;425;46,7
Skivekredsen;15. Balling;Nej;486;53,3
Skivekredsen;16. Breum;Ja;518;48,8
Skivekredsen;16. Breum;Nej;544;51,2
Skivekredsen;17. Håsum-Ramsing;Ja;168;36,5
Skivekredsen;17. Håsum-Ramsing;Nej;292;63,5
Skivekredsen;18. Selde;Ja;291;37,7
Skivekredsen;18. Selde;Nej;481;62,3
Skivekredsen;19. Lem-Vejby;Ja;209;39,6
Skivekredsen;19. Lem-Vejby;Nej;319;60,4
Skivekredsen;20. Fur;Ja;201;40,9
Skivekredsen;20. Fur;Nej;291;59,1
Viborg Vestkredsen;1. Frederiks;Ja;710;42,2
Viborg Vestkredsen;1. Frederiks;Nej;972;57,8
Viborg Vestkredsen;2. Hald Ege;Ja;1085;57,4
Viborg Vestkredsen;2. Hald Ege;Nej;806;42,6
Viborg Vestkredsen;3. Karup;Ja;774;42,3
Viborg Vestkredsen;3. Karup;Nej;1055;57,7
Viborg Vestkredsen;4. Løgstrup;Ja;1045;52,9
Viborg Vestkredsen;4. Løgstrup;Nej;931;47,1
Viborg Vestkredsen;5. Mønsted;Ja;566;44,6
Viborg Vestkredsen;5. Mønsted;Nej;704;55,4
Viborg Vestkredsen;6. Stoholm;Ja;756;43,0
Viborg Vestkredsen;6. Stoholm;Nej;1003;57,0
Viborg Vestkredsen;7. Vridsted;Ja;529;42,6
Viborg Vestkredsen;7. Vridsted;Nej;712;57,4
Viborg Vestkredsen;8. Viborg;Ja;7169;51,6
Viborg Vestkredsen;8. Viborg;Nej;6730;48,4
Viborg Østkredsen;9. Bjerringbro Nord;Ja;1879;49,8
Viborg Østkredsen;9. Bjerringbro Nord;Nej;1893;50,2
Viborg Østkredsen;10. Bjerringbro Syd;Ja;645;42,3
Viborg Østkredsen;10. Bjerringbro Syd;Nej;880;57,7
Viborg Østkredsen;11. Hammershøj;Ja;577;45,6
Viborg Østkredsen;11. Hammershøj;Nej;688;54,4
Viborg Østkredsen;12. Møldrup;Ja;1066;44,2
Viborg Østkredsen;12. Møldrup;Nej;1344;55,8
Viborg Østkredsen;13. Overlund;Ja;3931;58,5
Viborg Østkredsen;13. Overlund;Nej;2788;41,5
Viborg Østkredsen;14. Rødding;Ja;958;51,8
Viborg Østkredsen;14. Rødding;Nej;891;48,2
Viborg Østkredsen;15. Rødkærsbro;Ja;807;45,0
Viborg Østkredsen;15. Rødkærsbro;Nej;985;55,0
Viborg Østkredsen;16. Skals;Ja;1050;53,1
Viborg Østkredsen;16. Skals;Nej;927;46,9
Viborg Østkredsen;17. Ørum;Ja;794;47,0
Viborg Østkredsen;17. Ørum;Nej;894;53,0
Silkeborg Nordkredsen;1. Ans;Ja;829;44,9
Silkeborg Nordkredsen;1. Ans;Nej;1016;55,1
Silkeborg Nordkredsen;2. Funder;Ja;563;42,2
Silkeborg Nordkredsen;2. Funder;Nej;771;57,8
Silkeborg Nordkredsen;3. Fårvang;Ja;386;36,7
Silkeborg Nordkredsen;3. Fårvang;Nej;665;63,3
Silkeborg Nordkredsen;4. Gjern;Ja;555;49,5
Silkeborg Nordkredsen;4. Gjern;Nej;566;50,5
Silkeborg Nordkredsen;5. Grauballe;Ja;300;42,9
Silkeborg Nordkredsen;5. Grauballe;Nej;399;57,1
Silkeborg Nordkredsen;6. Gødvad;Ja;1572;48,1
Silkeborg Nordkredsen;6. Gødvad;Nej;1696;51,9
