Opstillingskreds;Afstemningsområde;Svarmulighed;Stemmetal;Stemmeprocent
Østerbrokredsen;1. 1. Østerbro;Ja;5657;58,9
Østerbrokredsen;1. 1. Østerbro;Nej;3955;41,1
Østerbrokredsen;2. 1. Nord;Ja;2328;58,9
Østerbrokredsen;2. 1. Nord;Nej;1623;41,1
Østerbrokredsen;3. 1. Syd;Ja;6050;60,2
Østerbrokredsen;3. 1. Syd;Nej;4008;39,8
Østerbrokredsen;5. 1. Vest;Ja;3631;50,3
Østerbrokredsen;5. 1. Vest;Nej;3589;49,7
Østerbrokredsen;6. 1. Nordvest;Ja;3437;52,4
Østerbrokredsen;6. 1. Nordvest;Nej;3119;47,6
Sundbyvesterkredsen;7. 2. Sundbyvester;Ja;3317;41,3
Sundbyvesterkredsen;7. 2. Sundbyvester;Nej;4710;58,7
Sundbyvesterkredsen;8. 2. Nord;Ja;3583;45,3
Sundbyvesterkredsen;8. 2. Nord;Nej;4333;54,7
Sundbyvesterkredsen;9. 2. Syd;Ja;3232;53,1
Sundbyvesterkredsen;9. 2. Syd;Nej;2851;46,9
Sundbyvesterkredsen;10. 2. Vest;Ja;4189;58,0
Sundbyvesterkredsen;10. 2. Vest;Nej;3033;42,0
Indre Bykredsen;11. 3. Indre By;Ja;4710;57,0
Indre Bykredsen;11. 3. Indre By;Nej;3549;43,0
Indre Bykredsen;12. 3. Nord;Ja;3090;63,7
Indre Bykredsen;12. 3. Nord;Nej;1760;36,3
Indre Bykredsen;13. 3. Syd;Ja;3323;52,2
Indre Bykredsen;13. 3. Syd;Nej;3047;47,8
Indre Bykredsen;14. 3. Øst;Ja;4841;61,5
Indre Bykredsen;14. 3. Øst;Nej;3025;38,5
Sundbyøsterkredsen;16. 4. Sundbyøster;Ja;2208;42,2
Sundbyøsterkredsen;16. 4. Sundbyøster;Nej;3028;57,8
Sundbyøsterkredsen;17. 4. Nord;Ja;3774;42,6
Sundbyøsterkredsen;17. 4. Nord;Nej;5082;57,4
Sundbyøsterkredsen;18. 4. Syd;Ja;2240;42,2
Sundbyøsterkredsen;18. 4. Syd;Nej;3072;57,8
Sundbyøsterkredsen;19. 4. Øst;Ja;3041;52,0
Sundbyøsterkredsen;19. 4. Øst;Nej;2804;48,0
Nørrebrokredsen;20. 5. Nørrebro;Ja;3342;48,9
Nørrebrokredsen;20. 5. Nørrebro;Nej;3486;51,1
Nørrebrokredsen;21. 5. Nord;Ja;4263;49,8
Nørrebrokredsen;21. 5. Nord;Nej;4304;50,2
Nørrebrokredsen;22. 5. Syd;Ja;1898;49,1
Nørrebrokredsen;22. 5. Syd;Nej;1970;50,9
Nørrebrokredsen;23. 5. Øst;Ja;2126;55,3
Nørrebrokredsen;23. 5. Øst;Nej;1716;44,7
Nørrebrokredsen;24. 5. Vest;Ja;2278;47,0
Nørrebrokredsen;24. 5. Vest;Nej;2570;53,0
Nørrebrokredsen;25. 5. Nordvest;Ja;3337;48,7
Nørrebrokredsen;25. 5. Nordvest;Nej;3514;51,3
Nørrebrokredsen;26. 5. Midt;Ja;1111;53,5
