Opstillingskreds;Afstemningsområde;Svarmulighed;Stemmetal;Stemmeprocent
Frederikshavnkredsen;1. Skagen;Ja;1591;37,0
Frederikshavnkredsen;1. Skagen;Nej;2712;63,0
Frederikshavnkredsen;2. Hulsig;Ja;35;35,0
Frederikshavnkredsen;2. Hulsig;Nej;65;65,0
Frederikshavnkredsen;3. Ålbæk;Ja;376;34,6
Frederikshavnkredsen;3. Ålbæk;Nej;711;65,4
Frederikshavnkredsen;4. Jerup;Ja;162;29,6
Frederikshavnkredsen;4. Jerup;Nej;386;70,4
Frederikshavnkredsen;5. Elling;Ja;337;34,6
Frederikshavnkredsen;5. Elling;Nej;637;65,4
Frederikshavnkredsen;6. Strandby;Ja;515;36,8
Frederikshavnkredsen;6. Strandby;Nej;884;63,2
Frederikshavnkredsen;7. Frederikshavn Nord;Ja;1080;33,7
Frederikshavnkredsen;7. Frederikshavn Nord;Nej;2123;66,3
Frederikshavnkredsen;8. Frederikshavn Midt;Ja;1640;33,1
Frederikshavnkredsen;8. Frederikshavn Midt;Nej;3321;66,9
Frederikshavnkredsen;9. Frederikshavn Syd;Ja;1468;38,4
Frederikshavnkredsen;9. Frederikshavn Syd;Nej;2357;61,6
Frederikshavnkredsen;10. Ravnshøj;Ja;443;42,3
Frederikshavnkredsen;10. Ravnshøj;Nej;604;57,7
Frederikshavnkredsen;11. Gærum;Ja;527;47,6
Frederikshavnkredsen;11. Gærum;Nej;580;52,4
Frederikshavnkredsen;12. Sæby;Ja;2238;44,3
Frederikshavnkredsen;12. Sæby;Nej;2811;55,7
Frederikshavnkredsen;13. Brønden;Ja;94;34,6
Frederikshavnkredsen;13. Brønden;Nej;178;65,4
Frederikshavnkredsen;14. Dybvad;Ja;226;39,4
Frederikshavnkredsen;14. Dybvad;Nej;348;60,6
Frederikshavnkredsen;15. Hørby;Ja;171;36,4
Frederikshavnkredsen;15. Hørby;Nej;299;63,6
Frederikshavnkredsen;15. Læsø;Ja;370;36,3
Frederikshavnkredsen;15. Læsø;Nej;648;63,7
Frederikshavnkredsen;16. Præstbro;Ja;97;37,7
Frederikshavnkredsen;16. Præstbro;Nej;160;62,3
Frederikshavnkredsen;17. Thorshøj;Ja;128;31,2
Frederikshavnkredsen;17. Thorshøj;Nej;282;68,8
Frederikshavnkredsen;18. Understed;Ja;116;34,7
Frederikshavnkredsen;18. Understed;Nej;218;65,3
Frederikshavnkredsen;19. Voerså;Ja;124;28,6
Frederikshavnkredsen;19. Voerså;Nej;310;71,4
Frederikshavnkredsen;20. Volstrup;Ja;129;35,8
Frederikshavnkredsen;20. Volstrup;Nej;231;64,2
Frederikshavnkredsen;21. Østervrå;Ja;411;42,3
Frederikshavnkredsen;21. Østervrå;Nej;561;57,7
Frederikshavnkredsen;22. Lyngså;Ja;106;29,9
Frederikshavnkredsen;22. Lyngså;Nej;248;70,1
Hjørringkredsen;1. Horne;Ja;376;36,7
Hjørringkredsen;1. Horne;Nej;649;63,3
Hjørringkredsen;3. Hirtshals;Ja;910;32,1
Hjørringkredsen;3. Hirtshals;Nej;1928;67,9
Hjørringkredsen;4. Hjørring - Centrum;Ja;2346;42,8
Hjørringkredsen;4. Hjørring - Centrum;Nej;3137;57,2
Hjørringkredsen;6. Tornby;Ja;451;44,6
Hjørringkredsen;6. Tornby;Nej;561;55,4
Hjørringkredsen;7. Bindslev;Ja;382;41,9
Hjørringkredsen;7. Bindslev;Nej;529;58,1
Hjørringkredsen;8. Tversted;Ja;389;42,3
Hjørringkredsen;8. Tversted;Nej;530;57,7
Hjørringkredsen;11. Taars;Ja;738;42,5
Hjørringkredsen;11. Taars;Nej;997;57,5
Hjørringkredsen;12. Vrejlev-Hæstrup;Ja;356;38,8
Hjørringkredsen;12. Vrejlev-Hæstrup;Nej;561;61,2
Hjørringkredsen;13. Bjergby-Mygdal;Ja;466;47,6
Hjørringkredsen;13. Bjergby-Mygdal;Nej;513;52,4
Hjørringkredsen;14. Skallerup;Ja;450;45,2
Hjørringkredsen;14. Skallerup;Nej;546;54,8
Hjørringkredsen;15. Hjørring - Nord;Ja;1458;51,8
Hjørringkredsen;15. Hjørring - Nord;Nej;1359;48,2
Hjørringkredsen;16. Hjørring - Syd;Ja;1369;43,5
Hjørringkredsen;16. Hjørring - Syd;Nej;1777;56,5
Hjørringkredsen;18. Hjørring - Vest;Ja;884;46,8
Hjørringkredsen;18. Hjørring - Vest;Nej;1006;53,2
Hjørringkredsen;19. Vrå;Ja;913;43,0
Hjørringkredsen;19. Vrå;Nej;1208;57,0
Hjørringkredsen;20. Hundelev;Ja;254;40,3
Hjørringkredsen;20. Hundelev;Nej;376;59,7
Hjørringkredsen;21. Løkken;Ja;674;42,1
Hjørringkredsen;21. Løkken;Nej;927;57,9
Hjørringkredsen;22. Sindal;Ja;818;44,1
Hjørringkredsen;22. Sindal;Nej;1035;55,9
Hjørringkredsen;23. Astrup;Ja;276;42,6
Hjørringkredsen;23. Astrup;Nej;372;57,4
Hjørringkredsen;26. Tolne;Ja;238;34,6
Hjørringkredsen;26. Tolne;Nej;450;65,4
Hjørringkredsen;27. Ugilt;Ja;219;37,8
Hjørringkredsen;27. Ugilt;Nej;360;62,2
Hjørringkredsen;28. Lendum;Ja;302;37,5
Hjørringkredsen;28. Lendum;Nej;504;62,5
Brønderslevkredsen;1. Agersted;Ja;178;36,8
Brønderslevkredsen;1. Agersted;Nej;306;63,2
Brønderslevkredsen;1. Aabybro;Ja;1585;49,1
Brønderslevkredsen;1. Aabybro;Nej;1643;50,9
Brønderslevkredsen;2. Asaa;Ja;337;33,3
Brønderslevkredsen;2. Asaa;Nej;676;66,7
Brønderslevkredsen;2. Biersted;Ja;405;37,5
Brønderslevkredsen;2. Biersted;Nej;675;62,5
Brønderslevkredsen;3. Dronninglund;Ja;1160;43,7
Brønderslevkredsen;3. Dronninglund;Nej;1494;56,3
Brønderslevkredsen;3. Nørhalne;Ja;381;42,0
Brønderslevkredsen;3. Nørhalne;Nej;527;58,0
Brønderslevkredsen;4. Flauenskjold;Ja;244;35,0
Brønderslevkredsen;4. Flauenskjold;Nej;453;65,0
Brønderslevkredsen;4. Vedsted;Ja;313;41,3
Brønderslevkredsen;4. Vedsted;Nej;444;58,7
Brønderslevkredsen;5. Gjøl;Ja;353;51,3
Brønderslevkredsen;5. Gjøl;Nej;335;48,7
Brønderslevkredsen;5. Hjallerup;Ja;1041;44,1
Brønderslevkredsen;5. Hjallerup;Nej;1319;55,9
Brønderslevkredsen;6. Ingstrup;Ja;132;35,9
Brønderslevkredsen;6. Ingstrup;Nej;236;64,1
Brønderslevkredsen;6. Klokkerholm;Ja;446;41,0
Brønderslevkredsen;6. Klokkerholm;Nej;643;59,0
Brønderslevkredsen;7. V. Hjermitslev;Ja;123;35,8
Brønderslevkredsen;7. V. Hjermitslev;Nej;221;64,2
Brønderslevkredsen;8. Brovst;Ja;648;41,6
Brønderslevkredsen;8. Brovst;Nej;911;58,4
Brønderslevkredsen;9. Halvrimmen;Ja;303;37,0
Brønderslevkredsen;9. Halvrimmen;Nej;515;63,0
Brønderslevkredsen;10. Arentsminde;Ja;116;31,5
Brønderslevkredsen;10. Arentsminde;Nej;252;68,5
Brønderslevkredsen;10. Brønderslev;Ja;2853;44,6
Brønderslevkredsen;10. Brønderslev;Nej;3548;55,4
Brønderslevkredsen;11. Tranum;Ja;246;40,1
Brønderslevkredsen;11. Tranum;Nej;367;59,9
Brønderslevkredsen;12. Skovsgård;Ja;362;39,9
