Opstillingskreds;Afstemningsområde;Svarmulighed;Stemmetal;Stemmeprocent
Aarhus Sydkredsen;1. Frederiksbjerg Hallerne;Ja;5707;58,9
Aarhus Sydkredsen;1. Frederiksbjerg Hallerne;Nej;3988;41,1
Aarhus Sydkredsen;2. Lokalcenter Fr.Bjerg/Langenæs;Ja;2149;50,2
Aarhus Sydkredsen;2. Lokalcenter Fr.Bjerg/Langenæs;Nej;2133;49,8
Aarhus Sydkredsen;3. Rundhøjhallen,Holme;Ja;2431;51,6
Aarhus Sydkredsen;3. Rundhøjhallen,Holme;Nej;2280;48,4
Aarhus Sydkredsen;4. Kragelundskolen,Højbjerg;Ja;1783;58,2
Aarhus Sydkredsen;4. Kragelundskolen,Højbjerg;Nej;1280;41,8
Aarhus Sydkredsen;6. Tranbjerg Skole;Ja;2431;47,6
Aarhus Sydkredsen;6. Tranbjerg Skole;Nej;2674;52,4
Aarhus Sydkredsen;9. Beder Skole;Ja;1595;58,9
Aarhus Sydkredsen;9. Beder Skole;Nej;1113;41,1
Aarhus Sydkredsen;11. Malling Skole;Ja;1463;49,5
Aarhus Sydkredsen;11. Malling Skole;Nej;1492;50,5
Aarhus Sydkredsen;12. Mårslet Skole;Ja;1830;60,4
Aarhus Sydkredsen;12. Mårslet Skole;Nej;1200;39,6
Aarhus Sydkredsen;13. Solbjergskolen;Ja;1398;48,7
Aarhus Sydkredsen;13. Solbjergskolen;Nej;1474;51,3
Aarhus Sydkredsen;66. Skåde Skole;Ja;2138;61,2
Aarhus Sydkredsen;66. Skåde Skole;Nej;1355;38,8
Aarhus Vestkredsen;7. Rosenvangskolen,Viby J;Ja;2219;55,5
Aarhus Vestkredsen;7. Rosenvangskolen,Viby J;Nej;1781;44,5
Aarhus Vestkredsen;8. Viby Hallen;Ja;2617;45,9
Aarhus Vestkredsen;8. Viby Hallen;Nej;3086;54,1
Aarhus Vestkredsen;16. Ormslev Præstegård;Ja;186;51,2
Aarhus Vestkredsen;16. Ormslev Præstegård;Nej;177;48,8
Aarhus Vestkredsen;18. Hasselager Hallen;Ja;1631;44,9
Aarhus Vestkredsen;18. Hasselager Hallen;Nej;1998;55,1
Aarhus Vestkredsen;19. Højvangskolen,Stavtrup;Ja;1558;55,8
Aarhus Vestkredsen;19. Højvangskolen,Stavtrup;Nej;1233;44,2
Aarhus Vestkredsen;24. Brabrand Hallen,Brabrand;Ja;2517;58,5
Aarhus Vestkredsen;24. Brabrand Hallen,Brabrand;Nej;1789;41,5
Aarhus Vestkredsen;25. Globus 1, Brabrand;Ja;877;43,0
Aarhus Vestkredsen;25. Globus 1, Brabrand;Nej;1162;57,0
Aarhus Vestkredsen;26. Skjoldhøjskolen;Ja;1362;44,1
Aarhus Vestkredsen;26. Skjoldhøjskolen;Nej;1727;55,9
Aarhus Vestkredsen;28. Tilst Skole,Tilst;Ja;1589;43,4
Aarhus Vestkredsen;28. Tilst Skole,Tilst;Nej;2075;56,6
Aarhus Vestkredsen;30. Næshøj Hallen, Harlev;Ja;1274;50,3
Aarhus Vestkredsen;30. Næshøj Hallen, Harlev;Nej;1259;49,7
Aarhus Vestkredsen;31. Borum Forsamlingshus;Ja;173;42,2
Aarhus Vestkredsen;31. Borum Forsamlingshus;Nej;237;57,8
Aarhus Vestkredsen;33. Sabro-Korsvejskolen,Sabro;Ja;809;44,5
Aarhus Vestkredsen;33. Sabro-Korsvejskolen,Sabro;Nej;1009;55,5
Aarhus Vestkredsen;62. Søndervangskolen,Viby J;Ja;564;40,3
Aarhus Vestkredsen;62. Søndervangskolen,Viby J;Nej;837;59,7
Aarhus Vestkredsen;64. Åby Skole;Ja;1701;48,9
Aarhus Vestkredsen;64. Åby Skole;Nej;1778;51,1
Aarhus Nordkredsen;22. Gammelgårdskolen,Åbyhøj;Ja;1366;58,0
Aarhus Nordkredsen;22. Gammelgårdskolen,Åbyhøj;Nej;991;42,0
Aarhus Nordkredsen;23. Hasle Skole;Ja;2111;52,4
Aarhus Nordkredsen;23. Hasle Skole;Nej;1919;47,6
Aarhus Nordkredsen;42. Skovvangskolen;Ja;3795;54,7
Aarhus Nordkredsen;42. Skovvangskolen;Nej;3147;45,3
Aarhus Nordkredsen;43. Møllevangskolen;Ja;3952;53,2
Aarhus Nordkredsen;43. Møllevangskolen;Nej;3476;46,8
Aarhus Nordkredsen;44. Lisbjergskolen;Ja;374;46,2
Aarhus Nordkredsen;44. Lisbjergskolen;Nej;435;53,8
Aarhus Nordkredsen;47. Lystrup Skole;Ja;3216;52,6
Aarhus Nordkredsen;47. Lystrup Skole;Nej;2902;47,4
Aarhus Nordkredsen;53. Bjørnshøjcentret,Trige;Ja;542;36,4
Aarhus Nordkredsen;53. Bjørnshøjcentret,Trige;Nej;948;63,6
Aarhus Nordkredsen;55. Spørring Fælleshus;Ja;232;41,8
Aarhus Nordkredsen;55. Spørring Fælleshus;Nej;323;58,2
Aarhus Nordkredsen;56. Hårup Hallen;Ja;502;46,4
Aarhus Nordkredsen;56. Hårup Hallen;Nej;581;53,6
Aarhus Nordkredsen;63. Center -10 (Frydenlundskolen);Ja;2544;46,0
Aarhus Nordkredsen;63. Center -10 (Frydenlundskolen);Nej;2991;54,0
Aarhus Nordkredsen;67. Katrinebjergskolen;Ja;1789;52,7
Aarhus Nordkredsen;67. Katrinebjergskolen;Nej;1606;47,3
Aarhus Nordkredsen;68. Vorrevangskolen;Ja;857;40,0
Aarhus Nordkredsen;68. Vorrevangskolen;Nej;1286;60,0
Aarhus Østkredsen;21. Rådhushallen;Ja;5179;56,7
Aarhus Østkredsen;21. Rådhushallen;Nej;3954;43,3
Aarhus Østkredsen;41. Samsøgades Skole;Ja;5596;56,4
Aarhus Østkredsen;41. Samsøgades Skole;Nej;4323;43,6
Aarhus Østkredsen;45. Bellevue-Hallen;Ja;4024;66,7
Aarhus Østkredsen;45. Bellevue-Hallen;Nej;2011;33,3
Aarhus Østkredsen;48. Virupskolen,Hjortshøj;Ja;1162;55,1
Aarhus Østkredsen;48. Virupskolen,Hjortshøj;Nej;948;44,9
Aarhus Østkredsen;49. Sølystskolen,Egå;Ja;1596;57,3
Aarhus Østkredsen;49. Sølystskolen,Egå;Nej;1189;42,7
Aarhus Østkredsen;50. Skæring Skole;Ja;1575;57,0
Aarhus Østkredsen;50. Skæring Skole;Nej;1190;43,0
Aarhus Østkredsen;51. Skødstrup Hallen;Ja;2521;55,5
Aarhus Østkredsen;51. Skødstrup Hallen;Nej;2024;44,5
Aarhus Østkredsen;61. Vejlby Risskov Hallen;Ja;2598;49,2
Aarhus Østkredsen;61. Vejlby Risskov Hallen;Nej;2680;50,8
Aarhus Østkredsen;65. Ellevangskolen,Risskov;Ja;2483;55,5
Aarhus Østkredsen;65. Ellevangskolen,Risskov;Nej;1988;44,5
Djurskredsen;1. Ebeltoft;Ja;2458;49,8
Djurskredsen;1. Ebeltoft;Nej;2473;50,2
Djurskredsen;1. Kulturhuset Pavillonen;Ja;2207;42,3
Djurskredsen;1. Kulturhuset Pavillonen;Nej;3009;57,7
Djurskredsen;2. Anholt Skole;Ja;38;43,7
Djurskredsen;2. Anholt Skole;Nej;49;56,3
Djurskredsen;2. Mols;Ja;997;44,6
Djurskredsen;2. Mols;Nej;1240;55,4
Djurskredsen;3. Kulturhuset Stationen;Ja;482;34,2
Djurskredsen;3. Kulturhuset Stationen;Nej;926;65,8
Djurskredsen;3. Tirstrup;Ja;493;39,0
Djurskredsen;3. Tirstrup;Nej;770;61,0
Djurskredsen;4. Kattegatskolen;Ja;1358;37,8
Djurskredsen;4. Kattegatskolen;Nej;2232;62,2
Djurskredsen;4. Kolind;Ja;705;40,1
Djurskredsen;4. Kolind;Nej;1051;59,9
Djurskredsen;5. Glesborg;Ja;841;38,7
Djurskredsen;5. Glesborg;Nej;1330;61,3
Djurskredsen;5. Ryomgård;Ja;966;40,0
Djurskredsen;5. Ryomgård;Nej;1451;60,0
Djurskredsen;6. Hornslet;Ja;1853;48,1
Djurskredsen;6. Hornslet;Nej;2000;51,9
Djurskredsen;6. Ørum;Ja;462;40,0
Djurskredsen;6. Ørum;Nej;693;60,0
Djurskredsen;7. Mørke;Ja;763;39,4
Djurskredsen;7. Mørke;Nej;1174;60,6
Djurskredsen;7. Ørsted;Ja;645;37,4
Djurskredsen;7. Ørsted;Nej;1080;62,6
Djurskredsen;8. Allingåbro;Ja;480;35,5
Djurskredsen;8. Allingåbro;Nej;872;64,5
Djurskredsen;8. Rønde;Ja;2101;50,9
Djurskredsen;8. Rønde;Nej;2027;49,1
Djurskredsen;9. Auning;Ja;860;39,1
Djurskredsen;9. Auning;Nej;1338;60,9
Djurskredsen;10. Vivild;Ja;450;47,0
Djurskredsen;10. Vivild;Nej;507;53,0
Randers Nordkredsen;5. Havndalhallen;Ja;272;32,9
Randers Nordkredsen;5. Havndalhallen;Nej;554;67,1
Randers Nordkredsen;6. Råby Forsamlingshus;Ja;208;32,3
Randers Nordkredsen;6. Råby Forsamlingshus;Nej;435;67,7
Randers Nordkredsen;7. Øster Tørslev Fritidslokaler;Ja;318;38,2
Randers Nordkredsen;7. Øster Tørslev Fritidslokaler;Nej;514;61,8
Randers Nordkredsen;8. Korshøjskolen;Ja;620;43,6
Randers Nordkredsen;8. Korshøjskolen;Nej;801;56,4
Randers Nordkredsen;9. Hald Forsamlingshus;Ja;309;34,8
Randers Nordkredsen;9. Hald Forsamlingshus;Nej;580;65,2
Randers Nordkredsen;10. Gjerlev Enslev Skole;Ja;230;29,9
Randers Nordkredsen;10. Gjerlev Enslev Skole;Nej;539;70,1
Randers Nordkredsen;11. Rismølleskolen;Ja;1194;46,0
Randers Nordkredsen;11. Rismølleskolen;Nej;1400;54,0
Randers Nordkredsen;12. Rytterskolen;Ja;723;48,1
Randers Nordkredsen;12. Rytterskolen;Nej;779;51,9
Randers Nordkredsen;13. Hornbækhallen;Ja;1300;57,1
Randers Nordkredsen;13. Hornbækhallen;Nej;978;42,9
Randers Nordkredsen;14. Blicherskolen;Ja;601;41,4
Randers Nordkredsen;14. Blicherskolen;Nej;851;58,6
Randers Nordkredsen;15. Kultur-Aktivitetshuset Gassum;Ja;160;32,5
Randers Nordkredsen;15. Kultur-Aktivitetshuset Gassum;Nej;332;67,5
Randers Nordkredsen;26. Randers Badmintonhaller;Ja;957;34,2
Randers Nordkredsen;26. Randers Badmintonhaller;Nej;1844;65,8
Randers Nordkredsen;27. Nørrevangsskolen;Ja;602;25,7
Randers Nordkredsen;27. Nørrevangsskolen;Nej;1743;74,3
Randers Nordkredsen;29. Vestervangsskolen;Ja;1525;44,3
Randers Nordkredsen;29. Vestervangsskolen;Nej;1915;55,7
Randers Nordkredsen;30. Østervangsskolen;Ja;674;35,4
Randers Nordkredsen;30. Østervangsskolen;Nej;1231;64,6
Randers Sydkredsen;1. Kulturhuset Langå;Ja;779;45,5
Randers Sydkredsen;1. Kulturhuset Langå;Nej;932;54,5
Randers Sydkredsen;2. Stevnstrup Forsamlingshus;Ja;684;46,4
Randers Sydkredsen;2. Stevnstrup Forsamlingshus;Nej;789;53,6
Randers Sydkredsen;4. Jebjerg Forsamlingshus;Ja;194;38,3
Randers Sydkredsen;4. Jebjerg Forsamlingshus;Nej;313;61,7
Randers Sydkredsen;16. Asferg Forsamlingshus;Ja;226;35,6
Randers Sydkredsen;16. Asferg Forsamlingshus;Nej;408;64,4
Randers Sydkredsen;17. Purhushallen;Ja;272;36,9
Randers Sydkredsen;17. Purhushallen;Nej;465;63,1
Randers Sydkredsen;21. Bjerregrav Skole;Ja;649;47,7
Randers Sydkredsen;21. Bjerregrav Skole;Nej;713;52,3
Randers Sydkredsen;24. Hadsundvejens Skole;Ja;1005;37,2
Randers Sydkredsen;24. Hadsundvejens Skole;Nej;1693;62,8
Randers Sydkredsen;25. Hobrovejens Skole;Ja;785;38,6
Randers Sydkredsen;25. Hobrovejens Skole;Nej;1248;61,4
Randers Sydkredsen;28. Fritidscentret;Ja;825;35,0
Randers Sydkredsen;28. Fritidscentret;Nej;1532;65,0
Randers Sydkredsen;31. Søndermarkskolen;Ja;1785;42,6
Randers Sydkredsen;31. Søndermarkskolen;Nej;2403;57,4
Randers Sydkredsen;32. Kristrup Skole;Ja;923;40,1
Randers Sydkredsen;32. Kristrup Skole;Nej;1377;59,9
Randers Sydkredsen;33. Paderup Gymnasium;Ja;632;58,4
Randers Sydkredsen;33. Paderup Gymnasium;Nej;451;41,6
Randers Sydkredsen;34. Romalt Aktivitetshal;Ja;828;45,2
Randers Sydkredsen;34. Romalt Aktivitetshal;Nej;1005;54,8
Randers Sydkredsen;36. Assentofthallen;Ja;1114;51,6
Randers Sydkredsen;36. Assentofthallen;Nej;1044;48,4
Randers Sydkredsen;37. Uggelhuse Forsamlingshus;Ja;183;33,3
Randers Sydkredsen;37. Uggelhuse Forsamlingshus;Nej;367;66,7
Favrskovkredsen;1. Hadsten Nord;Ja;1562;53,5
Favrskovkredsen;1. Hadsten Nord;Nej;1356;46,5
Favrskovkredsen;2. Hadsten Syd;Ja;1060;51,4
Favrskovkredsen;2. Hadsten Syd;Nej;1001;48,6
Favrskovkredsen;3. Hadbjerg;Ja;536;44,3
Favrskovkredsen;3. Hadbjerg;Nej;675;55,7
Favrskovkredsen;4. Hammel Nord;Ja;1904;46,5
Favrskovkredsen;4. Hammel Nord;Nej;2188;53,5
Favrskovkredsen;5. Hammel Syd;Ja;490;42,6
Favrskovkredsen;5. Hammel Syd;Nej;659;57,4
Favrskovkredsen;6. Haldum-Hinnerup/Vitten;Ja;1326;55,2
Favrskovkredsen;6. Haldum-Hinnerup/Vitten;Nej;1076;44,8
Favrskovkredsen;7. Rønbæk/Grundfør;Ja;1295;54,1
Favrskovkredsen;7. Rønbæk/Grundfør;Nej;1100;45,9
Favrskovkredsen;8. Foldby;Ja;429;45,3
Favrskovkredsen;8. Foldby;Nej;519;54,7
Favrskovkredsen;9. Ulstrup;Ja;925;42,5
Favrskovkredsen;9. Ulstrup;Nej;1252;57,5
Favrskovkredsen;10. Thorsø/Haurum/Sall;Ja;868;43,6
Favrskovkredsen;10. Thorsø/Haurum/Sall;Nej;1121;56,4
Favrskovkredsen;11. Laurbjerg/Houlbjerg;Ja;450;39,4
Favrskovkredsen;11. Laurbjerg/Houlbjerg;Nej;692;60,6
Favrskovkredsen;12. Søften;Ja;954;56,8
Favrskovkredsen;12. Søften;Nej;727;43,2
Favrskovkredsen;13. Voldum;Ja;258;37,8
Favrskovkredsen;13. Voldum;Nej;425;62,2
Favrskovkredsen;14. Lading;Ja;249;41,0
Favrskovkredsen;14. Lading;Nej;358;59,0
Skanderborgkredsen;1. Ejer Bavnehøj;Ja;673;50,6
Skanderborgkredsen;1. Ejer Bavnehøj;Nej;656;49,4
Skanderborgkredsen;1. Odder;Ja;3595;54,3
Skanderborgkredsen;1. Odder;Nej;3027;45,7
Skanderborgkredsen;1. Tranebjerg;Ja;837;45,6
Skanderborgkredsen;1. Tranebjerg;Nej;998;54,4
Skanderborgkredsen;2. Galten;Ja;1516;48,3
Skanderborgkredsen;2. Galten;Nej;1620;51,7
Skanderborgkredsen;2. Nordby;Ja;136;54,6
Skanderborgkredsen;2. Nordby;Nej;113;45,4
Skanderborgkredsen;2. Torrild;Ja;128;47,4
Skanderborgkredsen;2. Torrild;Nej;142;52,6
Skanderborgkredsen;3. Gl. Rye;Ja;560;54,2
Skanderborgkredsen;3. Gl. Rye;Nej;473;45,8
Skanderborgkredsen;3. Saksild - Nølev;Ja;589;55,7
Skanderborgkredsen;3. Saksild - Nølev;Nej;468;44,3
Skanderborgkredsen;4. Hørning;Ja;2192;49,0
Skanderborgkredsen;4. Hørning;Nej;2285;51,0
Skanderborgkredsen;4. Randlev - Bjerager;Ja;394;51,2
Skanderborgkredsen;4. Randlev - Bjerager;Nej;376;48,8
Skanderborgkredsen;5. Hou, Gosmer - Halling;Ja;709;57,4
Skanderborgkredsen;5. Hou, Gosmer - Halling;Nej;526;42,6
Skanderborgkredsen;5. Låsby;Ja;872;45,7
Skanderborgkredsen;5. Låsby;Nej;1037;54,3
Skanderborgkredsen;6. Gylling;Ja;268;43,8
Skanderborgkredsen;6. Gylling;Nej;344;56,2
Skanderborgkredsen;6. Morten Børup;Ja;2466;49,4
Skanderborgkredsen;6. Morten Børup;Nej;2521;50,6
Skanderborgkredsen;7. Niels Ebbesen;Ja;2233;61,0
Skanderborgkredsen;7. Niels Ebbesen;Nej;1428;39,0
Skanderborgkredsen;7. Ørting-Falling;Ja;358;47,2
Skanderborgkredsen;7. Ørting-Falling;Nej;400;52,8
Skanderborgkredsen;8. Hundslund;Ja;313;44,0
Skanderborgkredsen;8. Hundslund;Nej;399;56,0
Skanderborgkredsen;8. Ry;Ja;2284;59,3
Skanderborgkredsen;8. Ry;Nej;1570;40,7
Skanderborgkredsen;9. Alrø;Ja;56;53,8
Skanderborgkredsen;9. Alrø;Nej;48;46,2
Skanderborgkredsen;9. Skovby;Ja;1165;44,1
Skanderborgkredsen;9. Skovby;Nej;1474;55,9
Skanderborgkredsen;10. Stilling;Ja;1382;55,3
Skanderborgkredsen;10. Stilling;Nej;1118;44,7
Skanderborgkredsen;10. Tunø;Ja;39;55,7
Skanderborgkredsen;10. Tunø;Nej;31;44,3
Skanderborgkredsen;11. Stjær;Ja;624;51,4
Skanderborgkredsen;11. Stjær;Nej;591;48,6
Skanderborgkredsen;12. Virring;Ja;578;47,9
Skanderborgkredsen;12. Virring;Nej;628;52,1
Horsenskredsen;1. Sønderbro;Ja;888;32,0
Horsenskredsen;1. Sønderbro;Nej;1890;68,0
Horsenskredsen;2. Vestbyen;Ja;870;30,6
Horsenskredsen;2. Vestbyen;Nej;1975;69,4
Horsenskredsen;3. Midtbyen;Ja;1763;39,1
Horsenskredsen;3. Midtbyen;Nej;2744;60,9
Horsenskredsen;4. Endelave;Ja;52;41,3
Horsenskredsen;4. Endelave;Nej;74;58,7
Horsenskredsen;5. Forum;Ja;1081;35,8
Horsenskredsen;5. Forum;Nej;1939;64,2
Horsenskredsen;6. Dagnæs;Ja;2029;39,5
Horsenskredsen;6. Dagnæs;Nej;3112;60,5
Horsenskredsen;7. Torsted;Ja;1378;43,3
Horsenskredsen;7. Torsted;Nej;1807;56,7
Horsenskredsen;8. Hatting;Ja;713;45,4
Horsenskredsen;8. Hatting;Nej;857;54,6
Horsenskredsen;9. Lund;Ja;631;43,8
Horsenskredsen;9. Lund;Nej;811;56,2
Horsenskredsen;10. Egebjerg;Ja;719;45,0
Horsenskredsen;10. Egebjerg;Nej;880;55,0
Horsenskredsen;11. Stensballe;Ja;2083;56,4
Horsenskredsen;11. Stensballe;Nej;1612;43,6
Horsenskredsen;12. Højvangen;Ja;1004;48,5
Horsenskredsen;12. Højvangen;Nej;1067;51,5
Horsenskredsen;13. Brædstrup;Ja;1128;43,7
Horsenskredsen;13. Brædstrup;Nej;1454;56,3
Horsenskredsen;14. Nim;Ja;407;40,1
Horsenskredsen;14. Nim;Nej;609;59,9
Horsenskredsen;15. Sdr.Vissing;Ja;296;47,4
Horsenskredsen;15. Sdr.Vissing;Nej;328;52,6
