Opstillingskreds;Afstemningsområde;Svarmulighed;Stemmetal;Stemmeprocent
Odense Østkredsen;1. Skt. Jørgens Hallen;Ja;2659;46,2
Odense Østkredsen;1. Skt. Jørgens Hallen;Nej;3097;53,8
Odense Østkredsen;2. Sct. Hans Skole;Ja;2427;44,5
Odense Østkredsen;2. Sct. Hans Skole;Nej;3022;55,5
Odense Østkredsen;3. Risingskolen;Ja;869;43,4
Odense Østkredsen;3. Risingskolen;Nej;1132;56,6
Odense Østkredsen;4. Munkebjergskolen;Ja;2628;50,6
Odense Østkredsen;4. Munkebjergskolen;Nej;2570;49,4
Odense Østkredsen;5. Ejerslykkeskolen;Ja;1316;41,7
Odense Østkredsen;5. Ejerslykkeskolen;Nej;1839;58,3
Odense Østkredsen;6. Agedrup Skole;Ja;723;44,1
Odense Østkredsen;6. Agedrup Skole;Nej;917;55,9
Odense Østkredsen;7. Fjordager Hallen;Ja;1251;41,4
Odense Østkredsen;7. Fjordager Hallen;Nej;1771;58,6
Odense Østkredsen;9. Fraugde Fritidscenter;Ja;783;43,1
Odense Østkredsen;9. Fraugde Fritidscenter;Nej;1035;56,9
Odense Østkredsen;35. Camp U;Ja;1074;43,6
Odense Østkredsen;35. Camp U;Nej;1391;56,4
Odense Østkredsen;36. Bækholmskolen;Ja;1049;43,1
Odense Østkredsen;36. Bækholmskolen;Nej;1385;56,9
Odense Vestkredsen;11. Borgerservice;Ja;2608;49,3
Odense Vestkredsen;11. Borgerservice;Nej;2678;50,7
Odense Vestkredsen;12. Csv-Skolen;Ja;1626;34,2
Odense Vestkredsen;12. Csv-Skolen;Nej;3130;65,8
Odense Vestkredsen;13. Lumby Forsamlingshus;Ja;298;41,9
Odense Vestkredsen;13. Lumby Forsamlingshus;Nej;414;58,1
Odense Vestkredsen;14. Stige Skole;Ja;1526;43,5
Odense Vestkredsen;14. Stige Skole;Nej;1980;56,5
Odense Vestkredsen;16. Spurvelundskolen;Ja;1022;45,3
Odense Vestkredsen;16. Spurvelundskolen;Nej;1234;54,7
Odense Vestkredsen;17. Kroggårdskolen;Ja;1731;47,5
Odense Vestkredsen;17. Kroggårdskolen;Nej;1913;52,5
Odense Vestkredsen;18. Tarup Skole;Ja;1787;52,1
Odense Vestkredsen;18. Tarup Skole;Nej;1641;47,9
Odense Vestkredsen;19. Paarup Hallen;Ja;1312;50,8
Odense Vestkredsen;19. Paarup Hallen;Nej;1273;49,2
Odense Vestkredsen;20. Korup Skole;Ja;1261;46,7
Odense Vestkredsen;20. Korup Skole;Nej;1442;53,3
Odense Vestkredsen;21. Ubberud Kultur & Bevægelseshus;Ja;767;46,3
Odense Vestkredsen;21. Ubberud Kultur & Bevægelseshus;Nej;889;53,7
Odense Sydkredsen;23. Rådhuset;Ja;3482;52,7
Odense Sydkredsen;23. Rådhuset;Nej;3128;47,3
Odense Sydkredsen;24. Sct. Knuds Gymnasium;Ja;2042;62,9
Odense Sydkredsen;24. Sct. Knuds Gymnasium;Nej;1205;37,1
Odense Sydkredsen;25. Rosengårdskolen;Ja;1987;48,6
Odense Sydkredsen;25. Rosengårdskolen;Nej;2098;51,4
Odense Sydkredsen;26. Sanderumhallen;Ja;3223;52,8
Odense Sydkredsen;26. Sanderumhallen;Nej;2885;47,2
Odense Sydkredsen;28. Rasmus Rask Skolen;Ja;1626;55,6
Odense Sydkredsen;28. Rasmus Rask Skolen;Nej;1298;44,4
Odense Sydkredsen;29. Tingløkkeskolen;Ja;1846;53,4
