Opstillingskreds;Afstemningsområde;Svarmulighed;Stemmetal;Stemmeprocent
Sønderborgkredsen;1. Nordborg;Ja;1242;38,8
Sønderborgkredsen;1. Nordborg;Nej;1960;61,2
Sønderborgkredsen;2. Havnbjerg;Ja;585;38,5
Sønderborgkredsen;2. Havnbjerg;Nej;936;61,5
Sønderborgkredsen;3. Egen;Ja;829;40,0
Sønderborgkredsen;3. Egen;Nej;1244;60,0
Sønderborgkredsen;4. Fynshav;Ja;587;41,4
Sønderborgkredsen;4. Fynshav;Nej;830;58,6
Sønderborgkredsen;5. Augustenborg;Ja;930;42,7
Sønderborgkredsen;5. Augustenborg;Nej;1246;57,3
Sønderborgkredsen;6. Hørup;Ja;1045;55,4
Sønderborgkredsen;6. Hørup;Nej;842;44,6
Sønderborgkredsen;7. Sydals;Ja;568;40,8
Sønderborgkredsen;7. Sydals;Nej;823;59,2
Sønderborgkredsen;8. Kegnæs;Ja;146;46,3
Sønderborgkredsen;8. Kegnæs;Nej;169;53,7
Sønderborgkredsen;9. Humlehøj, Sønderborg;Ja;1966;44,6
Sønderborgkredsen;9. Humlehøj, Sønderborg;Nej;2446;55,4
Sønderborgkredsen;10. Sønderskov, Sønderborg;Ja;1599;42,4
Sønderborgkredsen;10. Sønderskov, Sønderborg;Nej;2169;57,6
Sønderborgkredsen;11. Biblioteket, Sønderborg;Ja;1796;48,0
Sønderborgkredsen;11. Biblioteket, Sønderborg;Nej;1943;52,0
Sønderborgkredsen;12. Dybbøl;Ja;1709;51,2
Sønderborgkredsen;12. Dybbøl;Nej;1632;48,8
Sønderborgkredsen;13. Vester Sottrup;Ja;792;44,6
Sønderborgkredsen;13. Vester Sottrup;Nej;984;55,4
Sønderborgkredsen;14. Ullerup;Ja;426;40,7
Sønderborgkredsen;14. Ullerup;Nej;620;59,3
Sønderborgkredsen;15. Broager;Ja;1148;44,9
Sønderborgkredsen;15. Broager;Nej;1408;55,1
Sønderborgkredsen;16. Gråsten;Ja;1930;45,4
Sønderborgkredsen;16. Gråsten;Nej;2317;54,6
Sønderborgkredsen;17. Kværs;Ja;191;36,3
Sønderborgkredsen;17. Kværs;Nej;335;63,7
Aabenraakredsen;1. Hovslund;Ja;186;39,1
Aabenraakredsen;1. Hovslund;Nej;290;60,9
Aabenraakredsen;2. Hellevad;Ja;235;46,8
Aabenraakredsen;2. Hellevad;Nej;267;53,2
Aabenraakredsen;3. Rødekro;Ja;1647;44,4
Aabenraakredsen;3. Rødekro;Nej;2059;55,6
Aabenraakredsen;4. Løjt;Ja;1245;50,0
Aabenraakredsen;4. Løjt;Nej;1244;50,0
Aabenraakredsen;5. Hjordkær;Ja;394;36,8
Aabenraakredsen;5. Hjordkær;Nej;677;63,2
Aabenraakredsen;6. Ravsted;Ja;196;40,8
Aabenraakredsen;6. Ravsted;Nej;284;59,2
Aabenraakredsen;7. Bolderslev;Ja;489;41,4
Aabenraakredsen;7. Bolderslev;Nej;692;58,6
Aabenraakredsen;8. Ensted;Ja;641;48,9
Aabenraakredsen;8. Ensted;Nej;671;51,1
Aabenraakredsen;9. Felsted;Ja;515;43,1
Aabenraakredsen;9. Felsted;Nej;679;56,9
Aabenraakredsen;10. Varnæs;Ja;304;44,6
Aabenraakredsen;10. Varnæs;Nej;378;55,4
Aabenraakredsen;11. Bylderup;Ja;498;38,8
Aabenraakredsen;11. Bylderup;Nej;786;61,2
Aabenraakredsen;12. Tinglev;Ja;767;43,7
Aabenraakredsen;12. Tinglev;Nej;988;56,3
Aabenraakredsen;13. Kliplev;Ja;524;42,7
Aabenraakredsen;13. Kliplev;Nej;704;57,3
Aabenraakredsen;14. Kruså;Ja;995;46,2
Aabenraakredsen;14. Kruså;Nej;1158;53,8
Aabenraakredsen;15. Padborg;Ja;1058;40,5
Aabenraakredsen;15. Padborg;Nej;1556;59,5
Aabenraakredsen;16. Aabenraa Midt;Ja;2268;46,8
Aabenraakredsen;16. Aabenraa Midt;Nej;2579;53,2
Aabenraakredsen;17. Aabenraa Syd;Ja;985;45,4
Aabenraakredsen;17. Aabenraa Syd;Nej;1183;54,6
Aabenraakredsen;18. Aabenraa Nord;Ja;614;48,0
Aabenraakredsen;18. Aabenraa Nord;Nej;665;52,0
Tønderkredsen;1. Bredebro;Ja;423;42,1
Tønderkredsen;1. Bredebro;Nej;582;57,9
Tønderkredsen;2. Ballum;Ja;150;41,1
Tønderkredsen;2. Ballum;Nej;215;58,9
Tønderkredsen;3. Visby;Ja;132;42,3
Tønderkredsen;3. Visby;Nej;180;57,7
Tønderkredsen;4. Højer;Ja;398;41,5
Tønderkredsen;4. Højer;Nej;562;58,5
Tønderkredsen;7. Sdr. Sejerslev;Ja;156;47,9
Tønderkredsen;7. Sdr. Sejerslev;Nej;170;52,1
